am_sid,probability,loiczid
Fis-22832,0.42,129241.0
Fis-22832,0.42,129242.0
Fis-22832,0.42,128521.0
Fis-22832,0.42,128522.0
Fis-22832,0.41,129243.0
Fis-22832,0.41,129244.0
Fis-22832,0.41,128523.0
Fis-22832,0.41,128524.0
Fis-22832,0.41,129245.0
Fis-22832,0.41,129246.0
Fis-22832,0.41,128525.0
Fis-22832,0.41,128526.0
Fis-22832,0.4,129247.0
Fis-22832,0.4,129248.0
Fis-22832,0.4,128527.0
Fis-22832,0.4,128528.0
Fis-22832,0.4,129249.0
Fis-22832,0.4,129250.0
Fis-22832,0.4,128529.0
Fis-22832,0.4,128530.0
Fis-22832,0.34,127801.0
Fis-22832,0.34,127802.0
Fis-22832,0.34,127081.0
Fis-22832,0.34,127082.0
Fis-22832,0.34,127803.0
Fis-22832,0.34,127804.0
Fis-22832,0.34,127083.0
Fis-22832,0.34,127084.0
Fis-22832,0.33,127805.0
Fis-22832,0.33,127806.0
Fis-22832,0.33,127085.0
Fis-22832,0.33,127086.0
Fis-22832,0.34,127807.0
Fis-22832,0.34,127808.0
Fis-22832,0.34,127087.0
Fis-22832,0.34,127088.0
Fis-22832,0.34,127809.0
Fis-22832,0.34,127810.0
Fis-22832,0.34,127089.0
Fis-22832,0.34,127090.0
Fis-22832,0.31,126361.0
Fis-22832,0.31,126362.0
Fis-22832,0.31,125641.0
Fis-22832,0.31,125642.0
Fis-22832,0.31,126363.0
Fis-22832,0.31,126364.0
Fis-22832,0.31,125643.0
Fis-22832,0.31,125644.0
Fis-22832,0.3,126365.0
Fis-22832,0.3,126366.0
Fis-22832,0.3,125645.0
Fis-22832,0.3,125646.0
Fis-22832,0.3,126367.0
Fis-22832,0.3,126368.0
Fis-22832,0.3,125647.0
Fis-22832,0.3,125648.0
Fis-22832,0.3,126369.0
Fis-22832,0.3,126370.0
Fis-22832,0.3,125649.0
Fis-22832,0.3,125650.0
Fis-22832,0.33,124921.0
Fis-22832,0.33,124922.0
Fis-22832,0.33,124201.0
Fis-22832,0.33,124202.0
Fis-22832,0.32,124923.0
Fis-22832,0.32,124924.0
Fis-22832,0.32,124203.0
Fis-22832,0.32,124204.0
Fis-22832,0.31,124925.0
Fis-22832,0.31,124926.0
Fis-22832,0.31,124205.0
Fis-22832,0.31,124206.0
Fis-22832,0.3,124927.0
Fis-22832,0.3,124928.0
Fis-22832,0.3,124207.0
Fis-22832,0.3,124208.0
Fis-22832,0.29,124929.0
Fis-22832,0.29,124930.0
Fis-22832,0.29,124209.0
Fis-22832,0.29,124210.0
Fis-22832,0.38,123481.0
Fis-22832,0.38,123482.0
Fis-22832,0.38,122761.0
Fis-22832,0.38,122762.0
Fis-22832,0.35,123483.0
Fis-22832,0.35,123484.0
Fis-22832,0.35,122763.0
Fis-22832,0.35,122764.0
Fis-22832,0.33,123485.0
Fis-22832,0.33,123486.0
Fis-22832,0.33,122765.0
Fis-22832,0.33,122766.0
Fis-22832,0.31,123487.0
Fis-22832,0.31,123488.0
Fis-22832,0.31,122767.0
Fis-22832,0.31,122768.0
Fis-22832,0.29,123489.0
Fis-22832,0.29,123490.0
Fis-22832,0.29,122769.0
Fis-22832,0.28,122770.0
Fis-22832,0.39,129251.0
Fis-22832,0.39,129252.0
Fis-22832,0.39,128531.0
Fis-22832,0.39,128532.0
Fis-22832,0.39,129253.0
Fis-22832,0.39,129254.0
Fis-22832,0.39,128533.0
Fis-22832,0.39,128534.0
Fis-22832,0.36,129255.0
Fis-22832,0.34,129256.0
Fis-22832,0.36,128535.0
Fis-22832,0.35,128536.0
Fis-22832,0.3,129257.0
Fis-22832,0.27,129258.0
Fis-22832,0.31,128537.0
Fis-22832,0.28,128538.0
Fis-22832,0.27,129259.0
Fis-22832,0.29,129260.0
Fis-22832,0.28,128539.0
Fis-22832,0.27,128540.0
Fis-22832,0.33,127811.0
Fis-22832,0.33,127812.0
Fis-22832,0.33,127091.0
Fis-22832,0.33,127092.0
Fis-22832,0.32,127813.0
Fis-22832,0.32,127814.0
Fis-22832,0.32,127093.0
Fis-22832,0.32,127094.0
Fis-22832,0.3,127815.0
Fis-22832,0.29,127816.0
Fis-22832,0.31,127095.0
Fis-22832,0.29,127096.0
Fis-22832,0.26,127817.0
Fis-22832,0.24,127818.0
Fis-22832,0.26,127097.0
Fis-22832,0.25,127098.0
Fis-22832,0.21,127819.0
Fis-22832,0.22,127820.0
Fis-22832,0.23,127099.0
Fis-22832,0.21,127100.0
Fis-22832,0.29,126371.0
Fis-22832,0.29,126372.0
Fis-22832,0.29,125651.0
Fis-22832,0.29,125652.0
Fis-22832,0.28,126373.0
Fis-22832,0.28,126374.0
Fis-22832,0.28,125653.0
Fis-22832,0.28,125654.0
Fis-22832,0.26,126375.0
Fis-22832,0.25,126376.0
Fis-22832,0.25,125655.0
Fis-22832,0.24,125656.0
Fis-22832,0.22,126377.0
Fis-22832,0.22,126378.0
Fis-22832,0.21,125657.0
Fis-22832,0.2,125658.0
Fis-22832,0.2,126379.0
Fis-22832,0.17,126380.0
Fis-22832,0.18,125659.0
Fis-22832,0.17,125660.0
Fis-22832,0.27,124931.0
Fis-22832,0.27,124932.0
Fis-22832,0.27,124211.0
Fis-22832,0.27,124212.0
Fis-22832,0.26,124933.0
Fis-22832,0.25,124934.0
Fis-22832,0.25,124213.0
Fis-22832,0.24,124214.0
Fis-22832,0.23,124935.0
Fis-22832,0.22,124936.0
Fis-22832,0.22,124215.0
Fis-22832,0.21,124216.0
Fis-22832,0.21,124937.0
Fis-22832,0.17,124938.0
Fis-22832,0.18,124217.0
Fis-22832,0.17,124218.0
Fis-22832,0.15,124939.0
Fis-22832,0.12,124940.0
Fis-22832,0.14,124219.0
Fis-22832,0.08,124220.0
Fis-22832,0.29,123491.0
Fis-22832,0.27,123492.0
Fis-22832,0.27,122771.0
Fis-22832,0.27,122772.0
Fis-22832,0.24,123493.0
Fis-22832,0.23,123494.0
Fis-22832,0,122774.0
Fis-22832,0.2,123495.0
Fis-22832,0.19,123496.0
Fis-22832,0,122775.0
Fis-22832,0.15,122776.0
Fis-22832,0.15,123497.0
Fis-22832,0.12,123498.0
Fis-22832,0.14,122777.0
Fis-22832,0.1,122778.0
Fis-22832,0.13,123499.0
Fis-22832,0,123500.0
Fis-22832,0.41,122041.0
Fis-22832,0.42,122042.0
Fis-22832,0.38,121321.0
Fis-22832,0.37,121322.0
Fis-22832,0.38,122043.0
Fis-22832,0.38,122044.0
Fis-22832,0.37,121323.0
Fis-22832,0.38,121324.0
Fis-22832,0.36,122045.0
Fis-22832,0.36,122046.0
Fis-22832,0.36,121325.0
Fis-22832,0.36,121326.0
Fis-22832,0.33,122047.0
Fis-22832,0.33,122048.0
Fis-22832,0.32,121327.0
Fis-22832,0.32,121328.0
Fis-22832,0.29,122049.0
Fis-22832,0.27,122050.0
Fis-22832,0.26,121329.0
Fis-22832,0.19,121330.0
Fis-22832,0.38,120603.0
Fis-22832,0.38,120604.0
Fis-22832,0.35,120605.0
Fis-22832,0.33,120606.0
Fis-22832,0.3,120607.0
Fis-22832,0.26,120608.0
Fis-22832,0.01,119887.0
Fis-22832,0,119888.0
Fis-22832,0.22,120609.0
Fis-22832,0.23,120610.0
Fis-22832,0.22,122051.0
Fis-22832,0,122052.0
Fis-22832,0.21,121331.0
Fis-22832,0,121332.0
Fis-22832,0.47,129326.0
Fis-22832,0.48,129327.0
Fis-22832,0.48,129328.0
Fis-22832,0.26,128607.0
Fis-22832,0.48,128608.0
Fis-22832,0.48,129329.0
Fis-22832,0.48,129330.0
Fis-22832,0.48,128609.0
Fis-22832,0.48,128610.0
Fis-22832,0.01,127888.0
Fis-22832,0.48,127889.0
Fis-22832,0.48,127890.0
Fis-22832,0.48,127170.0
Fis-22832,0.47,129331.0
Fis-22832,0.47,129332.0
Fis-22832,0.47,128611.0
Fis-22832,0.47,128612.0
Fis-22832,0.46,129333.0
Fis-22832,0.46,129334.0
Fis-22832,0.46,128613.0
Fis-22832,0.46,128614.0
Fis-22832,0.44,129335.0
Fis-22832,0.44,129336.0
Fis-22832,0.44,128615.0
Fis-22832,0.44,128616.0
Fis-22832,0.42,129337.0
Fis-22832,0.42,129338.0
Fis-22832,0.42,128617.0
Fis-22832,0.42,128618.0
Fis-22832,0.4,129339.0
Fis-22832,0.4,129340.0
Fis-22832,0.4,128619.0
Fis-22832,0.4,128620.0
Fis-22832,0.48,127891.0
Fis-22832,0.48,127892.0
Fis-22832,0.48,127171.0
Fis-22832,0.48,127172.0
Fis-22832,0.47,127893.0
Fis-22832,0.47,127894.0
Fis-22832,0.47,127173.0
Fis-22832,0.47,127174.0
Fis-22832,0.46,127895.0
Fis-22832,0.46,127896.0
Fis-22832,0.46,127175.0
Fis-22832,0.46,127176.0
Fis-22832,0.44,127897.0
Fis-22832,0.44,127898.0
Fis-22832,0.44,127177.0
Fis-22832,0.44,127178.0
Fis-22832,0.42,127899.0
Fis-22832,0.42,127900.0
Fis-22832,0.42,127179.0
Fis-22832,0.42,127180.0
Fis-22832,0.47,126451.0
Fis-22832,0.47,126452.0
Fis-22832,0.47,126453.0
Fis-22832,0.47,126454.0
Fis-22832,0.43,125733.0
Fis-22832,0.4,125734.0
Fis-22832,0.46,126455.0
Fis-22832,0.46,126456.0
Fis-22832,0.46,125735.0
Fis-22832,0.46,125736.0
Fis-22832,0.45,126457.0
Fis-22832,0.45,126458.0
Fis-22832,0.45,125737.0
Fis-22832,0.45,125738.0
Fis-22832,0.43,126459.0
Fis-22832,0.43,126460.0
Fis-22832,0.43,125739.0
Fis-22832,0.43,125740.0
Fis-22832,0.38,125014.0
Fis-22832,0.43,125015.0
Fis-22832,0.46,125016.0
Fis-22832,0.37,124295.0
Fis-22832,0.41,124296.0
Fis-22832,0.45,125017.0
Fis-22832,0.45,125018.0
Fis-22832,0.44,124297.0
Fis-22832,0.45,124298.0
Fis-22832,0.44,125019.0
Fis-22832,0.44,125020.0
Fis-22832,0.43,124299.0
Fis-22832,0.44,124300.0
Fis-22832,0.35,123576.0
Fis-22832,0.43,123577.0
Fis-22832,0.45,123578.0
Fis-22832,0.4,122857.0
Fis-22832,0.44,122858.0
Fis-22832,0.44,123579.0
Fis-22832,0.45,123580.0
Fis-22832,0.44,122859.0
Fis-22832,0.45,122860.0
Fis-22832,0.42,122137.0
Fis-22832,0.43,122138.0
Fis-22832,0.43,121418.0
Fis-22832,0.45,122139.0
Fis-22832,0.47,122140.0
Fis-22832,0.44,121419.0
Fis-22832,0.47,121420.0
Fis-22832,0.14,120698.0
Fis-22832,0.43,120699.0
Fis-22832,0.47,120700.0
Fis-22832,0.41,119979.0
Fis-22832,0.44,119980.0
Fis-22832,0.3,119259.0
Fis-22832,0.4,119260.0
Fis-22832,0.4,118540.0
Fis-22832,0.02,117820.0
Fis-22832,0.38,129341.0
Fis-22832,0.38,129342.0
Fis-22832,0.38,128621.0
Fis-22832,0.38,128622.0
Fis-22832,0.35,129343.0
Fis-22832,0.35,129344.0
Fis-22832,0.35,128623.0
Fis-22832,0.35,128624.0
Fis-22832,0.32,129345.0
Fis-22832,0.32,129346.0
Fis-22832,0.32,128625.0
Fis-22832,0.32,128626.0
Fis-22832,0.29,129347.0
Fis-22832,0.29,129348.0
Fis-22832,0.29,128627.0
Fis-22832,0.29,128628.0
Fis-22832,0.26,129349.0
Fis-22832,0.26,129350.0
Fis-22832,0.26,128629.0
Fis-22832,0.26,128630.0
Fis-22832,0.39,127901.0
Fis-22832,0.39,127902.0
Fis-22832,0.39,127181.0
Fis-22832,0.39,127182.0
Fis-22832,0.37,127903.0
Fis-22832,0.37,127904.0
Fis-22832,0.37,127183.0
Fis-22832,0.37,127184.0
Fis-22832,0.34,127905.0
Fis-22832,0.34,127906.0
Fis-22832,0.34,127185.0
Fis-22832,0.34,127186.0
Fis-22832,0.31,127907.0
Fis-22832,0.31,127908.0
Fis-22832,0.31,127187.0
Fis-22832,0.31,127188.0
Fis-22832,0.28,127909.0
Fis-22832,0.28,127910.0
Fis-22832,0.28,127189.0
Fis-22832,0.28,127190.0
Fis-22832,0.4,126461.0
Fis-22832,0.4,126462.0
Fis-22832,0.4,125741.0
Fis-22832,0.4,125742.0
Fis-22832,0.38,126463.0
Fis-22832,0.38,126464.0
Fis-22832,0.38,125743.0
Fis-22832,0.38,125744.0
Fis-22832,0.35,126465.0
Fis-22832,0.35,126466.0
Fis-22832,0.35,125745.0
Fis-22832,0.35,125746.0
Fis-22832,0.32,126467.0
Fis-22832,0.32,126468.0
Fis-22832,0.32,125747.0
Fis-22832,0.32,125748.0
