"","X.1","X","am_sid","iucn_sid","sciname","parent_sid","subpop_sid","spp_group","category","trend","am_area","iucn_area","perc","am_perc","iucn_perc","sm_perc","sm_range","total_area","log_total_area"
"82",82,82,"SLB-184857",185077,"Bathyarctus faxoni",NA,NA,"LOBSTERS","LC","Unknown",2845927.21137273,2289677.78071182,14.9253731343284,48.7345879299156,36.340038935756,29.1139240506329,"IUCN",4464583.43724201,15.3116864728099
"83",83,83,"ITS-97673",170088,"Scyllarides nodifer",NA,NA,"LOBSTERS","LC","Unknown",1261656.80848771,2046409.65277538,40.8066429418743,12.4555160142349,46.7378410438909,76.6146993318486,"AM",2350166.52196699,14.6699967440213
"84",84,84,"ITS-97676",170075,"Scyllarides aequinoctialis",NA,NA,"LOBSTERS","LC","Unknown",3113499.01969526,5562009.34406961,53.6471805483704,1.75892395240559,44.593895499224,96.8253968253968,"AM",5657405.63392808,15.5484759765324
"85",85,85,"ITS-97682",170071,"Parribacus antarcticus",NA,NA,"LOBSTERS","LC","Unknown",14647161.6092946,29051694.0226759,21.0828821324448,19.5251978342357,59.3919200333194,51.9179487179487,"AM",36041282.6069174,17.4001755784984
"86",86,86,"ITS-97688",185026,"Polycheles typhlops",NA,NA,"LOBSTERS","LC","Stable",36957620.2846173,54081063.0818611,37.1481002627518,20.1276223047087,42.7242774325395,64.8583703487949,"AM",65890883.732039,18.0035106550332
"87",87,87,"ITS-97696",170015,"Palinurellus gundlachi",NA,NA,"LOBSTERS","LC","Unknown",1125685.56793885,1342940.95671117,26.8365817091454,30.8845577211394,42.2788605697151,46.4935064935065,"AM",1949648.69250238,14.4831597566185
"88",88,88,"Hyd-210726",133144,"Millepora alcicornis",NA,NA,"CORAL3","LC","Stable",4021035.059783,3319134.37005015,23.7642585551331,47.0057034220532,29.2300380228137,44.8430493273543,"IUCN",5855798.75580178,15.5829429685618
"89",89,89,"URM-Cn-3929",133065,"Tubipora musica",NA,NA,"CORAL3","NT","Unknown",11205784.4159545,26763383.4711821,34.2711540503238,5.55260643380401,60.1762395158722,86.0570514529459,"AM",28217548.8873685,17.1554546433299
"90",90,90,"Hyd-287421",133042,"Millepora complanata",NA,NA,"CORAL3","LC","Stable",3622317.49963558,2556051.43914851,22.7756015668719,51.6508114157806,25.5735870173475,47.1064814814815,"IUCN",4978028.99225835,15.4205445859703
"91",91,91,"Hyd-210730",133595,"Millepora platyphylla",NA,NA,"CORAL3","LC","Unknown",12543999.7260624,27304958.1437893,30.601200432943,10.8235757158319,58.575223851225,73.8717339667459,"AM",30437525.5104447,17.2311867969322
"92",92,92,"SLB-158806",133118,"Porites sillimaniana",NA,NA,"CORAL2","VU","Unknown",10406794.9342743,12312504.0177661,32.6722153355764,28.4044625464849,38.9233221179387,53.4937663090751,"AM",17085058.2713677,16.6537148541999
"93",93,93,"URM-Cn-4841",133020,"Acropora tenuis",NA,NA,"CORAL1","NT","Decreasing",12211163.3211345,26601339.8257009,36.0932391097985,6.78198502267693,57.1247758675245,84.1820418204182,"AM",28499072.301003,17.1653820938671
"94",94,94,"URM-Cn-6097",133446,"Astrangia poculata",NA,NA,"CORAL2","LC","Unknown",490984.58394229,2300357.4368204,11.5124153498871,9.25507900677201,79.2325056433409,55.4347826086957,"AM",2530477.83044304,14.7439187086586
"95",95,95,"URM-Cn-5990",133390,"Seriatopora hystrix",NA,NA,"CORAL2","LC","Unknown",8770767.79843918,25682389.5995232,26.2843224092117,5.87909654561559,67.8365810451727,81.7211703958692,"AM",27229353.4711108,17.119806121111
"96",96,96,"URM-Cn-5995",133685,"Stylophora pistillata",NA,NA,"CORAL2","NT","Unknown",14045099.2251889,26889576.1641109,39.6848137535817,8.49365534179288,51.8215309046255,82.3704333050128,"AM",29274284.448661,17.1922200247466
"97",97,97,"URM-Cn-4833",133402,"Acropora squarrosa",NA,NA,"CORAL1","LC","Decreasing",2089976.12643157,3987904.8199531,33.5071707953064,12.9074315514993,53.5853976531943,72.1910112359551,"AM",4549983.97236894,15.3306342683647
"98",98,98,"URM-Cn-4495",133193,"Heliopora coerulea",NA,NA,"CORAL3","VU","Decreasing",8540475.11870223,26537446.9544161,23.8095238095238,6.57545869127161,69.6150174992046,78.3595113438045,"AM",28291240.9320946,17.1580628070062
"99",99,99,"SLB-184808",133182,"Isopora brueggemanni",NA,NA,"CORAL1","VU","Decreasing",10373932.0897392,15012595.7647173,34.76443158064,20.4052098408104,44.8303585785496,63.013698630137,"AM",18807185.5170687,16.7497495631319
"100",100,100,"URM-Cn-6128",133077,"Coscinaraea mcneilli",NA,NA,"CORAL2","LC","Unknown",876135.349088706,1241437.90396901,58.7209302325581,6.78294573643411,34.4961240310078,89.6449704142012,"AM",1334027.32618058,14.1037129896411
"101",101,101,"URM-Cn-6129",133323,"Coscinaraea monile",NA,NA,"CORAL2","LC","Unknown",8988245.39747367,15729291.5893046,34.3908421913328,14.358135731807,51.2510220768602,70.5467963770547,"AM",18365272.1022818,16.7259720534769
"102",102,102,"URM-Cn-6130",133408,"Coscinaraea wellsi",NA,NA,"CORAL2","LC","Unknown",6792820.29257982,20786999.2439156,22.332174378176,7.64910403851297,70.018721583311,74.4870651204282,"AM",22500287.1442792,16.9290386290612
"103",103,103,"URM-Cn-6134",133208,"Psammocora contigua",NA,NA,"CORAL2","NT","Unknown",12534467.5922423,28173097.5602532,38.0128270385829,4.53018426142726,57.4569886999898,89.3515195022733,"AM",29479009.6039188,17.1991890291959
"104",104,104,"URM-Cn-6135",133043,"Psammocora digitata",NA,NA,"CORAL2","NT","Unknown",12257138.8568776,23897975.0159015,38.9773387565369,8.18128994770482,52.8413712957583,82.6515524889108,"AM",25980472.0871552,17.0728557402177
"105",105,105,"URM-Cn-6136",133589,"Psammocora explanulata",NA,NA,"CORAL2","LC","Unknown",7348259.62308057,22535749.4227493,24.6343923348462,6.16490166414523,69.2007060010086,79.9836266884978,"AM",23961651.2086093,16.9919652440544
"106",106,106,"URM-Cn-6137",133406,"Psammocora haimeana",NA,NA,"CORAL2","LC","Unknown",10908338.4532397,27741453.2130609,34.2470036477332,3.68942157373632,62.0635747785305,90.2747252747253,"AM",28786875.9000834,17.1754301433306
"107",107,107,"URM-Cn-6138",133094,"Psammocora nierstraszi",NA,NA,"CORAL2","LC","Stable",9106061.76382183,23829761.8236706,29.127817774106,6.63283370706951,64.2393485188245,81.4521452145215,"AM",25499569.7834894,17.0541721387506
"108",108,108,"URM-Cn-6139",133353,"Psammocora obtusangula",NA,NA,"CORAL2","NT","Unknown",11505475.8036441,15324280.5874378,31.3406333234685,25.1553714116603,43.5039952648713,55.4740701938188,"AM",20384284.8059692,16.8302748092918
"109",109,109,"URM-Cn-6140",133570,"Psammocora profundacella",NA,NA,"CORAL2","LC","Unknown",12955683.7133134,27572894.8985936,35.7185869128864,7.95865114411883,56.3227619429948,81.7784926470588,"AM",29836696.1614796,17.211249608721
"110",110,110,"URM-Cn-6141",132860,"Psammocora stellata",NA,NA,"CORAL2","VU","Unknown",2370373.25598331,4582880.60111928,18.1632653061225,22.1938775510204,59.6428571428571,45.0063211125158,"AM",5882864.80839812,15.587554413538
"111",111,111,"URM-Cn-6142",133502,"Psammocora superficialis",NA,NA,"CORAL2","LC","Unknown",14778018.8448055,29240057.7359327,37.7374380087957,8.73959015626462,53.5229718349396,81.1958928930944,"AM",31928440.5905812,17.27900772512
"112",112,112,"URM-Cn-6146",133027,"Siderastrea radians",NA,NA,"CORAL2","LC","Stable",3566050.06999085,5206166.01599192,43.9942112879884,14.5682585624698,41.4375301495417,75.1235584843493,"AM",6093785.68715637,15.622780070065
"113",113,113,"URM-Cn-6147",133590,"Siderastrea savignyana",NA,NA,"CORAL2","LC","Unknown",11049845.5071093,15278394.2905268,30.8350856112947,24.2415139681586,44.9234004205467,55.9858194709572,"AM",20116507.9368024,16.8170513263431
"114",114,114,"URM-Cn-6148",133389,"Siderastrea siderea",NA,NA,"CORAL2","LC","Stable",4075826.82141276,3587802.05796761,59.1183574879227,25.9661835748792,14.9154589371981,79.8531810766721,"IUCN",4796148.70397403,15.3833238004817
"115",115,115,"URM-Cn-4849",133621,"Acropora valenciennesi",NA,NA,"CORAL1","LC","Decreasing",12407892.8315733,24698496.6409008,41.1312528682882,6.19550252409362,52.6732446076182,86.9090909090909,"AM",26278296.1181365,17.0842539137914
"116",116,116,"SLB-61731",133293,"Acropora valida",NA,NA,"CORAL1","LC","Decreasing",14633015.4479511,28854872.1451093,36.5628821371461,9.63220769447841,53.8049101683755,79.1488495214824,"AM",31811703.2440054,17.2753448065863
