"","X.1","X","am_sid","iucn_sid","sciname","parent_sid","subpop_sid","spp_group","category","trend","am_area","iucn_area","perc","am_perc","iucn_perc","sm_perc","sm_range","total_area","log_total_area"
"1",1,1,"ITS-552925",170038,"Thymops birsteini",NA,NA,"LOBSTERS","LC","Unknown",1463956.51808695,629668.959243972,14.6799116997793,65.5629139072848,19.757174392936,42.6282051282051,"IUCN",1840518.01484548,14.4255576197704
"2",2,2,"ITS-567398",192532,"Conus stearnsii",NA,NA,"CONUS","VU","Unknown",1650599.74658129,191546.963452537,9.38566552901024,88.0546075085324,2.55972696245734,78.5714285714286,"IUCN",1691592.23894487,14.3411807965733
"3",3,3,"ITS-656358",192778,"Conus vexillum",NA,NA,"CONUS","LC","Unknown",12050377.6503956,33023150.9788155,30.2878813997587,4.48198586450612,65.2301327357352,87.1095686663361,"AM",34545730.8024672,17.3577945347679
"4",4,4,"SLB-184905",170037,"Eduarctus martensii",NA,NA,"LOBSTERS","LC","Unknown",13898208.1580268,13955304.6657125,46.2898642248184,26.6971897694979,27.0129460056836,63.422020333117,"AM",19016336.3272463,16.7608089744058
"5",5,5,"ITS-553024",170056,"Scyllarus pygmaeus",NA,NA,"LOBSTERS","LC","Unknown",1557504.32187881,2120177.0010695,38.2899628252788,20.631970260223,41.0780669144981,64.9842271293375,"AM",2687452.08173452,14.8041041212068
"6",6,6,"SLB-184955",170055,"Petrarctus rugosus",NA,NA,"LOBSTERS","LC","Unknown",10915285.7415968,6476086.00225936,29.341452413171,51.8042399639152,18.8543076229138,60.8797379503977,"IUCN",13440501.8471963,16.4137832321833
"7",7,7,"SLB-184912",185076,"Galearctus aurora",NA,NA,"LOBSTERS","LC","Unknown",7650635.1294179,2708338.92937229,8.67593712212818,69.6191051995163,21.7049576783555,28.5572139303483,"IUCN",9575000.11609439,16.0746661051557
"8",8,8,"SLB-184897",185093,"Crenarctus bicuspidatus",NA,NA,"LOBSTERS","LC","Unknown",11342463.8949543,17196461.3303302,33.4472856556817,19.8824012033365,46.6703131409818,62.7179487179487,"AM",21282198.1568938,16.8733815139495
"9",9,9,"SLB-184895",185080,"Chelarctus cultrifer",NA,NA,"LOBSTERS","LC","Unknown",10942220.4916614,13830642.6559106,18.9657621821281,33.5843159539707,47.4499218639011,36.0908353609084,"AM",20800964.3760893,16.8505099078318
"10",10,10,"ITS-660110",185038,"Pentacheles laevis",NA,NA,"LOBSTERS","LC","Stable",46350875.3094897,24368027.5507865,11.1550902281239,65.2281239359891,23.616785835887,32.0807833537332,"IUCN",62822981.7408523,17.955831515782
"11",11,11,"SLB-184838",185023,"Stereomastis surda",NA,NA,"LOBSTERS","LC","Unknown",15081791.2026862,108433604.858279,6.01458472261062,5.66394906102781,88.3214662163616,51.5011972738994,"AM",115992046.953332,18.5690321859731
"12",12,12,"ITS-660118",170008,"Scyllarides squammosus",NA,NA,"LOBSTERS","LC","Unknown",13928637.3896254,10541910.5936919,20.2484113229347,47.0103986135182,32.7411900635471,38.2120468792587,"IUCN",20378512.9850004,16.8299916186709
"13",13,13,"ITS-660225",170025,"Jasus edwardsii",NA,NA,"LOBSTERS","LC","Stable",593348.249327813,2047029.12893539,25.5972696245734,3.98179749715586,70.4209328782708,86.5384615384615,"AM",2120110.31848506,14.5669786823156
"14",14,14,"ITS-75285",192370,"Conus daucus",NA,NA,"CONUS","LC","Unknown",2587901.16773895,32191286.6922747,4.58987001344688,3.31689825190498,92.0932317346481,58.0498866213152,"AM",33277632.0019555,17.3203960175983
"15",15,15,"ITS-75291",192338,"Conus jaspideus",NA,NA,"CONUS","LC","Unknown",498265.414134479,665473.313058939,29.9319727891156,25.5102040816327,44.5578231292517,53.9877300613497,"AM",895756.898496972,13.7054243365017
"16",16,16,"ITS-75291",192637,"Conus jaspideus",NA,NA,"CONUS","LC","Unknown",498265.414134479,665473.313058939,29.9319727891156,25.5102040816327,44.5578231292517,53.9877300613497,"AM",895756.898496972,13.7054243365017
"17",17,17,"ITS-75305",192553,"Conus mazei",NA,NA,"CONUS","LC","Unknown",2565211.83240263,503233.923856719,7.14285714285714,82.7551020408163,10.1020408163265,41.4201183431953,"IUCN",2860190.98665826,14.8663989591183
"18",18,18,"ITS-75309",192444,"Conus villepinii",NA,NA,"CONUS","LC","Unknown",3248603.76435971,4590994.62270742,45.7343412526998,14.6868250539957,39.5788336933045,75.692582663092,"AM",5393924.53995063,15.5007837929567
"19",19,19,"ITS-75310",192340,"Conus amphiurgus",NA,NA,"CONUS","LC","Unknown",2758974.42472982,1212301.24521689,21.0616438356164,62.5,16.4383561643836,56.1643835616438,"IUCN",3289485.76956546,15.0062418094813
"20",20,20,"ITS-75314",192683,"Conus stimpsoni",NA,NA,"CONUS","LC","Unknown",1259904.65934359,909160.155035412,18,49.0769230769231,32.9230769230769,35.3474320241692,"IUCN",1849935.5114332,14.4306613377622
"21",21,21,"ITS-75327",192449,"Conus brunneus",NA,NA,"CONUS","LC","Unknown",1165814.75009613,1847592.57396408,26.5104808877928,23.5511713933416,49.9383477188656,52.9556650246305,"AM",2379550.77401719,14.6824222774191
"22",22,22,"ITS-75329",192871,"Conus cardinalis",NA,NA,"CONUS","NT","Unknown",2059167.04886102,463597.195239272,6.59203980099503,80.3482587064677,13.0597014925373,33.5443037974684,"IUCN",2367196.71923314,14.67721699414
"23",23,23,"ITS-75344",192578,"Conus ermineus",NA,NA,"CONUS","LC","Unknown",2216976.18149331,6643194.42651382,28.9780077619664,3.32039672272531,67.7015955153083,89.7196261682243,"AM",6872927.42543215,15.7431006906754
"24",24,24,"ITS-75346",192566,"Conus fergusoni",NA,NA,"CONUS","LC","Unknown",1974728.34140029,1606236.24305244,26.5625,43.8541666666667,29.5833333333333,47.3098330241187,"IUCN",2826510.7066557,14.8545535430456
"25",25,25,"ITS-75349",192345,"Conus gladiator",NA,NA,"CONUS","LC","Unknown",1078128.79234493,1800791.08292232,30.9459459459459,18.6486486486486,50.4054054054054,62.3978201634877,"AM",2197625.27981807,14.6028879170726
"26",26,26,"ITS-75352",192590,"Conus granulatus",NA,NA,"CONUS","LC","Unknown",1990217.71934134,17896245.2486692,7.10968775020016,3.73098478783026,89.1593274619696,65.5834564254062,"AM",18585247.0807281,16.7378786562567
"27",27,27,"ITS-75352",192624,"Conus granulatus",NA,NA,"CONUS","LC","Unknown",1990217.71934134,17896245.2486692,7.10968775020016,3.73098478783026,89.1593274619696,65.5834564254062,"AM",18585247.0807281,16.7378786562567
"28",28,28,"ITS-75356",192633,"Conus mus",NA,NA,"CONUS","LC","Unknown",1672891.21365075,3424133.65146992,41.659886086249,4.96338486574451,53.3767290480065,89.3542757417103,"AM",3597361.32869183,15.0957111704244
"29",29,29,"ITS-75369",192696,"Conus purpurascens",NA,NA,"CONUS","LC",NA,1401339.39915348,1980381.92522736,30.7867730900798,24.1733181299886,45.0399087799316,56.0165975103734,"AM",2586049.35244557,14.7656419226042
"30",30,30,"ITS-75376",192869,"Conus regius",NA,NA,"CONUS","LC","Unknown",2392024.6624439,4416333.52871429,37.2162485065711,11.3500597371565,51.4336917562724,76.629766297663,"AM",4960872.29068218,15.4170921482956
"31",31,31,"ITS-75376",192452,"Conus regius",NA,NA,"CONUS","LC",NA,2392024.6624439,4416333.52871429,37.2162485065711,11.3500597371565,51.4336917562724,76.629766297663,"AM",4960872.29068218,15.4170921482956
"32",32,32,"ITS-75400",192704,"Conus acutangulus",NA,NA,"CONUS","LC","Unknown",9260519.10307859,33095894.5708532,25.9687166725915,1.253110558123,72.7781727692855,95.3966699314398,"AM",33515397.0099317,17.3275155034427
"33",33,33,"ITS-75402",192629,"Conus attenuatus",NA,NA,"CONUS","LC","Unknown",2058578.46512875,2888405.31622951,39.6680497925311,18.5892116182573,41.7427385892116,68.0911680911681,"AM",3542041.34567894,15.0802137702322
"34",34,34,"ITS-75403",192693,"Conus cancellatus",NA,NA,"CONUS","LC","Unknown",3803641.531688,1709143.69481418,16.8594035301278,62.8727936701156,20.2678027997565,45.4098360655738,"IUCN",4737707.72500317,15.3710639743779
"35",35,35,"ITS-75406",192599,"Conus mindanus",NA,NA,"CONUS","LC","Unknown",3174401.99581471,5261309.10294917,49.045899948427,7.2717895822589,43.6823104693141,87.0879120879121,"AM",5669023.75541314,15.5505274837039
"36",36,36,"ITS-199949",169951,"Panulirus penicillatus",NA,NA,"LOBSTERS","LC","Unknown",11485846.4570943,29264245.5462371,31.0871432662022,5.48821227450606,63.4246444592918,84.9947807933194,"AM",30954671.5754311,17.248034485137
"37",37,37,"ITS-199950",169954,"Scyllarides haanii",NA,NA,"LOBSTERS","LC","Unknown",14367053.5202614,3080211.30419272,9.55909596146721,80.1037421267136,10.3371619118192,48.0446927374302,"IUCN",15967187.6186269,16.5860464006522
"38",38,38,"SLB-184862",185035,"Bathyarctus rubens",NA,NA,"LOBSTERS","LC","Unknown",11601635.9258014,6791059.31520661,20.5278592375367,55.425219941349,24.0469208211144,46.0526315789474,"IUCN",15242590.7354212,16.5396040895377
"39",39,39,"SLB-184916",185062,"Galearctus timidus",NA,NA,"LOBSTERS","LC","Unknown",9850493.29604784,5357551.18426771,18.4234234234234,56.5540540540541,25.0225225225225,42.4053913945049,"IUCN",12876766.5480127,16.3709352027146
"40",40,40,"ITS-553055",169979,"Thenus orientalis",NA,NA,"LOBSTERS","LC","Unknown",11963158.8930007,3951951.17342953,16.1063502526917,70.6218413535487,13.2718083937596,54.8242333582648,"IUCN",13711578.5490417,16.4337511834256
"41",41,41,"ITS-553058",170049,"Palinurellus wieneckii",NA,NA,"LOBSTERS","LC","Unknown",9582714.61770096,5649546.58833505,11.7880794701987,58.476821192053,29.7350993377483,28.3891547049442,"IUCN",13618759.2654544,16.4269587580203
"42",42,42,"ITS-552914",169962,"Acanthacaris tenuimana",NA,NA,"LOBSTERS","LC","Unknown",13637659.5481801,32098513.7379761,15.3174842010232,19.1393319289798,65.543183869997,44.4541484716157,"AM",39687825.536727,17.4965550370838
"43",43,43,"ITS-552916",169985,"Nephropsis acanthura",NA,NA,"LOBSTERS","LC","Unknown",5618551.28091132,6989999.64000504,6.87003968253968,39.1369047619048,53.9930555555556,14.9326145552561,"AM",11787759.7987971,16.2825722458758
"44",44,44,"ITS-552917",170044,"Nephropsis atlantica",NA,NA,"LOBSTERS","LC","Unknown",2032549.92039804,5037047.25239556,15.858287642345,20.4555040067482,63.6862083509068,43.6701509872242,"AM",6162312.46042526,15.6339626644847
"45",45,45,"ITS-552919",170086,"Nephropsis ensirostris",NA,NA,"LOBSTERS","LC","Unknown",3535681.57400567,4644546.55686604,4.84943292921392,40.4380132968322,54.7125537739539,10.7081174438687,"AM",7803077.9168752,15.8700288185514
"46",46,46,"ITS-552922",169974,"Nephropsis stewarti",NA,NA,"LOBSTERS","LC","Unknown",9776909.74414967,8373101.38896301,4.50496745460774,51.4902363823227,44.0047961630695,9.28672316384181,"IUCN",17378930.2260684,16.6707691238972
"47",47,47,"ITS-552923",170032,"Nephropsis suhmi",NA,NA,"LOBSTERS","LC","Unknown",8151152.11754986,7250663.67610554,5.53013725880247,47.9013328028645,46.568529938333,10.61473844979,"IUCN",14576659.0472033,16.4949321120044
"48",48,48,"ITS-552924",170092,"Nephropsis sulcata",NA,NA,"LOBSTERS","LC","Unknown",7251376.03044304,6161590.65229623,4.78555304740406,49.5259593679458,45.6884875846501,9.48121645796064,"IUCN",12804404.3037738,16.3652997559381
"49",49,49,"ITS-552934",170050,"Metanephrops boschmai",NA,NA,"LOBSTERS","LC","Decreasing",211989.913633694,745586.232742428,12.1875,12.5,75.3125,49.3670886075949,"AM",851925.15821339,13.6552539594805
"50",50,50,"ITS-552935",169972,"Metanephrops challengeri",NA,NA,"LOBSTERS","LC","Unknown",741592.665802284,1212963.13217459,43.3898305084746,11.1864406779661,45.4237288135593,79.5031055900621,"AM",1362162.89555203,14.1245843587985
"51",51,51,"ITS-552945",170064,"Metanephrops velutinus",NA,NA,"LOBSTERS","LC","Unknown",2710255.46670711,2193146.33911328,9.57654723127036,49.0553745928339,41.3680781758958,18.7979539641944,"IUCN",4482007.80986499,15.315581675837
"52",52,52,"ITS-552953",170072,"Jasus lalandii",NA,NA,"LOBSTERS","LC","Stable",181430.929054567,405096.039010623,35.5828220858896,6.13496932515337,58.2822085889571,85.2941176470588,"AM",431881.347308862,12.9759061704933
"53",53,53,"NZ-7290",170017,"Sagmariasus verreauxi",NA,NA,"LOBSTERS","LC","Unknown",548635.075337798,1006415.07331412,46.4037122969838,4.87238979118329,48.7238979118329,90.4977375565611,"AM",1061930.93899938,13.8755994494787
"54",54,54,"ITS-552961",170070,"Linuparus sordidus",NA,NA,"LOBSTERS","LC","Unknown",807870.175192363,1567231.1032412,11.0354223433243,25.7493188010899,63.2152588555858,30,"AM",2137060.34145341,14.5749417704274
"55",55,55,"ITS-552962",170054,"Linuparus trigonus",NA,NA,"LOBSTERS","LC","Unknown",8334790.51914454,2218572.89636304,16.2946428571429,74.1390306122449,9.56632653061224,63.0086313193588,"IUCN",9153211.83340519,16.0296153957029
"56",56,56,"ITS-552965",169999,"Palinurus gilchristi",NA,NA,"LOBSTERS","LC","Increasing",393723.421393827,253240.317945374,35.3260869565217,45.6521739130435,19.0217391304348,65,"IUCN",481883.488483442,13.0854576386744
"57",57,57,"ITS-552966",170035,"Palinurus mauritanicus",NA,NA,"LOBSTERS","LC","Unknown",1405502.05728029,2009574.56976384,36.9290573372206,20.019436345967,43.0515063168124,64.8464163822526,"AM",2488906.70114863,14.7273540961749
"58",58,58,"ITS-552973",170062,"Panulirus homarus",NA,NA,"LOBSTERS","LC","Unknown",14688263.8438578,17326573.5573956,41.7665867306155,23.4079403144151,34.8254729549694,64.0842191332788,"AM",22534934.3476875,16.930577300754
"59",59,59,"ITS-552976",170066,"Panulirus longipes",NA,NA,"LOBSTERS","LC","Unknown",15094720.241595,7200018.40733908,30.372191011236,57.935393258427,11.6924157303371,72.20367278798,"IUCN",17088484.6663734,16.6539153833064
"60",60,60,"ITS-552977",169987,"Panulirus ornatus",NA,NA,"LOBSTERS","LC","Stable",14894148.7776025,8431757.52879485,41.9741865115434,48.8820214506453,9.14379203781131,82.1123755334282,"IUCN",16406772.4812781,16.613204763727
"61",61,61,"ITS-552979",169990,"Panulirus polyphagus",NA,NA,"LOBSTERS","LC","Unknown",7659637.00991805,3856322.74624412,37.5409239723536,53.9468897781011,8.51218624954529,81.5165876777251,"IUCN",8372702.49219794,15.9404872687504
"62",62,62,"ITS-552984",170042,"Projasus parkeri",NA,NA,"LOBSTERS","LC","Unknown",1084741.52443268,902789.331010592,3.4106412005457,53.206002728513,43.3833560709413,7.28862973760933,"IUCN",1926257.16514643,14.4710893853481
"63",63,63,"ITS-552985",170080,"Puerulus angulatus",NA,NA,"LOBSTERS","LC","Unknown",7246054.62928008,2081871.89474344,14.1651376146789,74.4954128440367,11.3394495412844,55.5395683453237,"IUCN",8171914.55915475,15.9162137795486
"64",64,64,"ITS-552987",170011,"Puerulus sewelli",NA,NA,"LOBSTERS","LC","Unknown",1070387.77393356,1613641.64974229,44.6227929373997,13.0016051364366,42.3756019261637,77.4373259052925,"AM",1858502.07644201,14.4352813859865
"65",65,65,"ITS-552997",170034,"Arctides antipodarum",NA,NA,"LOBSTERS","LC","Unknown",182758.248149024,874370.639630524,21.6049382716049,0.308641975308642,78.0864197530864,98.5915492957747,"AM",876869.008095545,13.6841128965674
"66",66,66,"ITS-553004",170002,"Scyllarides elisabethae",NA,NA,"LOBSTERS","LC","Unknown",297082.835730416,321366.798464013,54.2483660130719,19.6078431372549,26.1437908496732,73.4513274336283,"AM",402401.352505684,12.9052052588596
"67",67,67,"ITS-553008",169969,"Evibacus princeps",NA,NA,"LOBSTERS","LC","Unknown",783338.323861848,1319191.15629811,49.6842105263158,6.10526315789474,44.2105263157895,89.0566037735849,"AM",1407074.34621975,14.157023174942
"68",68,68,"ITS-553010",170026,"Ibacus brevipes",NA,NA,"LOBSTERS","LC","Unknown",4427948.67802635,2317451.5914144,17.4234424498416,59.3453009503696,23.2312565997888,42.8571428571429,"IUCN",5747167.16206405,15.5642176239059
"69",69,69,"ITS-553013",170023,"Ibacus novemdentatus",NA,NA,"LOBSTERS","LC","Unknown",10805842.7995993,5064038.07549748,16.0387513455328,62.3250807319699,21.6361679224973,42.5714285714286,"IUCN",13753484.2128046,16.4368027472721
"70",70,70,"ITS-553014",169984,"Ibacus peronii",NA,NA,"LOBSTERS","LC","Stable",896060.799123805,1226747.85473098,66.6003976143141,3.77733598409543,29.6222664015905,94.6327683615819,"AM",1275299.83224002,14.0586918714695
"71",71,71,"SLB-184956",170004,"Remiarctus bertholdii",NA,NA,"LOBSTERS","LC","Unknown",7541349.28111699,6093684.95689868,48.5148514851485,33.4983498349835,17.986798679868,72.9528535980149,"IUCN",9195538.71313337,16.0342290019208
"72",72,72,"ITS-97309",169958,"Nephropsis aculeata",NA,NA,"LOBSTERS","LC","Unknown",2680177.57023461,7776528.48470517,28.4609978917779,4.25158116654954,67.2874209416725,87.0032223415682,"AM",8134046.61016275,15.9115690957209
"73",73,73,"ITS-97310",170082,"Nephropsis agassizii",NA,NA,"LOBSTERS","LC","Unknown",2956311.5182439,3841042.53987827,26.7536704730832,28.0043501903208,45.241979336596,48.857994041708,"AM",5363543.70835006,15.495135454208
"74",74,74,"ITS-97311",169986,"Nephropsis rosea",NA,NA,"LOBSTERS","LC","Unknown",2583262.03983383,5924940.29279626,12.0243531202435,21.9558599695586,66.0197869101979,35.3863381858903,"AM",7596139.21755366,15.8431506784917
"75",75,75,"ITS-97312",169973,"Nephropsis neglecta",NA,NA,"LOBSTERS","LC","Unknown",1255300.16341671,2758200.26377052,12.9382303839733,22.4540901502504,64.6076794657763,36.5566037735849,"AM",3551895.83754805,15.0829920576496
"76",76,76,"ITS-97314",170009,"Homarus americanus",NA,NA,"LOBSTERS","LC","Stable",1435925.72704903,1369690.25207272,69.6614583333333,17.3177083333333,13.0208333333333,84.251968503937,"IUCN",1644402.15898494,14.3128874469367
"77",77,77,"ITS-97315",169955,"Homarus gammarus",NA,NA,"LOBSTERS","LC","Stable",3192549.65727237,4716932.82571054,64.0862944162436,4.56852791878173,31.3451776649746,93.3456561922366,"AM",4886880.16929215,15.4020646556513
"78",78,78,"ITS-97317",169967,"Nephrops norvegicus",NA,NA,"LOBSTERS","LC","Stable",3949345.03163319,6147990.08147238,53.7844036697248,6.88073394495413,39.3348623853211,88.6578449905482,"AM",6549017.85396498,15.6948256504089
"79",79,79,"ITS-97319",170000,"Acanthacaris caeca",NA,NA,"LOBSTERS","LC","Unknown",1832310.72995817,3484246.79304186,14.6540880503145,24.8427672955975,60.503144654088,37.1019108280255,"AM",4640188.91858271,15.3502656385854
"80",80,80,"ITS-97323",170021,"Metanephrops binghami",NA,NA,"LOBSTERS","LC","Unknown",1598941.48498708,2027126.46088194,10.5026929982047,38.5098743267504,50.9874326750449,21.4285714285714,"AM",3285464.93766132,15.0050187334206
"81",81,81,"ITS-97651",169988,"Panulirus guttatus",NA,NA,"LOBSTERS","LC","Unknown",1522949.58930129,2299718.70095693,41.7118093174431,15.0595882990249,43.228602383532,73.4732824427481,"AM",2694586.62208142,14.8067553635775
