sciname,obs,iucn_sid,am_sid,occurcells
Acipenser brevirostrum,366,222,Fis-29585,16
Acipenser naccarii,76,224,Fis-29589,6
Acipenser nudiventris,24,225,Fis-29590,6
Acipenser stellatus,78,229,Fis-29592,9
Acipenser sturio,1678,230,Fis-29593,113
Acipenser gueldenstaedtii,79,232,Fis-58741,7
Acipenser medirostris,140,233,Fis-29588,19
Acipenser transmontanus,538,234,Fis-29594,10
Acipenser sinensis,20,236,Fis-32981,3
Acipenser mikadoi,4,241,Fis-33633,3
Acipenser oxyrinchus,695,245,Fis-58742,56
Alopex lagopus,3452,899,NA,NA
Vulpes lagopus,8622,899,NA,NA
Alosa immaculata,37,907,Fis-2,7
Amblyrhynchus cristatus,785,1086,Rep-455,17
Anisotremus moricandi,33,1308,Fis-140213,5
Anthias salmopunctatus,7,1615,Fis-58775,3
Aonyx capensis,239,1793,NA,NA
Aphanius fasciatus,773,1847,Fis-25345,34
Arctocephalus australis,343,2055,ITS-Mam-180633,44
Arctocephalus galapagoensis,41,2057,ITS-Mam-180634,13
Arctocephalus gazella,82014,2058,ITS-Mam-180630,1565
Arctocephalus tropicalis,326,2058,ITS-Mam-180632,65
Arctocephalus philippii,8,2059,ITS-180635,0
Arctocephalus pusillus,4578,2060,ITS-Mam-180629,66
Arctocephalus townsendi,78,2061,ITS-Mam-180636,29
Atherina boyeri,2206,2352,Fis-29684,109
Atherina presbyter,3973,2352,Fis-29300,72
Balaena mysticetus,929,2467,ITS-Mam-180533,79
Balaenoptera acutorostrata,11974,2474,ITS-Mam-180524,2063
Balaenoptera borealis,15933,2475,ITS-Mam-180526,1150
Balaenoptera brydei,10,2476,ITS-Mam-612597,32
Balaenoptera edeni,273,2476,ITS-Mam-180525,74
Balaenoptera musculus,6001,2477,ITS-Mam-180528,2008
Balaenoptera physalus,93100,2478,ITS-Mam-180527,3027
Balaenoptera bonaerensis,524,2480,ITS-Mam-612592,375
Balistes vetula,680,2539,Fis-29302,324
Bathyraja abyssicola,54,2636,Fis-55409,32
Berardius arnuxii,59,2762,ITS-Mam-180495,52
Berardius bairdii,180,2763,ITS-Mam-180496,104
Birgus latro,246,2811,Chn-ae156111-0d32-4a94-8720-9d7733c99831,26
Brachionichthys hirsutus,101,2958,Fis-56243,5
Butis butis,678,3381,Fis-26816,155
Callorhinus ursinus,4340,3590,ITS-Mam-180627,299
Canthigaster rapaensis,10,3764,NA,NA
Caperea marginata,204,3778,ITS-Mam-180535,59
Carcharhinus limbatus,3089,3851,Fis-23060,479
Carcharhinus obscurus,2568,3852,Fis-23064,467
Carcharhinus plumbeus,2286,3853,Fis-23066,535
Carcharias taurus,1169,3854,Fis-29388,270
Carcharodon carcharias,875,3855,Fis-23071,373
Caretta caretta,24934,3897,Rep-2666,4993
Testudo caretta,0,3897,NA,NA
Centropyge resplendens,16,4131,NA,NA
Cephalorhynchus commersonii,654,4159,ITS-Mam-180449,128
Cephalorhynchus eutropia,15,4160,ITS-180450,2
Cephalorhynchus heavisidii,84,4161,ITS-Mam-180451,29
Cephalorhynchus hectori,37,4162,ITS-Mam-180452,5
Cetorhinus maximus,1945,4292,Fis-22747,536
Chaetodon flavocoronatus,5,4360,NA,NA
Chaetodon litus,17,4361,NA,NA
Chaetodon marleyi,172,4362,Fis-32632,27
Chaetodon notophthalmus,0,4362,NA,NA
Chaetodon obliquus,1,4363,NA,NA
Prognathodes obliquus,3,4363,NA,NA
Chaetodon robustus,718,4364,Fis-33809,53
Chaetodon luciae,5,4364,NA,NA
Cheilinus undulatus,687,4592,Fis-31463,166
Chelonia mydas,10044,4615,Rep-2941,1581
Testudo mydas,1,4615,NA,NA
Chromis sanctaehelenae,10,4805,NA,NA
Conus africanus,21,5269,NA,NA
Conus cepasi,9,5270,NA,NA
Conus nobrei,7,5272,NA,NA
Conus zebroides,17,5273,NA,NA
Crocodylus acutus,931,5659,Rep-3445,65
Crocodilus acutus,3,5659,NA,NA
Crocodylus porosus,10410,5668,Rep-3460,149
Croilia mossambica,68,5675,Fis-31807,8
Cystophora cristata,757,6204,ITS-Mam-180657,80
Dalatias licha,2954,6229,Fis-23101,558
Delphinapterus leucas,2501,6335,ITS-Mam-180483,165
Delphinus delphis,16486,6336,ITS-Mam-180438,1969
Delphinus capensis,803,6337,ITS-Mam-555654,129
Delphinus bairdii,2,6337,NA,NA
Delphinus tropicalis,13,6337,NA,NA
Dermochelys coriacea,4978,6494,Rep-4381,5390
Testudo coriacea,0,6494,NA,NA
Dugong dugon,1608,6909,ITS-Mam-180679,245
Echinus esculentus,16399,7011,W-Ech-124287,6
Eleotris melanosoma,658,7135,Fis-33751,53
Enhydra lutris,8174,7750,ITS-Mam-180547,156
Entomacrodus cadenati,28,7778,NA,NA
Epinephelus drummondhayi,67,7854,Fis-29953,41
Epinephelus exsul,6,7855,NA,NA
Hyporthodus exsul,104,7855,NA,NA
Serrihastaperca exsul,0,7855,NA,NA
Epinephelus lanceolatus,226,7858,Fis-26139,160
Epinephelus marginatus,5931,7859,Fis-26140,299
Epinephelus brachysoma,3,7859,NA,NA
