iucn_sid,cellarea_tot,ocean_range,marine_range,mpa2015,pct2015,cat2015,speciesid
899,13295073.78,1786332.91,1889915.7511,171054.411888,0.0905090143771965,5-10%,iucn899
1793,12854842.59,385236.76,347086.106216,5983.754624,0.0172399716290463,0-2%,iucn1793
2055,2515088.95,2176263.51,2111974.083604,10535.963144,0.00498868012907658,0-2%,iucn2055
2057,160706.91,155019.69,152606.346756,102.611972,0.000672396490586756,0-2%,iucn2057
2058,18236106.21,18205130.86,18198466.379664,157676.93794,0.00866429811449371,0-2%,iucn2058
2059,4090055.52,3979148.57,3959335.42802,375.828024,9.49219965907121e-05,0-2%,iucn2059
2060,1575852.24,1381444.02,1348147.40794,19097.791596,0.0141659520936081,0-2%,iucn2060
2061,1526033.85,1408489.94,1389128.576388,2939.056392,0.00211575547574013,0-2%,iucn2061
2062,14237916.57,14231518.53,14229047.350824,209409.429276,0.0147170379093491,0-2%,iucn2062
2467,10849585.02,9382746.19,9356334.67042,318022.265724,0.0339900481253012,2-5%,iucn2467
2474,356302157.71,348193800.92,347284050.321608,2591946.832072,0.00746347789272697,0-2%,iucn2474
2475,323766721.58,317902784.84,317153103.508272,2452264.02258,0.00773211422323679,0-2%,iucn2475
2476,230999732.74,226569105.79,225996389.484248,1639748.38832,0.0072556397562904,0-2%,iucn2476
2477,444638019.97,436255170.58,435257693.362832,3383120.390956,0.0077726837286155,0-2%,iucn2477
2478,211242987.89,206662159.15,206139644.67204,1546514.176228,0.00750226468415837,0-2%,iucn2478
2480,177054691.06,174664030.07,174435947.908112,2073120.25462,0.0118847077077946,0-2%,iucn2480
2762,107038335.22,105801981.28,105611768.505048,710948.265852,0.00673171442837848,0-2%,iucn2762
2763,24118352.28,23167703.73,23042577.181416,47999.083616,0.00208306055516705,0-2%,iucn2763
3590,17980083.62,17273510.42,17177385.162512,36338.365436,0.00211547712834111,0-2%,iucn3590
3764,111363.13,111195.86,111288.730564,0,0,gap,iucn3764
3778,74524664.6,73796225.18,73675508.521068,760736.169764,0.0103254960167185,0-2%,iucn3778
3897,286195581.42,279496363.87,278667656.086228,2289558.445552,0.00821608965212505,0-2%,iucn3897
4131,55095.26,55034,54992.348912,0,0,gap,iucn4131
4159,1460913.71,1334738.17,1312630.288736,3187.098096,0.00242802419184538,0-2%,iucn4159
4160,595642.16,420406.93,371639.869188,9064.391156,0.0243902549417125,2-5%,iucn4160
4161,280745.1,232917.1,220856.565856,1057.260336,0.00478709035387855,0-2%,iucn4161
4162,266101.22,197862.87,187706.169844,150.974408,0.000804312442822059,0-2%,iucn4162
4360,161033.84,160496.43,160000.220252,4245.88274,0.0265367305952001,2-5%,iucn4360
4361,60476.88,60394.43,60306.50338,2.198408,3.64539125431881e-05,0-2%,iucn4361
4362,475287.86,410234.56,402240.942168,4276.68868,0.010632156579958,0-2%,iucn4362
4363,49437.72,49437.72,49437.72,0,0,gap,iucn4363
4364,1328069.38,1174930.31,1139775.986788,3462.588136,0.00303795498074838,0-2%,iucn4364
4615,182905657.61,178996669.58,178512502.892032,1609229.070616,0.00901465748642433,0-2%,iucn4615
4805,56463.64,56404.14,56333.9623,1.190004,2.11240955085455e-05,0-2%,iucn4805
5269,56941.25,43604.68,41428.474748,2.361616,5.70046571679304e-05,0-2%,iucn5269
5270,14972.78,13117.79,12578.966928,0,0,gap,iucn5270
5272,12022.5,7785.84,7338.65894,0,0,gap,iucn5272
5273,60198.71,49791.44,48561.217068,0,0,gap,iucn5273
5659,3639781.73,1087392.61,1019353.508708,35881.521652,0.0352002728645912,2-5%,iucn5659
5668,9514497.61,3389176.13,3145142.291472,72016.595256,0.0228977224500372,2-5%,iucn5668
6204,8835758.54,7875856.08,7880838.582696,154684.669196,0.0196279453731792,0-2%,iucn6204
6335,11751224.84,9849239.51,9836638.70252,299054.447084,0.030402097314745,2-5%,iucn6335
6336,184185050.2,176177421.52,175223400.12624,1676993.599552,0.009570603003616,0-2%,iucn6336
6337,16857994.55,14834577.25,14600070.086192,48606.91754,0.00332922494570556,0-2%,iucn6337
6494,1034944934.66,1010602410.76,1007492304.57346,7456193.5562,0.00740074492118006,0-2%,iucn6494
6909,11946401.39,9618405.75,9328708.664444,132762.479928,0.0142316031836238,0-2%,iucn6909
7750,2526464.27,2351165.44,2315201.418628,18033.756312,0.00778928181664941,0-2%,iucn7750
7778,1195404.9,1061150.72,1030880.798764,2264.063048,0.00219624136050895,0-2%,iucn7778
