"","X.1","X","am_sid","sciname","am_category","iucn_sid","iucn_category","popn_trend","parent_sid","subpop_sid","popn_category","info_source","spp_group","id_no","spatial_source","category_score","trend_score","total_area","am_area","iucn_area","perc","am_perc","iucn_perc","sm_perc","sm_range","log_total_area"
"1",1,1,"ITS-552925","Thymops birsteini",NA,170038,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170038,"iucn",0,NA,1840518.01484548,1463956.51808695,629668.959243972,14.6799116997793,65.5629139072848,19.757174392936,42.6282051282051,"IUCN",14.4255576197704
"2",2,2,"ITS-567398","Conus stearnsii",NA,192532,"VU","Unknown",NA,NA,"VU","iucn","CONUS",192532,"iucn",0.4,NA,1691592.23894487,1650599.74658129,191546.963452537,9.38566552901024,88.0546075085324,2.55972696245734,78.5714285714286,"IUCN",14.3411807965733
"3",3,3,"ITS-656358","Conus vexillum",NA,192778,"LC","Unknown",NA,NA,"LC","iucn","CONUS",192778,"iucn",0,NA,34428116.6144633,12050377.6503956,32879628.6172659,30.3166637826614,4.58556843744593,65.0977677798927,86.8616757560734,"AM",17.3543841319441
"4",4,4,"SLB-184905","Eduarctus martensii","LC",170037,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170037,"iucn",0,NA,19016336.3272463,13898208.1580268,13955304.6657125,46.2898642248184,26.6971897694979,27.0129460056836,63.422020333117,"AM",16.7608089744058
"5",5,5,"ITS-553024","Scyllarus pygmaeus","LC",170056,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170056,"iucn",0,NA,2687452.08173452,1557504.32187881,2120177.0010695,38.2899628252788,20.631970260223,41.0780669144981,64.9842271293375,"AM",14.8041041212068
"6",6,6,"SLB-184955","Petrarctus rugosus","LC",170055,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",170055,"iucn",0,NA,13440501.8471963,10915285.7415968,6476086.00225936,29.341452413171,51.8042399639152,18.8543076229138,60.8797379503977,"IUCN",16.4137832321833
"7",7,7,"SLB-184912","Galearctus aurora","LC",185076,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",185076,"iucn",0,NA,9575000.11609439,7650635.1294179,2708338.92937229,8.67593712212818,69.6191051995163,21.7049576783555,28.5572139303483,"IUCN",16.0746661051557
"8",8,8,"SLB-184897","Crenarctus bicuspidatus","LC",185093,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",185093,"iucn",0,NA,21282198.1568938,11342463.8949543,17196461.3303302,33.4472856556817,19.8824012033365,46.6703131409818,62.7179487179487,"AM",16.8733815139495
"9",9,9,"SLB-184895","Chelarctus cultrifer","LC",185080,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",185080,"iucn",0,NA,20800964.3760893,10942220.4916614,13830642.6559106,18.9657621821281,33.5843159539707,47.4499218639011,36.0908353609084,"AM",16.8505099078318
"10",10,10,"ITS-660110","Pentacheles laevis","LC",185038,"LC","Stable",NA,NA,"LC","iucn","LOBSTERS",185038,"iucn",0,0,62822981.7408523,46350875.3094897,24368027.5507865,11.1550902281239,65.2281239359891,23.616785835887,32.0807833537332,"IUCN",17.955831515782
"11",11,11,"SLB-184838","Stereomastis surda","LC",185023,"LC","Unknown",NA,NA,"LC","iucn","LOBSTERS",185023,"iucn",0,NA,115992046.953332,15081791.2026862,108433604.858279,6.01458472261062,5.66394906102781,88.3214662163616,51.5011972738994,"AM",18.5690321859731
