class,n_am_class_all,p_am_class_all,n_am_class_solo,p_am_class_solo,n_iucn_class_all,p_iucn_class_all,n_iucn_class_solo,p_iucn_class_solo,n_class_both,p_class_both
Actinopterygii,11157,48.74,9691,47.14,1873,46.51,407,23.98,1466,62.92
Anthozoa,788,3.44,396,1.93,552,13.71,160,9.43,392,16.82
Ascidiacea,536,2.34,536,2.61,NA,NA,NA,NA,NA,NA
Asteroidea,161,0.7,161,0.78,NA,NA,NA,NA,NA,NA
Aves,188,0.82,188,0.91,NA,NA,NA,NA,NA,NA
Bivalvia,833,3.64,833,4.05,NA,NA,NA,NA,NA,NA
Cephalopoda,246,1.07,246,1.2,NA,NA,NA,NA,NA,NA
Demospongiae,344,1.5,344,1.67,NA,NA,NA,NA,NA,NA
Elasmobranchii,809,3.53,809,3.94,NA,NA,NA,NA,NA,NA
Equisetopsida,5,0.02,1,0.0,4,0.1,NA,NA,4,0.17
Gastropoda,2271,9.92,2145,10.43,632,15.69,506,29.82,126,5.41
Holothuroidea,78,0.34,34,0.17,369,9.16,325,19.15,44,1.89
Hydrozoa,234,1.02,232,1.13,10,0.25,8,0.47,2,0.09
Magnoliopsida,5,0.02,1,0.0,63,1.56,59,3.48,4,0.17
Malacostraca,2898,12.66,2740,13.33,246,6.11,88,5.19,158,6.78
Mammalia,118,0.52,11,0.05,124,3.08,17,1.0,107,4.59
Maxillopoda,175,0.76,175,0.85,NA,NA,NA,NA,NA,NA
Not assigned,131,0.57,131,0.64,NA,NA,NA,NA,NA,NA
Ophiuroidea,150,0.66,150,0.73,NA,NA,NA,NA,NA,NA
Polychaeta,204,0.89,204,0.99,NA,NA,NA,NA,NA,NA
Pycnogonida,466,2.04,466,2.27,NA,NA,NA,NA,NA,NA
Reptilia,32,0.14,5,0.02,86,2.14,59,3.48,27,1.16
Scaphopoda,223,0.97,223,1.08,NA,NA,NA,NA,NA,NA
Liliopsida,NA,NA,NA,NA,65,1.61,65,3.83,NA,NA
Polypodiopsida,NA,NA,NA,NA,3,0.07,3,0.18,NA,NA
