sciname,obis_occ
Arctocephalus australis,1325
Arctocephalus galapagoensis,105
Arctocephalus gazella,25503
Arctocephalus philippii,46
Arctocephalus pusillus,2956
Arctocephalus townsendi,45
Arctocephalus tropicalis,84
Balaena mysticetus,9402
Balaenoptera acutorostrata,14566
Balaenoptera borealis,10940
Balaenoptera edeni,889
Balaenoptera musculus,16700
Balaenoptera physalus,65735
Balaenoptera bonaerensis,497
Berardius arnuxii,21
Berardius bairdii,176
Callorhinus ursinus,2747
Caperea marginata,40
Caretta caretta,35155
Cephalorhynchus commersonii,607
Cephalorhynchus eutropia,NA
Cephalorhynchus heavisidii,65
Cephalorhynchus hectori,28
Chaetodon marleyi,100
Chaetodon robustus,692
Chelonia mydas,3494
Crocodylus acutus,2
Crocodylus porosus,6
Cystophora cristata,105
Delphinapterus leucas,4195
Delphinus delphis,31643
Delphinus capensis,31643
Dermochelys coriacea,12324
Dugong dugon,105
Enhydra lutris,3235
Epinephelus drummondhayi,159
Epinephelus lanceolatus,128
Epinephelus marginatus,1405
Hyporthodus nigritus,64
Hyporthodus niveatus,415
Epinephelus striatus,297
Eretmochelys imbricata,2061
Erignathus barbatus,1880
Eschrichtius robustus,4698
Eubalaena australis,7197
Eumetopias jubatus,763
Feresa attenuata,201
Globicephala macrorhynchus,2180
Globicephala melas,7017
Grampus griseus,6504
Halichoerus grypus,4039
Hydrurga leptonyx,761
Hyperoodon planifrons,71
Kogia sima,986
Lachnolaimus maximus,2579
Lagenodelphis hosei,142
Lagenorhynchus acutus,7081
Lagenorhynchus albirostris,2581
Lagenorhynchus australis,280
Lagenorhynchus cruciger,104
Lagenorhynchus obliquidens,1773
Lagenorhynchus obscurus,250
Lagocephalus gloveri,38
Lepidochelys olivacea,4442
Leptonychotes weddellii,27501
Lissodelphis borealis,795
Lithognathus lithognathus,947
Lobodon carcinophaga,55069
Lutra lutra,5
Megaptera novaeangliae,35782
Mesoplodon bidens,188
Mesoplodon carlhubbsi,NA
Mesoplodon europaeus,108
Mesoplodon ginkgodens,2
Mesoplodon grayi,30
Mesoplodon hectori,1
Mesoplodon layardii,95
Mesoplodon mirus,23
Mesoplodon peruvianus,40
Mesoplodon stejnegeri,1
Mirounga angustirostris,5906
Mirounga leonina,234471
Monachus monachus,2
Neomonachus schauinslandi,NA
Monodon monoceros,232
Mycteroperca jordani,51
Mycteroperca microlepis,356
Mycteroperca olfax,1490
Mycteroperca prionura,22
Mycteroperca rosacea,156
Mycteroperca rubra,74
Neophoca cinerea,197
Odobenus rosmarus,3653
Ommatophoca rossii,1109
Orcaella brevirostris,71
Pagrus pagrus,5368
Peponocephala electra,223
Phoca vitulina,11197
Phocarctos hookeri,137
Phocoena phocoena,40994
Phocoena sinus,271
Phocoena spinipinnis,5
Phocoenoides dalli,6621
Pontoporia blainvillei,49
Pseudorca crassidens,1067
Scarus guacamaia,215
Scomberomorus concolor,67
Sousa chinensis,47
Stenella attenuata,4163
Stenella clymene,130
Stenella coeruleoalba,7911
Stenella frontalis,7579
Stenella longirostris,2197
Steno bredanensis,1028
Takifugu niphobles,42
Takifugu poecilonotus,43
Takifugu xanthopterus,14
Tasmacetus shepherdi,5
Thalassoma ascensionis,8
Thunnus alalunga,114165
Thunnus albacares,241296
Thunnus maccoyii,352
Thunnus obesus,120532
Thunnus thynnus,9287
Torquigener brevipinnis,17
Trichechus manatus,25121
Tursiops truncatus,46726
Xiphias gladius,196866
Ziphius cavirostris,1296
Dermatolepis inermis,39
Cephalopholis boenak,786
Cromileptes altivelis,306
Indopacetus pacificus,9
Arctocephalus forsteri,1267
Zalophus californianus,7339
Zalophus wollebaeki,61
Histriophoca fasciata,6
Pagophilus groenlandicus,609
Pusa hispida,5296
Eubalaena japonica,2002
Eubalaena glacialis,5139
Tursiops aduncus,553
Phocoena dioptrica,2
Physeter macrocephalus,52539
Mesoplodon perrini,NA
Mesoplodon traversii,1
Epinephelus akaara,22
Dermatolepis striolata,8
Epinephelus fuscoguttatus,157
Epinephelus coioides,336
Hyporthodus quernus,116
Epinephelus albomarginatus,2634
Epinephelus morio,1886
Mycteroperca tigris,242
Mycteroperca venenosa,190
Plectropomus leopardus,3270
Epinephelus cifuentesi,163
Epinephelus awoara,28
Epinephelus daemelii,128
Epinephelus malabaricus,214
Epinephelus polyphekadion,271
Bolbometopon muricatum,364
Epinephelus bruneus,33
Hyporthodus flavolimbatus,63
Epinephelus timorensis,2
Epinephelus tuamotuensis,2
Epinephelus undulatostriatus,149
Mycteroperca interstitialis,130
Plectropomus areolatus,79
Plectropomus laevis,807
Epinephelus aeneus,1818
Epinephelus maculatus,326
Cephalopholis aurantia,47
Epinephelus flavocaeruleus,238
Paranthias furcifer,130
Epinephelus summana,91
Mycteroperca phenax,1072
Hyporthodus acanthistius,142
Cephalopholis miniata,1589
Cephalopholis panamensis,388
Hyporthodus niphobles,86
Epinephelus latifasciatus,87
Epinephelus rivulatus,876
Cephalopholis leopardus,614
Variola louti,1366
Epinephelus undulosus,23
Cephalopholis sexmaculata,90
Cephalopholis nigri,35
Cephalopholis formosa,94
Epinephelus morrhua,78
Epinephelus melanostigma,191
Epinephelus spilotoceps,231
Epinephelus longispinis,83
Epinephelus stictus,3
Epinephelus coeruleopunctatus,174
Epinephelus bilobatus,2
Epinephelus polylepis,5
Alphestes immaculatus,208
Epinephelus radiatus,31
Epinephelus miliaris,25
Cephalopholis sonnerati,203
Epinephelus tauvina,300
Cephalopholis hemistiktos,37
Epinephelus faveatus,24
Cephalopholis cruentata,2842
Epinephelus costae,105
Epinephelus corallicola,119
Alphestes afer,64
Epinephelus goreensis,751
Epinephelus macrospilos,153
Dermatolepis dermatolepis,357
Epinephelus fasciatomaculosus,31
Gonioplectrus hispanus,34
Hyporthodus octofasciatus,22
Epinephelus tukula,79
Epinephelus areolatus,1091
Plectropomus pessuliferus,12
Plectropomus oligacanthus,49
Epinephelus diacanthus,43
Epinephelus hexagonatus,393
Cephalopholis oligosticta,4
Epinephelus sexfasciatus,658
Cephalopholis argus,6105
Cephalopholis aitha,12
Cephalopholis urodeta,5732
Epinephelus magniscuttis,11
Epinephelus erythrurus,20
Cephalopholis nigripinnis,72
Anyperodon leucogrammicus,186
Epinephelus merra,957
Cephalopholis microprion,201
Triso dermopterus,30
Cephalopholis igarashiensis,13
Epinephelus stoliczkae,11
Epinephelus retouti,82
Hyporthodus ergastularius,37
Epinephelus caninus,705
Epinephelus heniochus,28
Epinephelus quoyanus,333
Gracila albomarginata,2634
Plectropomus punctatus,25
Epinephelus poecilonotus,47
Cephalopholis polyspila,61
Epinephelus ongus,168
Cephalopholis polleni,22
Cephalopholis fulva,2722
Hyporthodus septemfasciatus,181
Cephalopholis cyanostigma,628
Variola albimarginata,133
Mycteroperca xenarcha,69
Epinephelus amblycephalus,82
Epinephelus bontoides,5
Epinephelus cyanopodus,44
Saloptia powelli,6
Epinephelus fasciatus,1833
Plectropomus maculatus,843
Epinephelus adscensionis,311
Cephalopholis taeniops,692
Paranthias colonus,462
Epinephelus chlorostigma,113
Cephalopholis spiloparaea,266
Epinephelus bleekeri,58
Hyporthodus mystacinus,44
Hyporthodus haifensis,5
Epinephelus howlandi,88
Mycteroperca acutirostris,59
Oulastrea crispata,38
Psammocora stellata,1658
Acropora prostrata,1357
Montipora angulata,126
Acropora florida,908
Pectinia elongata,3
Scolymia lacera,106
Pocillopora kelleheri,6
Leptoseris tubulifera,34
Fungia fralinae,11
Favia maxima,149
Pavona venosa,204
Goniastrea australensis,578
Colpophyllia natans,2578
Leptoseris hawaiiensis,209
Acropora seriata,9
Montipora hodgsoni,NA
Favia veroni,79
Symphyllia radians,413
Fungia puishani,931
Leptoseris solida,24
Acropora irregularis,148
Acropora rosaria,130
Acropora turaki,39
Pavona maldivensis,1035
Siderastrea stellata,55
Turbinaria irregularis,48
Gardineroseris planulata,224
Montastrea curta,2720
Pocillopora woodjonesi,41
Leptoseris striata,3
Pectinia lactuca,458
Acropora willisae,148
Acropora carduus,243
Acropora plumosa,32
Favia pallida,1067
Acropora acuminata,417
Indophyllia macassarensis,1
Montipora patula,10580
Porites colonensis,43
Acropora lianae,NA
Acropora macrostoma,1337
Turbinaria bifrons,152
Symphyllia erythraea,33
Manicina areolata,453
Euphyllia yaeyamaensis,NA
Halomitra clavator,6
Acropora listeri,148
Agaricia lamarcki,247
Acropora paniculata,287
Plerogyra discus,NA
Montipora stilosa,24
Leptoria phrygia,562
Leptastrea bottae,90
Acropora derawanensis,14
Echinopora gemmacea,392
Acropora longicyathus,603
Acropora multiacuta,117
Coscinaraea crassa,42
Acropora humilis,1692
Fungia seychellensis,43
Acropora ocellata,1692
Seriatopora stellata,29
Leptastrea bewickensis,144
Simplastrea vesicularis,NA
Acropora palmata,6615
Montipora malampaya,NA
Fungia spinifer,35
Pocillopora ankeli,7
Acropora grandis,628
Acropora minuta,NA
Acropora tenuis,1337
Porites lichen,1128
Merulina scabricula,157
Acropora vaughani,331
Mycedium mancaoi,33
Favia rotumana,261
Montipora effusa,15
Lobophyllia flabelliformis,34
Acropora pulchra,455
Fungia fragilis,153
Mycetophyllia reesi,37
Porites nigrescens,237
Psammocora digitata,199
Pocillopora ligulata,910
Anacropora spinosa,3
Scolymia cubensis,93
Favites halicora,496
Euphyllia paradivisa,NA
Echinophyllia echinata,84
Platygyra verweyi,199
Montipora florida,6
Montipora informis,373
Montastrea colemani,99
Montipora foliosa,265
Lobophyllia robusta,139
Acropora kirstyae,79
Porites lutea,1921
Barabattoia amicorum,207
Acropora subglabra,289
Echinopora lamellosa,929
Echinophyllia patula,2
Leptastrea purpurea,4189
Astreopora incrustans,4
Psammocora nierstraszi,496
Porites columnaris,23
Pocillopora danae,2742
Pocillopora elegans,96
Agaricia undata,66
Dichocoenia stokesii,NA
Acanthastrea hillae,187
Galaxea acrhelia,22
Ctenactis crassa,176
Montipora saudii,22
Acropora caroliniana,152
Montipora cactus,NA
Acropora retusa,122
Acropora latistella,1112
Siderastrea glynni,NA
Acropora plantaginea,37
Dendrogyra cylindrus,160
Acropora fenneri,NA
Symphyllia valenciennesii,80
Acropora pruinosa,3
Astreopora ocellata,62
Montipora friabilis,2
Acropora aspera,483
Acropora abrolhosensis,81
Montastraea annularis,8953
Isopora palifera,14
Cladocora caespitosa,84
Millepora alcicornis,1946
Stylocoeniella cocosensis,NA
Ctenactis echinata,224
Favia lacuna,22
Lobophyllia pachysepta,329
Scolymia vitiensis,182
Podabacia crustacea,494
Acropora austera,1015
Platygyra contorta,161
Oculina varicosa,79
Stylophora mamillata,21
Echinophyllia aspera,466
Montipora efflorescens,158
Coscinaraea exesa,102
Turbinaria patula,189
Montastrea annuligera,109
Isopora brueggemanni,512
Fungia granulosa,222
Mussismilia hispida,131
Montipora floweri,78
Oxypora glabra,59
Heliopora coerulea,462
Montipora digitata,200
Acropora appressa,42
Pocillopora verrucosa,2742
Oulophyllia crispa,468
Fungia scutaria,1411
Acropora tenella,9
Acropora roseni,23
Favites pentagona,639
Favia speciosa,442
Oculina diffusa,140
Lithophyllon undulatum,41
Fungia tenuis,120
Porites lobata,45076
Meandrina danae,1
Pachyseris foliosa,6
Nemenzophyllia turbida,2
Montipora caliculata,807
Pocillopora damicornis,4201
Acropora donei,371
Astreopora expansa,30
Diploastrea heliopora,571
Acropora kimbeensis,18
Galaxea paucisepta,2
Montastraea cavernosa,5703
Montipora hispida,226
Acropora nasuta,1538
Pavona clavus,401
Pavona frondifera,70
Favites flexuosa,522
Acanthastrea echinata,521
Acropora robusta,3671
Acropora digitifera,881
Stylophora wellsi,23
Acropora tortuosa,120
Blastomussa wellsi,37
Agaricia humilis,75
Euphyllia glabrescens,271
Plerogyra sinuosa,356
Trachyphyllia geoffroyi,249
Pavona danai,33
Astreopora listeri,124
Micromussa diminuta,1
Heliofungia actiniformis,282
Acropora sarmentosa,636
Pectinia paeonia,248
Porites australiensis,229
Madracis formosa,59
Acropora batunai,26
Plesiastrea versipora,440
Euphyllia paraancora,NA
Favites abdita,909
Acropora striata,96
Astreopora myriophthalma,1691
Montipora turgescens,305
Astreopora gracilis,194
Lobophyllia hataii,191
Montipora verrilli,71
Favia rotundata,167
Fungia scruposa,156
