am_sid,sciname,am_class,iucn_sid,sciname_iucn,iucn_class,class
Fis-156671,Abalistes filamentosus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-53544,Abalistes stellaris,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-142700,Abalistes stellatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-27725,Ablabys taenianotus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-22975,Ablennes hians,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26241,Abudefduf abdominalis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26166,Abudefduf bengalensis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-28205,Abudefduf concolor,Actinopterygii,183483,Abudefduf concolor,Actinopterygii,Actinopterygii
Fis-136667,Abudefduf declivifrons,Actinopterygii,183460,Abudefduf declivifrons,Actinopterygii,Actinopterygii
Fis-31491,Abudefduf lorenzi,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-28218,Abudefduf luridus,Actinopterygii,188419,Abudefduf luridus,Actinopterygii,Actinopterygii
Fis-25761,Abudefduf notatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23318,Abudefduf saxatilis,Actinopterygii,188581,Abudefduf saxatilis,Actinopterygii,Actinopterygii
Fis-25762,Abudefduf septemfasciatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-25763,Abudefduf sexfasciatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-25764,Abudefduf sordidus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26803,Abudefduf sparoides,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23319,Abudefduf taurus,Actinopterygii,188434,Abudefduf taurus,Actinopterygii,Actinopterygii
Fis-26922,Abudefduf troschelii,Actinopterygii,183397,Abudefduf troschelii,Actinopterygii,Actinopterygii
Fis-26228,Abudefduf vaigiensis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-33558,Abudefduf whitleyi,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-50764,Abyssobrotula galatheae,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-22077,Acanthaluteres brownii,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-125479,Acanthaluteres spilomelanurus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-119913,Acanthaluteres vittiger,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-115260,Acanthaphritis barbata,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-24397,Acanthemblemaria aspera,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-113559,Acanthemblemaria balanorum,Actinopterygii,NA,NA,NA,Actinopterygii
