am_sid,sciname,am_class,iucn_sid,sciname_iucn,iucn_class,class
Fis-58221,Acanthemblemaria castroi,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-113560,Acanthemblemaria crockeri,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-113577,Acanthemblemaria exilispinus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-113583,Acanthemblemaria hancocki,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-113588,Acanthemblemaria macrospilus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-49730,Acanthemblemaria maria,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-49731,Acanthemblemaria spinosa,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-22840,Acanthistius brasilianus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29237,Acanthistius ocellatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26768,Acanthistius sebastoides,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29238,Acanthistius serratus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-27781,Acanthocepola abbreviata,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-62878,Acanthocepola krusensternii,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-27337,Acanthocepola limbata,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-131546,Acanthochaenus luetkenii,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26242,Acanthochromis polyacanthus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26619,Acantholabrus palloni,Actinopterygii,186106,Acantholabrus palloni,Actinopterygii,Actinopterygii
Fis-24399,Acantholumpenus mackayi,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-33095,Acanthonus armatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26855,Acanthopagrus australis,Actinopterygii,170257,Acanthopagrus australis,Actinopterygii,Actinopterygii
Fis-25680,Acanthopagrus berda,Actinopterygii,170266,Acanthopagrus berda,Actinopterygii,Actinopterygii
Fis-25176,Acanthopagrus bifasciatus,Actinopterygii,170239,Acanthopagrus bifasciatus,Actinopterygii,Actinopterygii
Fis-29194,Acanthopagrus butcheri,Actinopterygii,170189,Acanthopagrus butcheri,Actinopterygii,Actinopterygii
Fis-26067,Acanthopagrus latus,Actinopterygii,170263,Acanthopagrus latus,Actinopterygii,Actinopterygii
Fis-150124,Acanthopagrus schlegelii,Actinopterygii,170153,Acanthopagrus schlegelii,Actinopterygii,Actinopterygii
Fis-51707,Acanthoplesiops hiatti,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-33019,Acanthopsetta nadeshnyi,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-57849,Acanthosphex leurynnis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-53659,Acanthostracion guineensis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-53665,Acanthostracion notacanthus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-49970,Acanthostracion polygonius,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-22736,Acanthostracion quadricornis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30911,Acanthurus achilles,Actinopterygii,177960,Acanthurus achilles,Actinopterygii,Actinopterygii
Fis-35635,Acanthurus albipectoralis,Actinopterygii,178007,Acanthurus albipectoralis,Actinopterygii,Actinopterygii
Fis-31085,Acanthurus auranticavus,Actinopterygii,177974,Acanthurus auranticavus,Actinopterygii,Actinopterygii
Fis-29260,Acanthurus bahianus,Actinopterygii,177985,Acanthurus bahianus,Actinopterygii,Actinopterygii
Fis-31087,Acanthurus blochii,Actinopterygii,177971,Acanthurus blochii,Actinopterygii,Actinopterygii
Fis-22976,Acanthurus chirurgus,Actinopterygii,177982,Acanthurus chirurgus,Actinopterygii,Actinopterygii
Fis-29261,Acanthurus coeruleus,Actinopterygii,177953,Acanthurus coeruleus,Actinopterygii,Actinopterygii
Fis-29579,Acanthurus dussumieri,Actinopterygii,177981,Acanthurus dussumieri,Actinopterygii,Actinopterygii
Fis-31083,Acanthurus fowleri,Actinopterygii,177959,Acanthurus fowleri,Actinopterygii,Actinopterygii
Fis-51787,Acanthurus gahhm,Actinopterygii,154818,Acanthurus gahhm,Actinopterygii,Actinopterygii
Fis-31086,Acanthurus grammoptilus,Actinopterygii,178006,Acanthurus grammoptilus,Actinopterygii,Actinopterygii
Fis-31078,Acanthurus guttatus,Actinopterygii,177995,Acanthurus guttatus,Actinopterygii,Actinopterygii
Fis-53679,Acanthurus japonicus,Actinopterygii,177977,Acanthurus japonicus,Actinopterygii,Actinopterygii
Fis-25283,Acanthurus leucopareius,Actinopterygii,178011,Acanthurus leucopareius,Actinopterygii,Actinopterygii
Fis-29580,Acanthurus leucosternon,Actinopterygii,178000,Acanthurus leucosternon,Actinopterygii,Actinopterygii
Fis-23320,Acanthurus lineatus,Actinopterygii,177993,Acanthurus lineatus,Actinopterygii,Actinopterygii
Fis-25286,Acanthurus maculiceps,Actinopterygii,177957,Acanthurus maculiceps,Actinopterygii,Actinopterygii
Fis-29578,Acanthurus mata,Actinopterygii,177967,Acanthurus mata,Actinopterygii,Actinopterygii
Fis-29581,Acanthurus monroviae,Actinopterygii,178023,Acanthurus monroviae,Actinopterygii,Actinopterygii
Fis-25952,Acanthurus nigricans,Actinopterygii,177969,Acanthurus nigricans,Actinopterygii,Actinopterygii
Fis-31084,Acanthurus nigricauda,Actinopterygii,178017,Acanthurus nigricauda,Actinopterygii,Actinopterygii
Fis-25284,Acanthurus nigrofuscus,Actinopterygii,178019,Acanthurus nigrofuscus,Actinopterygii,Actinopterygii
Fis-31079,Acanthurus nigroris,Actinopterygii,177999,Acanthurus nigroris,Actinopterygii,Actinopterygii
Fis-25281,Acanthurus nubilus,Actinopterygii,177961,Acanthurus nubilus,Actinopterygii,Actinopterygii
Fis-31082,Acanthurus olivaceus,Actinopterygii,177991,Acanthurus olivaceus,Actinopterygii,Actinopterygii
Fis-31081,Acanthurus pyroferus,Actinopterygii,178022,Acanthurus pyroferus,Actinopterygii,Actinopterygii
Fis-25285,Acanthurus sohal,Actinopterygii,177987,Acanthurus sohal,Actinopterygii,Actinopterygii
Fis-4576,Acanthurus tennentii,Actinopterygii,177997,Acanthurus tennentii,Actinopterygii,Actinopterygii
Fis-25282,Acanthurus thompsoni,Actinopterygii,178008,Acanthurus thompsoni,Actinopterygii,Actinopterygii
Fis-23321,Acanthurus triostegus,Actinopterygii,177965,Acanthurus triostegus,Actinopterygii,Actinopterygii
Fis-35352,Acanthurus tristis,Actinopterygii,177998,Acanthurus tristis,Actinopterygii,Actinopterygii
Fis-29584,Acanthurus xanthopterus,Actinopterygii,177989,Acanthurus xanthopterus,Actinopterygii,Actinopterygii
Fis-50647,Acentrogobius audax,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-25367,Acentrogobius caninus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-56954,Acentrogobius cyanomos,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-54058,Acentrogobius janthinopterus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-54060,Acentrogobius moloanus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-136797,Acentrogobius nebulosus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-54066,Acentrogobius suluensis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-48018,Acentrogobius viridipunctatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-50333,Acentronura tentaculata,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-32200,Achiropsetta tricholepis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26599,Achirus achirus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-128376,Achirus declivis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-28883,Achirus klunzingeri,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-24400,Achirus lineatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-27804,Achirus mazatlanus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-28885,Achirus scutum,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29141,Achoerodus gouldii,Actinopterygii,187520,Achoerodus gouldii,Actinopterygii,Actinopterygii
Fis-29585,Acipenser brevirostrum,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29588,Acipenser medirostris,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-58742,Acipenser oxyrinchus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29593,Acipenser sturio,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29594,Acipenser transmontanus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26784,Acreichthys radiatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26724,Acreichthys tomentosus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-143375,Acromycter perturbator,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-33256,Acropoma hanedai,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-47983,Acropoma japonicum,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29262,Aculeola nigra,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-24401,Acyrtops beryllinus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-50003,Acyrtus rubiginosus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-54506,Adelosebastes latens,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-62464,Adventor elongatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-32617,Aeoliscus punctulatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26161,Aeoliscus strigatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-32561,Aesopia cornuta,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-28341,Aetapcus maculatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-145105,Aethotaxis mitopteryx mitopteryx,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-27240,Aetobatus flagellum,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-23322,Aetobatus narinari,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-28563,Aetobatus ocellatus,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-28560,Aetomylaeus maculatus,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-28561,Aetomylaeus milvus,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-27676,Aetomylaeus nichofii,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-28562,Aetomylaeus vespertilio,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-30759,Agonomalus mozinoi,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-28693,Agonopsis chiloensis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-24403,Agonopsis sterletus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-24404,Agonopsis vulsa,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23323,Agonostomus monticola,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-22710,Agonus cataphractus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-50293,Agrostichthys parkeri,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23895,Ahlia egmontis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-33219,Ahliesaurus berryi,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-59174,Aidablennius sphynx,Actinopterygii,185168,Aidablennius sphynx,Actinopterygii,Actinopterygii
Fis-149233,Aioliops tetrophthalmus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26397,Akarotaxis nudiceps,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-125488,Alabes dorsalis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-125495,Alabes hoesei,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-156711,Alabes occidentalis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-156684,Alabes parvula,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-27016,Albatrossia pectoralis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-142645,Albula argentea,Actinopterygii,194298,Albula argentea,Actinopterygii,Actinopterygii
Fis-161121,Albula oligolepis,Actinopterygii,194301,Albula oligolepis,Actinopterygii,Actinopterygii
Fis-150540,Alcichthys elongatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-28698,Aldrichetta forsteri,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26565,Aldrovandia affinis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-33132,Aldrovandia gracilis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-33133,Aldrovandia oleosa,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-27254,Aldrovandia phalacra,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-13508,Alectis alexandrina,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-22977,Alectis ciliaris,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-8344,Alectis indica,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-24407,Alectrias alectrolophus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-47256,Alepes apercna,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23325,Alepes djedaba,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-142089,Alepes kleinii,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29600,Alepes melanoptera,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23326,Alepes vari,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29601,Alepisaurus brevirostris,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29263,Alepisaurus ferox,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-33231,Alepocephalus agassizii,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-33232,Alepocephalus australis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29264,Alepocephalus bairdii,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-32435,Alepocephalus bicolor,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-33746,Alepocephalus productus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-31228,Alepocephalus rostratus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-34713,Alepocephalus tenebrosus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-114167,Alertichthys blacki,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-162802,Alionematichthys crassiceps,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-162810,Alionematichthys minyomma,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-162812,Alionematichthys piger,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-162804,Alionematichthys plicatosurculus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-162811,Alionematichthys riukiuensis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-162808,Alionematichthys winterbottomi,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-123779,Allenbatrachus grunniens,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-123785,Allenbatrachus reticulatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-50498,Alloblennius parvus,Actinopterygii,48320397,Alloblennius parvus,Actinopterygii,Actinopterygii
Fis-144041,Allocareproctus jordani,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-158070,Allocareproctus unangas,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-34768,Allocyttus folletti,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-33207,Allocyttus guineensis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-35430,Allocyttus niger,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-27309,Allocyttus verrucosus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-35884,Allomycterus pilatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23897,Allosmerus elongatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29265,Allothunnus fallai,Actinopterygii,170349,Allothunnus fallai,Actinopterygii,Actinopterygii
Fis-31568,Alopias pelagicus,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-23898,Alopias superciliosus,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-23899,Alopias vulpinus,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-23327,Alosa aestivalis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-25577,Alosa fallax,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23333,Alosa mediocris,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23334,Alosa pseudoharengus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23335,Alosa sapidissima,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-27135,Alphestes afer,Actinopterygii,132764,Alphestes afer,Actinopterygii,Actinopterygii
Fis-32974,Alphestes immaculatus,Actinopterygii,132754,Alphestes immaculatus,Actinopterygii,Actinopterygii
Fis-113010,Alticus kirkii,Actinopterygii,46079096,Alticus kirkii,Actinopterygii,Actinopterygii
Fis-33723,Alticus monochrus,Actinopterygii,48321151,Alticus monochrus,Actinopterygii,Actinopterygii
Fis-130767,Alticus saliens,Actinopterygii,48321187,Alticus saliens,Actinopterygii,Actinopterygii
Fis-30760,Aluterus heudelotii,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-24409,Aluterus monoceros,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-24410,Aluterus scriptus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26252,Amanses scopas,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-30981,Amarsipus carlsbergi,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-151217,Ambassis ambassis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-33712,Ambassis dussumieri,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-25324,Ambassis gymnocephalus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-31253,Ambassis interrupta,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-35961,Ambassis jacksoniensis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-6932,Ambassis kopsii,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-33258,Ambassis miops,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29250,Ambassis nalua,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-32635,Ambassis natalensis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-33259,Ambassis urotaenia,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-35964,Ambassis vachellii,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-126971,Ambiserrula jugosa,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-25841,Amblycirrhitus bimacula,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-24412,Amblycirrhitus pinos,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-53955,Amblycirrhitus unimacula,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-28588,Amblyeleotris aurora,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-21787,Amblyeleotris diagonalis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26445,Amblyeleotris fasciata,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26446,Amblyeleotris fontanesii,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-28147,Amblyeleotris gymnocephala,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-114255,Amblyeleotris latifasciata,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-35318,Amblyeleotris ogasawarensis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-57970,Amblyeleotris periophthalma,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-32251,Amblyeleotris randalli,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-149590,Amblyeleotris rubrimarginata,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26420,Amblyeleotris steinitzi,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26421,Amblyeleotris wheeleri,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-113272,Amblyeleotris yanoi,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29610,Amblygaster clupeoides,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23339,Amblygaster leiogaster,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-23340,Amblygaster sirm,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-25765,Amblyglyphidodon aureus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-132098,Amblyglyphidodon batunai,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-25647,Amblyglyphidodon curacao,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-25766,Amblyglyphidodon leucogaster,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-25767,Amblyglyphidodon ternatensis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26255,Amblygobius albimaculatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-138801,Amblygobius buanensis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-135734,Amblygobius bynoensis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26422,Amblygobius decussatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-31863,Amblygobius linki,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26455,Amblygobius nocturnus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26423,Amblygobius phalaena,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-58043,Amblygobius semicinctus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-26424,Amblygobius sphynx,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-144725,Amblyotrypauchen arctocephalus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-27470,Amblypomacentrus breviceps,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-132004,Amblyraja doellojuradoi,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-131851,Amblyraja georgiana,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-131852,Amblyraja hyperborea,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-131855,Amblyraja jenseni,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-131853,Amblyraja radiata,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-132542,Amblyraja taaf,Elasmobranchii,NA,NA,NA,Elasmobranchii
Fis-26842,Amblyrhynchotes honckenii,Actinopterygii,193747,Amblyrhynchotes honckenii,Actinopterygii,Actinopterygii
Fis-142497,Ambophthalmos angustus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-169602,Amioides polyacanthus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-159682,Amissidens hainesi,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29618,Ammodytes americanus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29619,Ammodytes dubius,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29620,Ammodytes hexapterus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29267,Ammodytes marinus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29268,Ammodytes personatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29269,Ammodytes tobianus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-138579,Ammodytoides gilli,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29171,Ammotretis lituratus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-33020,Ammotretis rostratus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-29218,Amniataba caudavittata,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-146212,Amoya gracilis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-13933,Amphelikturus dendriticus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-159662,Amphiarius phrygiatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-159835,Amphiarius rugispinis,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-28538,Amphichaetodon howensis,Actinopterygii,165682,Amphichaetodon howensis,Actinopterygii,Actinopterygii
Fis-22978,Amphichthys cryptocentrus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-32636,Amphiprion akallopisos,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-34928,Amphiprion akindynos,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-34859,Amphiprion allardi,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-34860,Amphiprion bicinctus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-31016,Amphiprion chrysopterus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-25631,Amphiprion clarkii,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-28226,Amphiprion ephippium,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-31864,Amphiprion frenatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-33247,Amphiprion latezonatus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-58054,Amphiprion leucokranos,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-31052,Amphiprion melanopus,Actinopterygii,NA,NA,NA,Actinopterygii
Fis-32543,Amphiprion nigripes,Actinopterygii,NA,NA,NA,Actinopterygii
