spp_group,iucn_sid,iucn_subpop,spatial_source,name_verified,class,sciname
TERRESTRIAL_MAMMALS,899,NA,iucn,TRUE,Mammalia,Vulpes lagopus
TERRESTRIAL_MAMMALS,1793,NA,iucn,TRUE,Mammalia,Aonyx capensis
MARINE_MAMMALS,2055,NA,iucn,TRUE,Mammalia,Arctocephalus australis
MARINE_MAMMALS,2057,NA,iucn,TRUE,Mammalia,Arctocephalus galapagoensis
MARINE_MAMMALS,2058,NA,iucn,TRUE,Mammalia,Arctocephalus gazella
MARINE_MAMMALS,2059,NA,iucn,TRUE,Mammalia,Arctocephalus philippii
MARINE_MAMMALS,2060,NA,iucn,TRUE,Mammalia,Arctocephalus pusillus
MARINE_MAMMALS,2061,NA,iucn,TRUE,Mammalia,Arctocephalus townsendi
MARINE_MAMMALS,2062,NA,iucn,TRUE,Mammalia,Arctocephalus tropicalis
MARINE_MAMMALS,2467,NA,iucn,TRUE,Mammalia,Balaena mysticetus
MARINE_MAMMALS,2467,Svalbard-Barents Sea (Spitsbergen),iucn,TRUE,Mammalia,Balaena mysticetus
MARINE_MAMMALS,2467,Bering-Chukchi-Beaufort Sea,iucn,TRUE,Mammalia,Balaena mysticetus
MARINE_MAMMALS,2467,Okhotsk Sea,iucn,TRUE,Mammalia,Balaena mysticetus
MARINE_MAMMALS,2474,NA,iucn,TRUE,Mammalia,Balaenoptera acutorostrata
MARINE_MAMMALS,2475,NA,iucn,TRUE,Mammalia,Balaenoptera borealis
MARINE_MAMMALS,2476,NA,iucn,TRUE,Mammalia,Balaenoptera edeni
MARINE_MAMMALS,2477,NA,iucn,TRUE,Mammalia,Balaenoptera musculus
MARINE_MAMMALS,2478,NA,iucn,TRUE,Mammalia,Balaenoptera physalus
MARINE_MAMMALS,2480,NA,iucn,TRUE,Mammalia,Balaenoptera bonaerensis
MARINE_MAMMALS,2762,NA,iucn,TRUE,Mammalia,Berardius arnuxii
MARINE_MAMMALS,2763,NA,iucn,TRUE,Mammalia,Berardius bairdii
MARINE_MAMMALS,3590,NA,iucn,TRUE,Mammalia,Callorhinus ursinus
PUFFERFISH,3764,NA,iucn,TRUE,Actinopterygii,Canthigaster rapaensis
MARINE_MAMMALS,3778,NA,iucn,TRUE,Mammalia,Caperea marginata
REPTILES,3897,Pacific South,iucn,TRUE,Reptilia,Caretta caretta
REPTILES,3897,Pacific North,iucn,TRUE,Reptilia,Caretta caretta
REPTILES,3897,Mediterranean,iucn,TRUE,Reptilia,Caretta caretta
REPTILES,3897,Indian Southwest,iucn,TRUE,Reptilia,Caretta caretta
REPTILES,3897,Indian Southeast,iucn,TRUE,Reptilia,Caretta caretta
REPTILES,3897,Indian Northwest,iucn,TRUE,Reptilia,Caretta caretta
REPTILES,3897,Indian Northeast,iucn,TRUE,Reptilia,Caretta caretta
REPTILES,3897,Atlantic Southwest,iucn,TRUE,Reptilia,Caretta caretta
REPTILES,3897,Atlantic Notheast,iucn,TRUE,Reptilia,Caretta caretta
REPTILES,3897,Atlantic Northwest,iucn,TRUE,Reptilia,Caretta caretta
