iucn_sid,am_sid,sciname,gbif_occ,occurcells
2055,ITS-Mam-180633,Arctocephalus australis,361,44
2057,ITS-Mam-180634,Arctocephalus galapagoensis,47,13
2058,ITS-Mam-180630,Arctocephalus gazella,82007,1565
2059,ITS-180635,Arctocephalus philippii,6,0
2060,ITS-Mam-180629,Arctocephalus pusillus,4820,66
2061,ITS-Mam-180636,Arctocephalus townsendi,115,29
2062,ITS-Mam-180632,Arctocephalus tropicalis,322,65
2467,ITS-Mam-180533,Balaena mysticetus,1390,79
2474,ITS-Mam-180524,Balaenoptera acutorostrata,11706,2063
2475,ITS-Mam-180526,Balaenoptera borealis,16131,1150
2476,ITS-Mam-180525,Balaenoptera edeni,453,74
2477,ITS-Mam-180528,Balaenoptera musculus,9222,2008
2478,ITS-Mam-180527,Balaenoptera physalus,98385,3027
2480,ITS-Mam-612592,Balaenoptera bonaerensis,728,375
2762,ITS-Mam-180495,Berardius arnuxii,107,52
2763,ITS-Mam-180496,Berardius bairdii,350,104
3590,ITS-Mam-180627,Callorhinus ursinus,4434,299
3778,ITS-Mam-180535,Caperea marginata,300,59
3897,Rep-2666,Caretta caretta,26399,4993
4159,ITS-Mam-180449,Cephalorhynchus commersonii,788,128
4160,ITS-180450,Cephalorhynchus eutropia,23,2
4161,ITS-Mam-180451,Cephalorhynchus heavisidii,97,29
4162,ITS-Mam-180452,Cephalorhynchus hectori,72,5
4362,Fis-32632,Chaetodon marleyi,117,27
4364,Fis-33809,Chaetodon robustus,719,53
4615,Rep-2941,Chelonia mydas,20366,1581
5659,Rep-3445,Crocodylus acutus,1236,65
5668,Rep-3460,Crocodylus porosus,10344,149
6204,ITS-Mam-180657,Cystophora cristata,607,80
6335,ITS-Mam-180483,Delphinapterus leucas,3479,165
6336,ITS-Mam-180438,Delphinus delphis,12167,1969
6337,ITS-Mam-555654,Delphinus capensis,922,129
6494,Rep-4381,Dermochelys coriacea,4698,5390
6909,ITS-Mam-180679,Dugong dugon,1558,245
7750,ITS-Mam-180547,Enhydra lutris,10323,156
7854,Fis-29953,Epinephelus drummondhayi,68,41
7858,Fis-26139,Epinephelus lanceolatus,230,160
7859,Fis-26140,Epinephelus marginatus,5719,299
7860,Fis-163779,Hyporthodus nigritus,152,29
7861,Fis-163781,Hyporthodus niveatus,325,61
7862,Fis-22722,Epinephelus striatus,541,129
8005,Rep-5181,Eretmochelys imbricata,4072,804
8010,ITS-Mam-180655,Erignathus barbatus,4066,195
8097,ITS-Mam-180521,Eschrichtius robustus,5085,252
8153,ITS-Mam-552771,Eubalaena australis,2908,236
8239,ITS-Mam-180625,Eumetopias jubatus,2886,246
8551,ITS-Mam-180461,Feresa attenuata,189,354
9249,ITS-Mam-180466,Globicephala macrorhynchus,1410,722
9250,ITS-Mam-552461,Globicephala melas,6153,1047
9461,ITS-Mam-180457,Grampus griseus,3737,1401
9660,ITS-Mam-180653,Halichoerus grypus,15478,697
10340,ITS-Mam-180667,Hydrurga leptonyx,1893,291
10708,ITS-Mam-180505,Hyperoodon planifrons,230,126
11048,ITS-Mam-180492,Kogia sima,770,578
11130,Fis-23577,Lachnolaimus maximus,2678,165
11140,ITS-Mam-180440,Lagenodelphis hosei,186,368
11141,ITS-Mam-180443,Lagenorhynchus acutus,3449,597
11142,ITS-Mam-180442,Lagenorhynchus albirostris,1383,444
11143,ITS-Mam-180446,Lagenorhynchus australis,466,105
11144,ITS-Mam-180447,Lagenorhynchus cruciger,163,42
11145,ITS-Mam-180444,Lagenorhynchus obliquidens,1667,264
11146,ITS-Mam-180445,Lagenorhynchus obscurus,479,149
11150,Fis-34000,Lagocephalus gloveri,204,33
11534,Rep-6936,Lepidochelys olivacea,5966,1377
11696,ITS-Mam-180669,Leptonychotes weddellii,35892,206
12125,ITS-Mam-180454,Lissodelphis borealis,860,180
12137,Fis-23176,Lithognathus lithognathus,1342,7
12246,ITS-Mam-622023,Lobodon carcinophaga,59300,2056
12419,ITS-Mam-621916,Lutra lutra,45964,560
13006,ITS-Mam-180530,Megaptera novaeangliae,29203,2509
13241,ITS-Mam-180515,Mesoplodon bidens,308,129
13243,ITS-Mam-180512,Mesoplodon carlhubbsi,62,34
13245,ITS-Mam-180509,Mesoplodon europaeus,211,159
13246,ITS-Mam-180510,Mesoplodon ginkgodens,61,30
13247,ITS-Mam-180511,Mesoplodon grayi,316,77
13248,ITS-Mam-180507,Mesoplodon hectori,70,33
13249,ITS-Mam-180516,Mesoplodon layardii,400,119
13250,ITS-Mam-180508,Mesoplodon mirus,98,50
13251,ITS-Mam-552772,Mesoplodon peruvianus,74,15
13252,ITS-Mam-180514,Mesoplodon stejnegeri,183,59
13581,ITS-Mam-180672,Mirounga angustirostris,1332,1819
13583,ITS-Mam-180671,Mirounga leonina,180664,7663
13653,ITS-Mam-180659,Monachus monachus,93,54
13654,ITS-Mam-180661,Neomonachus schauinslandi,157,21
13704,ITS-Mam-180485,Monodon monoceros,557,46
14049,Fis-24803,Mycteroperca jordani,104,21
14050,Fis-23649,Mycteroperca microlepis,382,120
14051,Fis-26901,Mycteroperca olfax,1588,26
14052,Fis-33369,Mycteroperca prionura,54,18
14053,Fis-27393,Mycteroperca rosacea,426,53
14054,Fis-23650,Mycteroperca rubra,229,93
14549,ITS-Mam-180623,Neophoca cinerea,863,82
15106,ITS-Mam-180639,Odobenus rosmarus,16071,260
15269,ITS-Mam-180665,Ommatophoca rossii,1198,203
15419,ITS-Mam-180471,Orcaella brevirostris,88,27
15873,Fis-23707,Pagrus pagrus,1782,423
16564,ITS-Mam-180459,Peponocephala electra,328,360
17013,ITS-Mam-180649,Phoca vitulina,20465,907
17026,ITS-Mam-180617,Phocarctos hookeri,487,18
17027,ITS-Mam-180473,Phocoena phocoena,38311,1574
17028,ITS-Mam-180474,Phocoena sinus,327,10
17029,ITS-Mam-180476,Phocoena spinipinnis,159,23
17032,ITS-Mam-180480,Phocoenoides dalli,5122,577
17978,ITS-Mam-180411,Pontoporia blainvillei,667,34
18596,ITS-Mam-180463,Pseudorca crassidens,1171,593
19950,Fis-30607,Scarus guacamaia,436,87
20047,Fis-22821,Scomberomorus concolor,112,21
20424,ITS-180419,Sousa chinensis,710,28
20729,ITS-Mam-180430,Stenella attenuata,5589,1813
20730,ITS-Mam-180435,Stenella clymene,180,171
20731,ITS-Mam-180434,Stenella coeruleoalba,4215,1830
20732,ITS-Mam-552460,Stenella frontalis,1175,386
20733,ITS-Mam-180429,Stenella longirostris,2656,951
20738,ITS-Mam-180417,Steno bredanensis,848,613
21341,Fis-28765,Takifugu niphobles,1055,36
21342,Fis-55125,Takifugu poecilonotus,391,30
21343,Fis-28762,Takifugu xanthopterus,130,24
21500,ITS-Mam-180500,Tasmacetus shepherdi,76,35
21689,Fis-52020,Thalassoma ascensionis,37,10
21856,Fis-22832,Thunnus alalunga,78401,4567
21857,Fis-22833,Thunnus albacares,54966,6801
21858,Fis-22835,Thunnus maccoyii,783,578
21859,Fis-22836,Thunnus obesus,18681,5330
21860,Fis-49220,Thunnus thynnus,836,1397
21994,Fis-27843,Torquigener brevipinnis,52,23
22103,ITS-Mam-180684,Trichechus manatus,1613,81
22563,ITS-Mam-180426,Tursiops truncatus,29832,2155
23148,Fis-29576,Xiphias gladius,4099,5733
23211,ITS-Mam-180498,Ziphius cavirostris,1589,834
39303,Fis-24556,Dermatolepis inermis,73,121
39773,Fis-26117,Cephalopholis boenak,1809,200
39774,Fis-26129,Cromileptes altivelis,591,133
40635,ITS-Mam-180502,Indopacetus pacificus,28,23
41664,ITS-Mam-180631,Arctocephalus forsteri,2052,120
41666,ITS-Mam-180621,Zalophus californianus,11109,266
41668,ITS-Mam-622014,Zalophus wollebaeki,501,20
41670,ITS-Mam-622021,Histriophoca fasciata,820,69
41671,ITS-Mam-622022,Pagophilus groenlandicus,4049,147
41672,ITS-Mam-622018,Pusa hispida,6358,311
41711,ITS-Mam-612591,Eubalaena japonica,46,5
41712,ITS-Mam-180537,Eubalaena glacialis,3452,267
41714,ITS-Mam-612596,Tursiops aduncus,1259,136
41715,ITS-Mam-180475,Phocoena dioptrica,47,32
41755,ITS-Mam-180488,Physeter macrocephalus,6285,1128
41759,ITS-612599,Mesoplodon perrini,10,1
41760,ITS-Mam-612598,Mesoplodon traversii,3,6
43974,Fis-25493,Epinephelus akaara,148,18
44672,Fis-26130,Dermatolepis striolata,19,10
44673,Fis-25130,Epinephelus fuscoguttatus,405,127
44674,Fis-26136,Epinephelus coioides,844,165
44675,Fis-163783,Hyporthodus quernus,71,18
44677,Fis-31618,Epinephelus albomarginatus,2130,16
44681,Fis-22721,Epinephelus morio,2051,199
44682,Fis-23651,Mycteroperca tigris,169,102
44683,Fis-23652,Mycteroperca venenosa,268,103
44684,Fis-25341,Plectropomus leopardus,3886,122
44686,Fis-33251,Epinephelus cifuentesi,153,25
61336,Fis-26492,Epinephelus awoara,140,19
61337,Fis-26498,Epinephelus daemelii,268,35
61338,Fis-26113,Epinephelus malabaricus,488,132
61339,Fis-26142,Epinephelus polyphekadion,554,129
63571,Fis-25689,Bolbometopon muricatum,281,83
64396,Fis-32305,Epinephelus bruneus,166,25
64400,Fis-163777,Hyporthodus flavolimbatus,149,139
64406,Fis-32318,Epinephelus timorensis,19,3
64407,Fis-32320,Epinephelus tuamotuensis,7,3
64408,Fis-26516,Epinephelus undulatostriatus,273,40
64410,Fis-23648,Mycteroperca interstitialis,416,83
64411,Fis-31641,Plectropomus areolatus,216,52
64412,Fis-26517,Plectropomus laevis,1248,119
132722,Fis-23120,Epinephelus aeneus,1331,168
132723,Fis-25572,Epinephelus maculatus,561,121
132725,Fis-26116,Cephalopholis aurantia,96,94
132726,Fis-26503,Epinephelus flavocaeruleus,448,43
132727,Fis-23713,Paranthias furcifer,629,112
132728,Fis-26514,Epinephelus summana,203,20
132729,Fis-30327,Mycteroperca phenax,707,86
132730,Fis-163774,Hyporthodus acanthistius,132,34
132732,Fis-26123,Cephalopholis miniata,895,169
132733,Fis-27163,Cephalopholis panamensis,1334,97
132734,Fis-163780,Hyporthodus niphobles,122,31
132735,Fis-115487,Epinephelus latifasciatus,140,70
132736,Fis-25944,Epinephelus rivulatus,1082,117
132737,Fis-26121,Cephalopholis leopardus,912,173
132738,Fis-25576,Variola louti,896,239
132739,Fis-26145,Epinephelus undulosus,67,32
132741,Fis-26125,Cephalopholis sexmaculata,200,86
132742,Fis-27331,Cephalopholis nigri,72,31
132743,Fis-26119,Cephalopholis formosa,172,61
132745,Fis-25575,Epinephelus morrhua,165,131
132746,Fis-31844,Epinephelus melanostigma,141,98
132747,Fis-31554,Epinephelus spilotoceps,336,81
132748,Fis-26507,Epinephelus longispinis,340,47
132749,Fis-32316,Epinephelus stictus,23,11
132751,Fis-135733,Epinephelus coeruleopunctatus,484,91
132752,Fis-32304,Epinephelus bilobatus,78,8
132753,Fis-32313,Epinephelus polylepis,15,12
132754,Fis-32974,Alphestes immaculatus,444,88
132755,Fis-26511,Epinephelus radiatus,57,59
132756,Fis-26508,Epinephelus miliaris,45,57
132757,Fis-26126,Cephalopholis sonnerati,396,121
132758,Fis-25131,Epinephelus tauvina,609,250
132759,Fis-26120,Cephalopholis hemistiktos,195,30
132760,Fis-26502,Epinephelus faveatus,62,20
132761,Fis-22703,Cephalopholis cruentata,2690,180
132762,Fis-27343,Epinephelus costae,161,80
132763,Fis-26137,Epinephelus corallicola,325,97
132764,Fis-27135,Alphestes afer,211,66
132765,Fis-25402,Epinephelus goreensis,708,96
132766,Fis-26245,Epinephelus macrospilos,247,102
132767,Fis-27319,Dermatolepis dermatolepis,506,68
132769,Fis-26138,Epinephelus fasciatomaculosus,75,22
132771,Fis-24648,Gonioplectrus hispanus,66,107
132772,Fis-163782,Hyporthodus octofasciatus,53,55
132773,Fis-31413,Epinephelus tukula,152,81
132774,Fis-25586,Epinephelus areolatus,1501,245
132775,Fis-32352,Plectropomus pessuliferus,23,22
132776,Fis-26483,Plectropomus oligacanthus,153,26
132777,Fis-26499,Epinephelus diacanthus,107,18
132778,Fis-26244,Epinephelus hexagonatus,578,161
132779,Fis-31841,Cephalopholis oligosticta,22,8
132780,Fis-25340,Epinephelus sexfasciatus,969,155
132781,Fis-31823,Cephalopholis argus,2240,237
132782,Fis-31840,Cephalopholis aitha,13,5
132783,Fis-26128,Cephalopholis urodeta,1736,256
132784,Fis-31843,Epinephelus magniscuttis,12,26
132785,Fis-26501,Epinephelus erythrurus,26,22
132786,Fis-50377,Cephalopholis nigripinnis,112,27
132787,Fis-25382,Anyperodon leucogrammicus,508,128
