"am_sid","sciname","am_category","reviewed","iucn_sid","iucn_category","popn_trend","parent_sid","subpop_sid","popn_category","info_source","spp_group","id_no","spatial_source","category_score","trend_score","total_area","am_area","iucn_area","perc","am_perc","iucn_perc","sm_perc","sm_range","log_total_area","area_ratio","lg_area_pct","spp_group_text.x","spp_group_text.y"
"Fis-35635","Acanthurus albipectoralis","LC",1,178007,"LC","Unknown",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",178007,"iucn",0,NA,2729277,1062668.7,2490071.2,30.064,8.955,60.981,77.049,"AM",14.82,42.676,0.672,"Acanthuridae","Acanthuridae"
"Fis-31085","Acanthurus auranticavus","LC",1,177974,"LC","Unknown",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",177974,"iucn",0,NA,13898943.9,8338031.9,9848491.9,30.69,29.536,39.773,50.958,"AM",16.447,84.663,2.658,"Acanthuridae","Acanthuridae"
"Fis-29260","Acanthurus bahianus","LC",1,177985,"LC","Stable",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",177985,"iucn",0,0,3598484.4,3141524.8,861385.6,10.95,76.731,12.319,47.059,"IUCN",15.096,27.419,0.848,"Acanthuridae","Acanthuridae"
"Fis-31087","Acanthurus blochii","LC",1,177971,"LC","Stable",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",177971,"iucn",0,0,23171163.9,10190046.5,19341333,27.295,16.671,56.034,62.082,"AM",16.958,52.685,5.221,"Acanthuridae","Acanthuridae"
"Fis-22976","Acanthurus chirurgus","LC",NA,177982,"LC","Stable",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",177982,"iucn",0,0,5912927.9,2410364.1,5761469.8,37.953,2.595,59.452,93.599,"AM",15.593,41.836,1.555,"Acanthuridae","Acanthuridae"
"Fis-29261","Acanthurus coeruleus","LC",1,177953,"LC","Stable",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",177953,"iucn",0,0,5572269.2,3172993.1,4994168.8,46.804,10.103,43.093,82.246,"AM",15.533,63.534,1.348,"Acanthuridae","Acanthuridae"
"Fis-29579","Acanthurus dussumieri","LC",1,177981,"LC","Unknown",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",177981,"iucn",0,NA,26420048.5,16079531.4,21151274.1,40.415,20.665,38.92,66.167,"AM",17.09,76.022,5.709,"Acanthuridae","Acanthuridae"
"Fis-31083","Acanthurus fowleri","LC",NA,177959,"LC","Unknown",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",177959,"iucn",0,NA,11890700.8,7779165.2,7024985.7,24.072,41.93,33.998,41.453,"IUCN",16.291,90.305,2.1,"Acanthuridae","Acanthuridae"
"Fis-51787","Acanthurus gahhm","LC",1,154818,"LC","Unknown",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",154818,"iucn",0,NA,1164557.7,224894.6,1159196.8,19.095,0.503,80.402,97.436,"AM",13.968,19.401,0.313,"Acanthuridae","Acanthuridae"
"Fis-31086","Acanthurus grammoptilus","LC",1,178006,"LC","Unknown",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",178006,"iucn",0,NA,9873196.9,8984126.6,2953964.7,21.253,69.474,9.273,69.622,"IUCN",16.105,32.88,2.425,"Acanthuridae","Acanthuridae"
"Fis-31078","Acanthurus guttatus","LC",NA,177995,"LC","Unknown",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",177995,"iucn",0,NA,21540611.3,8210674.6,18867197.6,25.552,12.561,61.888,67.043,"AM",16.885,43.518,5.093,"Acanthuridae","Acanthuridae"
"Fis-53679","Acanthurus japonicus","LC",NA,177977,"LC","Unknown",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",177977,"iucn",0,NA,10052160.3,8309678.7,3253380,14.916,67.535,17.55,45.943,"IUCN",16.123,39.152,2.243,"Acanthuridae","Acanthuridae"
"Fis-29580","Acanthurus leucosternon","LC",1,178000,"LC","Unknown",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",178000,"iucn",0,NA,7379399.5,3524518.1,6101563.3,30.292,17.559,52.149,63.305,"AM",15.814,57.764,1.647,"Acanthuridae","Acanthuridae"
"Fis-23320","Acanthurus lineatus","LC",1,177993,"LC","Stable",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",177993,"iucn",0,0,28928415.5,11988689.2,26188352.9,31.719,9.924,58.357,76.169,"AM",17.18,45.779,7.069,"Acanthuridae","Acanthuridae"
"Fis-25286","Acanthurus maculiceps","LC",1,177957,"LC","Unknown",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",177957,"iucn",0,NA,14804348.1,5847230.9,13228263.7,28.679,10.783,60.538,72.676,"AM",16.51,44.203,3.571,"Acanthuridae","Acanthuridae"
"Fis-29578","Acanthurus mata","LC",1,177967,"LC","Stable",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",177967,"iucn",0,0,29963875,15270075.5,27704481.7,43.092,7.968,48.941,84.395,"AM",17.216,55.118,7.478,"Acanthuridae","Acanthuridae"
"Fis-29581","Acanthurus monroviae","LC",NA,178023,"LC","Unknown",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",178023,"iucn",0,NA,2464002.5,1077938.7,2191606.4,31.737,10.659,57.605,74.859,"AM",14.717,49.185,0.592,"Acanthuridae","Acanthuridae"
"Fis-25952","Acanthurus nigricans","LC",1,177969,"LC","Stable",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",177969,"iucn",0,0,24709577.5,9545843.5,22762916.1,30.616,7.984,61.401,79.317,"AM",17.023,41.936,6.144,"Acanthuridae","Acanthuridae"
"Fis-25952","Acanthurus nigricans","LC",1,177953,"LC","Stable",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",177969,"iucn_alias",0,0,24709577.5,9545843.5,22762916.1,30.616,7.984,61.401,79.317,"AM",17.023,41.936,6.144,"Acanthuridae","Acanthuridae"
"Fis-25952","Acanthurus nigricans","LC",1,154818,"LC","Unknown",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",177969,"iucn_alias",0,NA,24709577.5,9545843.5,22762916.1,30.616,7.984,61.401,79.317,"AM",17.023,41.936,6.144,"Acanthuridae","Acanthuridae"
"Fis-31084","Acanthurus nigricauda","LC",NA,178017,"LC","Stable",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",178017,"iucn",0,0,26952163.7,10904666.2,24653945.6,31.715,8.686,59.599,78.501,"AM",17.11,44.231,6.655,"Acanthuridae","Acanthuridae"
"Fis-31084","Acanthurus nigricauda","LC",NA,154818,"LC","Unknown",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",178017,"iucn_alias",0,NA,26952163.7,10904666.2,24653945.6,31.715,8.686,59.599,78.501,"AM",17.11,44.231,6.655,"Acanthuridae","Acanthuridae"
"Fis-25284","Acanthurus nigrofuscus","LC",NA,178019,"LC","Stable",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",178019,"iucn",0,0,31630387.6,13087435.3,29640922.7,34.854,6.479,58.667,84.325,"AM",17.27,44.153,8.001,"Acanthuridae","Acanthuridae"
"Fis-31079","Acanthurus nigroris","LC",1,177999,"LC","Stable",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",177999,"iucn",0,0,7800076.9,7274365,687777.5,2.18,90.707,7.113,23.457,"IUCN",15.87,9.455,1.964,"Acanthuridae","Acanthuridae"
"Fis-25281","Acanthurus nubilus","LC",NA,177961,"LC","Unknown",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",177961,"iucn",0,NA,16050450.7,10312376.6,9209138.6,21.254,43.138,35.608,37.378,"IUCN",16.591,89.302,2.784,"Acanthuridae","Acanthuridae"
"Fis-31082","Acanthurus olivaceus","LC",1,177991,"LC","Stable",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",177991,"iucn",0,0,22485103.4,8541677.6,20666261.8,29.785,8.046,62.169,78.732,"AM",16.928,41.332,5.578,"Acanthuridae","Acanthuridae"
"Fis-31081","Acanthurus pyroferus","LC",1,178022,"LC","Stable",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",178022,"iucn",0,0,23041297.6,9437597.7,20172460.5,28.286,12.494,59.221,69.363,"AM",16.953,46.785,5.445,"Acanthuridae","Acanthuridae"
"Fis-25285","Acanthurus sohal","LC",NA,177987,"LC","Stable",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",177987,"iucn",0,0,4106267.7,3380117.7,1778962.4,25.897,56.51,17.593,59.547,"IUCN",15.228,52.63,0.912,"Acanthuridae","Acanthuridae"
"Fis-4576","Acanthurus tennentii","LC",NA,177997,"LC","Stable",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",177997,"iucn",0,0,8033766.1,3841075.2,6755294.8,31.818,16.17,52.012,66.304,"AM",15.899,56.86,1.823,"Acanthuridae","Acanthuridae"
"Fis-25282","Acanthurus thompsoni","LC",NA,178008,"LC","Stable",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",178008,"iucn",0,0,29004497.1,12173179.3,25895282.3,30.939,10.801,58.26,74.123,"AM",17.183,47.009,6.99,"Acanthuridae","Acanthuridae"
"Fis-23321","Acanthurus triostegus","LC",NA,177965,"LC","Stable",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",177965,"iucn",0,0,33125017.7,14926365.1,30029888.5,35.448,9.486,55.066,78.89,"AM",17.316,49.705,8.106,"Acanthuridae","Acanthuridae"
"Fis-35352","Acanthurus tristis","LC",1,177998,"LC","Stable",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",177998,"iucn",0,0,2956711.6,1106959.4,2750319.4,30.287,7.084,62.628,81.044,"AM",14.9,40.248,0.742,"Acanthuridae","Acanthuridae"
"Fis-29584","Acanthurus xanthopterus","LC",NA,177989,"LC","Stable",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",177989,"iucn",0,0,32244806.7,16618182.6,26767536.4,34.161,17.468,48.37,66.166,"AM",17.289,62.083,7.225,"Acanthuridae","Acanthuridae"
"Fis-29141","Achoerodus gouldii","VU",NA,187520,"VU","Decreasing",NA,NA,"VU","iucn","WRASSES",NA,"iucn",0.4,-0.5,974696.4,752302,851653.4,63.846,13.333,22.821,82.724,"AM",13.79,88.334,0.23,"Wrasses","Wrasses"
"Fis-59174","Aidablennius sphynx",NA,NA,185168,"LC","Stable",NA,NA,"LC","iucn","COMBTOOTHBLENNIES",185168,"iucn",0,0,2760065.2,1418981.8,2458620.8,40.87,10.783,48.348,79.125,"AM",14.831,57.715,0.664,"Blenniidae","Blenniidae"
"Fis-50498","Alloblennius parvus",NA,NA,48320397,"LC","Unknown",NA,NA,"LC","iucn","COMBTOOTHBLENNIES",48320397,"iucn",0,NA,2864127.8,1752355.7,1873899.8,26.528,34.819,38.653,43.243,"AM",14.868,93.514,0.506,"Blenniidae","Blenniidae"
"Fis-29265","Allothunnus fallai","LC",1,170349,"LC","Stable",NA,NA,"LC","iucn","TUNAS_BILLFISHES",170349,"iucn",0,0,93150984.3,91432005.9,65357091.8,68.384,29.532,2.084,97.043,"IUCN",18.35,71.482,24.68,"Tunas/Billfishes","Tunas/Billfishes"
"Fis-27135","Alphestes afer","LC",NA,132764,"LC","Unknown",NA,NA,"LC","iucn","GROUPERS",NA,"iucn",0,NA,4224220.3,2483576,3576969.6,43.49,15.166,41.343,74.144,"AM",15.256,69.432,0.966,"Groupers","Groupers"
"Fis-32974","Alphestes immaculatus","LC",NA,132754,"LC","Unknown",NA,NA,"LC","iucn","GROUPERS",NA,"iucn",0,NA,1841764.4,959503.5,1569126,37.239,15.409,47.352,70.732,"AM",14.426,61.149,0.424,"Groupers","Groupers"
"Fis-113010","Alticus kirkii",NA,NA,46079096,"LC","Stable",NA,NA,"LC","iucn","COMBTOOTHBLENNIES",46079096,"iucn",0,0,5317296.6,3848600.6,2598972.1,21.413,50.723,27.864,43.454,"IUCN",15.486,67.53,1.039,"Blenniidae","Blenniidae"
"Fis-33723","Alticus monochrus",NA,NA,48321151,"LC","Stable",NA,NA,"LC","iucn","COMBTOOTHBLENNIES",48321151,"iucn",0,0,2275318.1,1148472.8,1549185.6,18.644,31.682,49.674,37.047,"AM",14.638,74.134,0.418,"Blenniidae","Blenniidae"
"Fis-26842","Amblyrhynchotes honckenii",NA,NA,193747,"LC","Unknown",NA,NA,"LC","iucn","PUFFERFISH",193747,"iucn",0,NA,18023092.3,17382209.2,1320087,3.897,92.541,3.562,52.248,"IUCN",16.707,7.594,4.692,"Pufferfish","Pufferfish"
"Fis-28538","Amphichaetodon howensis","LC",NA,165682,"LC","Stable",NA,NA,"LC","iucn","BUTTERFLYFISH",NA,"iucn",0,0,1500495.6,1219153.8,488358.7,14.882,65.336,19.782,42.932,"IUCN",14.221,40.057,0.329,"Butterflyfish","Butterflyfish"
"Fis-31865","Amphiprion sandaracinos","LC",NA,154812,"LC","Stable",NA,NA,"LC","iucn","DAMSELFISH",154812,"iucn",0,0,11376141.9,6897417.6,8039188.5,31.184,29.565,39.252,51.332,"AM",16.247,85.797,2.17,"Damselfish","Damselfish"
"Fis-31132","Anampses caeruleopunctatus","LC",1,187716,"LC","Unknown",NA,NA,"LC","iucn","WRASSES",NA,"iucn",0,NA,30446807.7,12460308.3,28080937.9,33.021,7.982,58.998,80.534,"AM",17.231,44.373,7.58,"Wrasses","Wrasses"
"Fis-31144","Anampses cuvier","LC",NA,187758,"LC","Stable",NA,NA,"LC","iucn","WRASSES",NA,"iucn",0,0,941849.1,373617.3,682219.1,12.121,26.97,60.909,31.008,"AM",13.756,54.765,0.184,"Wrasses","Wrasses"
"Fis-31146","Anampses elegans","LC",NA,187453,"LC","Stable",NA,NA,"LC","iucn","WRASSES",NA,"iucn",0,0,9416255.4,9032440.2,550176.6,1.993,93.46,4.547,30.476,"IUCN",16.058,6.091,2.438,"Wrasses","Wrasses"
"Fis-31136","Anampses femininus","LC",NA,187808,"LC","Stable",NA,NA,"LC","iucn","WRASSES",NA,"iucn",0,0,3383328.1,2568175.8,1269517.4,13.799,61.158,25.043,35.526,"IUCN",15.034,49.433,0.693,"Wrasses","Wrasses"
"Fis-31135","Anampses geographicus","LC",NA,187710,"LC","Stable",NA,NA,"LC","iucn","WRASSES",NA,"iucn",0,0,15997409.4,10644398,9832736.4,27.813,38.543,33.644,45.256,"IUCN",16.588,92.375,2.873,"Wrasses","Wrasses"
"Fis-31145","Anampses lennardi","LC",NA,187567,"LC","Stable",NA,NA,"LC","iucn","WRASSES",NA,"iucn",0,0,741294.8,291295.1,714606.1,35.433,3.543,61.024,90.909,"AM",13.516,40.763,0.193,"Wrasses","Wrasses"
"Fis-31471","Anampses melanurus","LC",NA,155146,"LC","Unknown",NA,NA,"LC","iucn","WRASSES",NA,"iucn",0,NA,15660124.9,9096845.9,10631538.1,25.811,32.207,41.982,44.489,"AM",16.567,85.565,2.87,"Wrasses","Wrasses"
"Fis-31133","Anampses meleagrides","LC",1,187723,"LC","Stable",NA,NA,"LC","iucn","WRASSES",NA,"iucn",0,0,26611493.4,13783559,21514165.3,32.504,19.408,48.088,62.613,"AM",17.097,64.067,5.807,"Wrasses","Wrasses"
"Fis-31134","Anampses neoguinaicus","LC",NA,187759,"LC","Stable",NA,NA,"LC","iucn","WRASSES",NA,"iucn",0,0,14323179.9,8178264.8,10462913.9,30.062,27.012,42.925,52.672,"AM",16.477,78.164,2.824,"Wrasses","Wrasses"
"Fis-31137","Anampses twistii","LC",NA,187784,"LC","Stable",NA,NA,"LC","iucn","WRASSES",NA,"iucn",0,0,26623371,11772911.1,22751052,29.478,14.795,55.726,66.582,"AM",17.097,51.747,6.141,"Wrasses","Wrasses"
"Fis-32641","Antennablennius australis",NA,NA,46079217,"LC","Stable",NA,NA,"LC","iucn","COMBTOOTHBLENNIES",46079217,"iucn",0,0,3263017.2,2307700.3,2020955.7,32.466,38.475,29.058,52.77,"IUCN",14.998,87.574,0.623,"Blenniidae","Blenniidae"
"Fis-26821","Antennablennius bifilum",NA,NA,46079226,"LC","Stable",NA,NA,"LC","iucn","COMBTOOTHBLENNIES",46079226,"iucn",0,0,3767100.1,2054724.1,2884993,31.153,23.287,45.561,57.225,"AM",15.142,71.221,0.779,"Blenniidae","Blenniidae"
"Fis-113013","Antennablennius hypenetes",NA,NA,46079239,"LC","Stable",NA,NA,"LC","iucn","COMBTOOTHBLENNIES",46079239,"iucn",0,0,2279320.5,1848818.7,1124666.7,30.457,50.635,18.909,61.697,"IUCN",14.639,60.832,0.499,"Blenniidae","Blenniidae"
"Fis-113018","Antennablennius variopunctatus",NA,NA,46079321,"LC","Stable",NA,NA,"LC","iucn","COMBTOOTHBLENNIES",46079321,"iucn",0,0,3187779.6,2011045.2,2045146.8,27.156,35.963,36.881,43.023,"AM",14.975,98.333,0.552,"Blenniidae","Blenniidae"
"Fis-25382","Anyperodon leucogrammicus","LC",NA,132787,"LC","Unknown",NA,NA,"LC","iucn","GROUPERS",NA,"iucn",0,NA,25894941.5,13956653.6,22898822.5,42.039,11.93,46.031,77.895,"AM",17.07,60.949,6.181,"Groupers","Groupers"
"Fis-26169","Apolemichthys trimaculatus","LC",1,165835,"LC","Stable",NA,NA,"LC","iucn","ANGELFISH",NA,"iucn",0,0,21602296.4,12081175.5,16823009.6,33.578,22.302,44.119,60.089,"AM",16.888,71.813,4.541,"Angelfish","Angelfish"
"Fis-28014","Apolemichthys xanthotis","LC",NA,165853,"LC","Stable",NA,NA,"LC","iucn","ANGELFISH",NA,"iucn",0,0,3150142.7,2334790.4,1803925,31.793,42.144,26.063,54.952,"IUCN",14.963,77.263,0.63,"Angelfish","Angelfish"
"Fis-28015","Apolemichthys xanthurus","LC",NA,165844,"LC","Unknown",NA,NA,"LC","iucn","ANGELFISH",NA,"iucn",0,NA,4976360.8,4148781.9,1355316.8,10.376,73.226,16.398,38.753,"IUCN",15.42,32.668,1.12,"Angelfish","Angelfish"
"Fis-26857","Archosargus pourtalesii",NA,NA,47137303,"NT","Unknown",NA,NA,"NT","iucn","SEABREAMS_PORGIES",47137303,"iucn",0.2,NA,246112.6,58461.3,239960.2,21.25,2.5,76.25,89.474,"AM",12.414,24.363,0.065,"Sparidae","Sparidae"
"Fis-23013","Archosargus probatocephalus",NA,NA,170223,"LC","Stable",NA,NA,"LC","iucn","SEABREAMS_PORGIES",170223,"iucn",0,0,6364301.3,3178977,5475186.5,33.94,13.077,52.983,72.187,"AM",15.666,58.062,1.478,"Sparidae","Sparidae"
"Fis-23374","Archosargus rhomboidalis",NA,NA,170156,"LC","Unknown",NA,NA,"LC","iucn","SEABREAMS_PORGIES",170156,"iucn",0,NA,5547653.6,3622311.7,4560465.6,47.525,18.239,34.237,72.266,"AM",15.529,79.429,1.231,"Sparidae","Sparidae"
"Fis-32670","Argyrops bleekeri",NA,NA,170191,"LC","Unknown",NA,NA,"LC","iucn","SEABREAMS_PORGIES",170191,"iucn",0,NA,14762811.6,12978434.7,5717346.9,26.457,61.455,12.089,68.638,"IUCN",16.508,44.053,3.503,"Sparidae","Sparidae"
"Fis-25174","Argyrops filamentosus",NA,NA,170252,"LC","Unknown",NA,NA,"LC","iucn","SEABREAMS_PORGIES",170252,"iucn",0,NA,4446676.7,2768447.5,3518580.3,41.721,20.565,37.714,66.983,"AM",15.308,78.681,0.95,"Sparidae","Sparidae"
"Fis-23015","Argyrops spinifer",NA,NA,170238,"LC","Stable",NA,NA,"LC","iucn","SEABREAMS_PORGIES",170238,"iucn",0,0,23507800.9,17750050.9,18714574.6,54.879,20.618,24.503,72.691,"AM",16.973,94.846,5.052,"Sparidae","Sparidae"
"Fis-23018","Argyrozona argyrozona",NA,NA,170231,"NT","Increasing",NA,NA,"NT","iucn","SEABREAMS_PORGIES",170231,"iucn",0.2,0.5,251866.8,137940.8,226122.5,44.444,10.101,45.455,81.481,"AM",12.437,61.003,0.061,"Sparidae","Sparidae"
"Fis-35467","Arothron caeruleopunctatus",NA,NA,193599,"LC","Unknown",NA,NA,"LC","iucn","PUFFERFISH",193599,"iucn",0,NA,16112273.9,11049435.5,9283151.4,25.855,42.993,31.152,45.354,"IUCN",16.595,84.015,2.983,"Pufferfish","Pufferfish"
"Fis-29188","Arothron firmamentum",NA,NA,193822,"LC","Unknown",NA,NA,"LC","iucn","PUFFERFISH",193822,"iucn",0,NA,10329620.3,9324827.1,3285532.7,22.828,67.121,10.051,69.432,"IUCN",16.151,35.234,2.517,"Pufferfish","Pufferfish"
"Fis-25619","Arothron hispidus",NA,1,193699,"LC","Unknown",NA,NA,"LC","iucn","PUFFERFISH",193699,"iucn",0,NA,34728854.4,17046097.4,31262213.8,38.777,10.43,50.793,78.804,"AM",17.363,54.526,8.439,"Pufferfish","Pufferfish"
"Fis-26418","Arothron immaculatus",NA,1,193805,"LC","Unknown",NA,NA,"LC","iucn","PUFFERFISH",193805,"iucn",0,NA,19036444.3,11794757.7,13186839.4,30.986,31.033,37.981,49.962,"AM",16.762,89.443,3.56,"Pufferfish","Pufferfish"
"Fis-53116","Arothron inconditus",NA,NA,193786,"VU","Unknown",NA,NA,"VU","iucn","PUFFERFISH",193786,"iucn",0.4,NA,244368.2,138308.7,165227.7,24.468,31.915,43.617,43.396,"AM",12.406,83.708,0.045,"Pufferfish","Pufferfish"
"Fis-26417","Arothron manilensis",NA,1,193607,"LC","Unknown",NA,NA,"LC","iucn","PUFFERFISH",193607,"iucn",0,NA,16591832.3,8009485.2,14226385.1,33.973,14.353,51.674,70.3,"AM",16.624,56.3,3.84,"Pufferfish","Pufferfish"
"Fis-26728","Arothron mappa",NA,NA,193671,"LC","Unknown",NA,NA,"LC","iucn","PUFFERFISH",193671,"iucn",0,NA,21542378.5,11750935.9,16763262.2,32.229,22.335,45.436,59.067,"AM",16.886,70.099,4.525,"Pufferfish","Pufferfish"
"Fis-26098","Arothron meleagris",NA,NA,193662,"LC","Stable",NA,NA,"LC","iucn","PUFFERFISH",193662,"iucn",0,0,25160284.5,14868571.3,13891944.3,14.368,44.525,41.107,25.901,"IUCN",17.041,93.432,4.014,"Pufferfish","Pufferfish"
"Fis-26097","Arothron nigropunctatus",NA,1,193804,"LC","Unknown",NA,NA,"LC","iucn","PUFFERFISH",193804,"iucn",0,NA,24594966.6,11926005,20499192.4,31.678,17.047,51.275,65.014,"AM",17.018,58.178,5.533,"Pufferfish","Pufferfish"
"Fis-26210","Arothron reticularis",NA,NA,193716,"LC","Unknown",NA,NA,"LC","iucn","PUFFERFISH",193716,"iucn",0,NA,19259546.7,9776639.4,17337248.9,40.527,10.527,48.946,79.381,"AM",16.774,56.391,4.68,"Pufferfish","Pufferfish"
"Fis-163987","Arothron stellatus",NA,1,193712,"LC","Unknown",NA,NA,"LC","iucn","PUFFERFISH",193712,"iucn",0,NA,31238185.1,15942263.9,28145316.8,40.664,10.698,48.638,79.171,"AM",17.257,56.643,7.597,"Pufferfish","Pufferfish"
"Fis-25991","Aspidontus dussumieri",NA,NA,48342525,"LC","Stable",NA,NA,"LC","iucn","COMBTOOTHBLENNIES",48342525,"iucn",0,0,27163791.9,13381996.7,22432860.6,31.682,17.573,50.745,64.322,"AM",17.117,59.654,6.055,"Blenniidae","Blenniidae"
"Fis-57962","Aspidontus taeniatus",NA,NA,48342346,"LC","Stable",NA,NA,"LC","iucn","COMBTOOTHBLENNIES",48342346,"iucn",0,0,20901630,9949679.5,17120637.2,29.394,18.205,52.401,61.753,"AM",16.855,58.115,4.621,"Blenniidae","Blenniidae"
"Fis-10516","Aspidontus tractus",NA,NA,48342166,"LC","Stable",NA,NA,"LC","iucn","COMBTOOTHBLENNIES",48342166,"iucn",0,0,8122601.6,4251890.7,6484054.7,32.04,20.542,47.419,60.933,"AM",15.91,65.575,1.75,"Blenniidae","Blenniidae"
"Fis-165431","Atrosalarias holomelas",NA,NA,48342444,"LC","Unknown",NA,NA,"LC","iucn","COMBTOOTHBLENNIES",48342444,"iucn",0,NA,17321136.1,6949238.9,15083993.7,26.985,12.881,60.134,67.689,"AM",16.667,46.07,4.072,"Blenniidae","Blenniidae"
