"am_sid","sciname","am_category","reviewed","iucn_sid","iucn_category","popn_trend","parent_sid","subpop_sid","popn_category","info_source","spp_group","id_no","spatial_source","category_score","trend_score","total_area","am_area","iucn_area","perc","am_perc","iucn_perc","sm_perc","sm_range","log_total_area","area_ratio","lg_area_pct","spp_group_text.x","spp_group_text.y"
"Fis-28205","Abudefduf concolor","LC",NA,183483,"LC","Unknown",NA,NA,"LC","iucn","DAMSELFISH",183483,"iucn",0,NA,1349397.9,890778.4,812299.2,25.778,40.889,33.333,43.609,"IUCN",14.115,91.19,0.24,"Damselfish","Damselfish"
"Fis-136667","Abudefduf declivifrons","LC",NA,183460,"LC","Unknown",NA,NA,"LC","iucn","DAMSELFISH",183460,"iucn",0,NA,879323.1,445182.7,733886,34.106,16.225,49.669,67.763,"AM",13.687,60.661,0.198,"Damselfish","Damselfish"
"Fis-26922","Abudefduf troschelii","LC",1,183397,"LC","Unknown",NA,NA,"LC","iucn","DAMSELFISH",183397,"iucn",0,NA,2194650.5,907662.2,2043748.6,34.35,6.764,58.886,83.548,"AM",14.602,44.412,0.552,"Damselfish","Damselfish"
"Fis-26619","Acantholabrus palloni","LC",NA,186106,"LC","Unknown",NA,NA,"LC","iucn","WRASSES",NA,"iucn",0,NA,5910724.3,2863451,4481331.3,23.899,29.582,46.519,44.687,"AM",15.592,63.897,1.21,"Wrasses","Wrasses"
"Fis-26855","Acanthopagrus australis",NA,NA,170257,"LC","Stable",NA,NA,"LC","iucn","SEABREAMS_PORGIES",170257,"iucn",0,0,952904,739795.2,542815.8,34.097,42.693,23.209,59.5,"IUCN",13.767,73.374,0.2,"Sparidae","Sparidae"
"Fis-25680","Acanthopagrus berda",NA,1,170266,"LC","Unknown",NA,NA,"LC","iucn","SEABREAMS_PORGIES",170266,"iucn",0,NA,13210196.6,9069326.2,6293393.6,16.331,52.604,31.066,34.455,"IUCN",16.396,69.392,2.448,"Sparidae","Sparidae"
"Fis-25176","Acanthopagrus bifasciatus",NA,NA,170239,"LC","Unknown",NA,NA,"LC","iucn","SEABREAMS_PORGIES",170239,"iucn",0,NA,1799053.5,1068606.9,1739356.5,56.3,3.19,40.51,94.638,"AM",14.403,61.437,0.47,"Sparidae","Sparidae"
"Fis-29194","Acanthopagrus butcheri",NA,NA,170189,"LC","Stable",NA,NA,"LC","iucn","SEABREAMS_PORGIES",170189,"iucn",0,0,1415558.1,1140599.1,823402.8,39.024,41.115,19.861,66.272,"IUCN",14.163,72.19,0.308,"Sparidae","Sparidae"
"Fis-150124","Acanthopagrus schlegelii",NA,1,170153,"LC","Stable",NA,NA,"LC","iucn","SEABREAMS_PORGIES",170153,"iucn",0,0,3217466.5,931255.3,3209418.6,28.514,0.242,71.244,99.157,"AM",14.984,29.016,0.866,"Sparidae","Sparidae"
"Fis-30911","Acanthurus achilles","LC",1,177960,"LC","Stable",NA,NA,"LC","iucn","SURGEONFISH_TANGS_UNICORNFISH",177960,"iucn",0,0,9665750.7,2115147.2,8644150.9,11.281,10.517,78.202,51.753,"AM",16.084,24.469,2.333,"Acanthuridae","Acanthuridae"
