am_sid,sciname,reviewed,iucn_sid,popn_trend,popn_category,category_score,spp_group,id_no,spatial_source,name_verified
ITS-Mam-180633,Arctocephalus australis,1,2055,Increasing,LC,0,MARINE_MAMMALS,2055,iucn,TRUE
ITS-Mam-180634,Arctocephalus galapagoensis,1,2057,Decreasing,EN,0.6,MARINE_MAMMALS,2057,iucn,TRUE
ITS-Mam-180630,Arctocephalus gazella,1,2058,Increasing,LC,0,MARINE_MAMMALS,2058,iucn,TRUE
ITS-Mam-180632,Arctocephalus tropicalis,null,2058,Increasing,LC,0,MARINE_MAMMALS,2058,iucn,TRUE
ITS-180635,Arctocephalus philippii,1,2059,Increasing,LC,0,MARINE_MAMMALS,2059,iucn,TRUE
ITS-Mam-180629,Arctocephalus pusillus,1,2060,Increasing,LC,0,MARINE_MAMMALS,2060,iucn,TRUE
ITS-Mam-180533,Balaena mysticetus,1,2467,Increasing,LC,0,MARINE_MAMMALS,2467,iucn_parent,TRUE
ITS-Mam-180526,Balaenoptera borealis,1,2475,Unknown,EN,0.6,MARINE_MAMMALS,2475,iucn,TRUE
ITS-Mam-180527,Balaenoptera physalus,1,2478,Unknown,EN,0.6,MARINE_MAMMALS,2478,iucn_parent,TRUE
ITS-Mam-612592,Balaenoptera bonaerensis,1,2480,Unknown,DD,NA,MARINE_MAMMALS,2480,iucn,TRUE
ITS-Mam-180627,Callorhinus ursinus,1,3590,Decreasing,VU,0.4,MARINE_MAMMALS,3590,iucn,TRUE
ITS-Mam-180535,Caperea marginata,1,3778,Unknown,DD,NA,MARINE_MAMMALS,3778,iucn,TRUE
Rep-2666,Caretta caretta,1,3897,NA,VU,0.4,REPTILES,3897,iucn,TRUE
ITS-Mam-180449,Cephalorhynchus commersonii,1,4159,Unknown,DD,NA,MARINE_MAMMALS,4159,iucn,TRUE
Fis-32632,Chaetodon marleyi,1,4362,Stable,LC,0,BUTTERFLYFISH,4362,iucn,TRUE
