class,n_am_class_all,p_am_class_all,n_am_class_solo,p_am_class_solo
other Animalia,793,3.46,793,3.8200000000000003
other Bacteria,2,0.01,2,0.01
other Chromista,64,0.28,64,0.31
other Plantae,95,0.41000000000000003,95,0.44
other Protozoa,14,0.05,14,0.060000000000000005
