speciesid,reviewed,speccode,genus,species,fbname,occurcells,kingdom,phylum,class,order,family,iucn_id,iucn_code,iucn_version
Fis-156671,null,62612,Abalistes,filamentosus,null,12,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,null,N.E.,2015-2
Fis-53544,1,9,Abalistes,stellaris,Starry triggerfish,198,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,null,N.E.,2015-2
Fis-142700,1,58334,Abalistes,stellatus,null,235,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,null,N.E.,2015-2
Fis-27725,1,10232,Ablabys,taenianotus,Cockatoo waspfish,59,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Tetrarogidae,null,N.E.,2015-2
Fis-22975,1,972,Ablennes,hians,Flat needlefish,397,Animalia,Chordata,Actinopterygii,Beloniformes,Belonidae,null,N.E.,2015-2
Fis-26241,null,6652,Abudefduf,abdominalis,Green damselfish,25,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,null,N.E.,2015-2
Fis-26166,null,6517,Abudefduf,bengalensis,Bengal sergeant,130,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,null,N.E.,2015-2
Fis-28205,null,11793,Abudefduf,concolor,null,63,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,183483,LC,2015-2
Fis-136667,null,55868,Abudefduf,declivifrons,Mexican nightsergeant,38,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,183460,LC,2015-2
Fis-31491,1,5685,Abudefduf,lorenzi,Black-tail sergeant,29,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,null,N.E.,2015-2
Fis-28218,1,11820,Abudefduf,luridus,Canary damsel,24,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,null,N.E.,2015-2
Fis-25761,1,5686,Abudefduf,notatus,Yellowtail sergeant,65,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,null,N.E.,2015-2
Fis-23318,1,1119,Abudefduf,saxatilis,Sergeant-major,292,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,null,N.E.,2015-2
Fis-25762,null,5687,Abudefduf,septemfasciatus,Banded sergeant,115,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,null,N.E.,2015-2
Fis-25763,null,5688,Abudefduf,sexfasciatus,Scissortail sergeant,238,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,null,N.E.,2015-2
Fis-25764,null,5689,Abudefduf,sordidus,Blackspot sergeant,247,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,null,N.E.,2015-2
Fis-26803,1,8018,Abudefduf,sparoides,False-eye sergeant,42,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,null,N.E.,2015-2
Fis-23319,null,1120,Abudefduf,taurus,Night sergeant,80,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,null,N.E.,2015-2
Fis-26922,1,8245,Abudefduf,troschelii,Panamic sergeant major,139,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,183397,LC,2015-2
Fis-26228,1,6630,Abudefduf,vaigiensis,Indo-Pacific sergeant,294,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,null,N.E.,2015-2
Fis-33558,null,9626,Abudefduf,whitleyi,Whitley's sergeant,29,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,null,N.E.,2015-2
Fis-50764,1,17075,Abyssobrotula,galatheae,null,24,Animalia,Chordata,Actinopterygii,Ophidiiformes,Ophidiidae,null,N.E.,2015-2
Fis-22077,null,14532,Acanthaluteres,brownii,Spiny-tailed leatherjacket,23,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,null,N.E.,2015-2
Fis-125479,null,51356,Acanthaluteres,spilomelanurus,Bridled leatherjacket,65,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,null,N.E.,2015-2
Fis-119913,null,14550,Acanthaluteres,vittiger,Toothbrush leatherjacket,86,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,null,N.E.,2015-2
Fis-115260,null,12559,Acanthaphritis,barbata,null,10,Animalia,Chordata,Actinopterygii,Perciformes,Percophidae,null,N.E.,2015-2
Fis-24397,null,3708,Acanthemblemaria,aspera,Roughhead blenny,27,Animalia,Chordata,Actinopterygii,Perciformes,Chaenopsidae,null,N.E.,2015-2
Fis-113559,null,46703,Acanthemblemaria,balanorum,Clubhead blenny,12,Animalia,Chordata,Actinopterygii,Perciformes,Chaenopsidae,183400,LC,2015-2
Fis-58221,null,25510,Acanthemblemaria,castroi,Galapagos barnacle blenny,18,Animalia,Chordata,Actinopterygii,Perciformes,Chaenopsidae,183873,VU,2015-2
Fis-113560,null,46704,Acanthemblemaria,crockeri,Browncheek blenny,41,Animalia,Chordata,Actinopterygii,Perciformes,Chaenopsidae,183505,LC,2015-2
Fis-113577,null,46709,Acanthemblemaria,exilispinus,Bluntspine blenny,24,Animalia,Chordata,Actinopterygii,Perciformes,Chaenopsidae,183629,LC,2015-2
Fis-113583,null,46714,Acanthemblemaria,hancocki,Hancock's blenny,26,Animalia,Chordata,Actinopterygii,Perciformes,Chaenopsidae,183841,LC,2015-2
Fis-113588,null,46717,Acanthemblemaria,macrospilus,Barnacle blenny,42,Animalia,Chordata,Actinopterygii,Perciformes,Chaenopsidae,183219,LC,2015-2
Fis-49730,null,16485,Acanthemblemaria,maria,Secretary blenny,18,Animalia,Chordata,Actinopterygii,Perciformes,Chaenopsidae,null,N.E.,2015-2
Fis-49731,null,16486,Acanthemblemaria,spinosa,Spinyhead blenny,31,Animalia,Chordata,Actinopterygii,Perciformes,Chaenopsidae,null,N.E.,2015-2
Fis-22840,1,351,Acanthistius,brasilianus,Argentine seabass,108,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,154987,DD,2015-2
Fis-29237,null,15036,Acanthistius,ocellatus,Eastern wirrah,52,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,155326,LC,2015-2
Fis-26768,1,7920,Acanthistius,sebastoides,Koester,14,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,null,N.E.,2015-2
Fis-29238,null,15042,Acanthistius,serratus,Western wirrah,23,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,null,N.E.,2015-2
Fis-27781,null,10354,Acanthocepola,abbreviata,Bandfish,44,Animalia,Chordata,Actinopterygii,Perciformes,Cepolidae,null,N.E.,2015-2
Fis-62878,null,9215,Acanthocepola,krusensternii,Red-spotted bandfish,17,Animalia,Chordata,Actinopterygii,Perciformes,Cepolidae,null,N.E.,2015-2
Fis-27337,null,9214,Acanthocepola,limbata,Blackspot bandfish,33,Animalia,Chordata,Actinopterygii,Perciformes,Cepolidae,null,N.E.,2015-2
Fis-131546,null,9046,Acanthochaenus,luetkenii,Pricklefish,35,Animalia,Chordata,Actinopterygii,Stephanoberyciformes,Stephanoberycidae,null,N.E.,2015-2
Fis-26242,1,6655,Acanthochromis,polyacanthus,Spiny chromis,147,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,null,N.E.,2015-2
Fis-26619,null,7633,Acantholabrus,palloni,Scale-rayed wrasse,37,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,186106,LC,2015-2
Fis-24399,null,3771,Acantholumpenus,mackayi,Pighead prickleback,57,Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,null,N.E.,2015-2
Fis-33095,null,8943,Acanthonus,armatus,Bony-eared assfish,37,Animalia,Chordata,Actinopterygii,Ophidiiformes,Ophidiidae,null,N.E.,2015-2
Fis-26855,null,8109,Acanthopagrus,australis,Surf bream,47,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,null,N.E.,2015-2
Fis-25680,1,5526,Acanthopagrus,berda,Goldsilk seabream,80,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,null,N.E.,2015-2
Fis-25176,null,4543,Acanthopagrus,bifasciatus,Twobar seabream,27,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,null,N.E.,2015-2
Fis-29194,null,14601,Acanthopagrus,butcheri,Southern black bream,82,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,null,N.E.,2015-2
Fis-26067,1,6356,Acanthopagrus,latus,Yellowfin seabream,31,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,null,N.E.,2015-2
Fis-150124,1,6531,Acanthopagrus,schlegelii,Blackhead seabream,34,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,null,N.E.,2015-2
Fis-51707,null,17444,Acanthoplesiops,hiatti,Hiatt's basslet,12,Animalia,Chordata,Actinopterygii,Perciformes,Plesiopidae,null,N.E.,2015-2
Fis-33019,null,8836,Acanthopsetta,nadeshnyi,Scale-eye plaice,20,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,null,N.E.,2015-2
