class,n_am_class_all,p_am_class_all,n_am_class_solo,p_am_class_solo,n_iucn_class_all,p_iucn_class_all,n_iucn_class_solo,p_iucn_class_solo,n_class_both,p_class_both
other Animalia,1,0.0,1,0.0,NA,NA,NA,NA,NA,NA
other Animalia,5,0.02,5,0.02,NA,NA,NA,NA,NA,NA
other Animalia,32,0.14,32,0.16,NA,NA,NA,NA,NA,NA
other Animalia,11,0.05,11,0.05,NA,NA,NA,NA,NA,NA
other Animalia,36,0.16,36,0.18,NA,NA,NA,NA,NA,NA
other Chromista,1,0.0,1,0.0,NA,NA,NA,NA,NA,NA
other Plantae,1,0.0,1,0.0,NA,NA,NA,NA,NA,NA
other Chromista,2,0.01,2,0.01,NA,NA,NA,NA,NA,NA
other Plantae,22,0.1,22,0.11,NA,NA,NA,NA,NA,NA
other Animalia,29,0.13,29,0.14,NA,NA,NA,NA,NA,NA
other Animalia,6,0.03,6,0.03,NA,NA,NA,NA,NA,NA
other Animalia,7,0.03,7,0.03,NA,NA,NA,NA,NA,NA
other Animalia,34,0.15,34,0.17,NA,NA,NA,NA,NA,NA
other Protozoa,2,0.01,2,0.01,NA,NA,NA,NA,NA,NA
other Animalia,2,0.01,2,0.01,NA,NA,NA,NA,NA,NA
other Plantae,5,0.02,1,0.0,NA,NA,NA,NA,4,0.17
other Plantae,54,0.24,54,0.26,NA,NA,NA,NA,NA,NA
other Protozoa,1,0.0,1,0.0,NA,NA,NA,NA,NA,NA
other Animalia,93,0.41,93,0.45,NA,NA,NA,NA,NA,NA
other Animalia,4,0.02,4,0.02,NA,NA,NA,NA,NA,NA
other Animalia,44,0.19,44,0.22,NA,NA,NA,NA,NA,NA
other Animalia,49,0.22,49,0.24,NA,NA,NA,NA,NA,NA
other Animalia,19,0.08,19,0.09,NA,NA,NA,NA,NA,NA
other Chromista,61,0.27,61,0.3,NA,NA,NA,NA,NA,NA
other Animalia,30,0.13,30,0.15,NA,NA,NA,NA,NA,NA
other Animalia,54,0.24,54,0.26,NA,NA,NA,NA,NA,NA
other Protozoa,10,0.04,10,0.05,NA,NA,NA,NA,NA,NA
other Animalia,3,0.01,3,0.01,NA,NA,NA,NA,NA,NA
other Animalia,18,0.08,18,0.09,NA,NA,NA,NA,NA,NA
other Animalia,35,0.15,35,0.17,NA,NA,NA,NA,NA,NA
other Plantae,15,0.07,15,0.07,NA,NA,NA,NA,NA,NA
