iucn_sid,am_sid,sciname,area_am,area_iucn_shallow,area_overlap_shallow,sm_perc_shallow,sm_range_shallow,area_ratio_shallow,area_iucn_raw,area_overlap_raw,sm_perc_raw,sm_range_raw,area_ratio_raw
132859,URM-Cn-5604,Oulastrea crispata,6143414.3,9610987.2,4591052.54933775,74.731,AM,63.921,14064717.7,4709103.03885052,76.653,AM,43.68
132860,SLB-62998,Psammocora stellata,2432985.2,1961441.9,1213962.63921776,61.891,IUCN,80.619,4553046.9,1276849.5439565,52.481,AM,53.436
132864,SLB-117548,Cycloseris costulata,5485177.6,11131017.3,4034441.85518605,73.552,AM,49.278,18474797.6,4170692.08300752,76.036,AM,29.69
132866,URM-Cn-4877,Montipora angulata,11276148.4,10557634.1,8523741.7207971,80.735,IUCN,93.628,17242193.6,8689466.10415228,77.061,AM,65.399
132869,URM-Cn-4750,Acropora florida,10313593.3,12904568.5,9025256.53122638,87.508,AM,79.922,23615392.7,9242604.37908966,89.616,AM,43.673
132871,URM-Cn-5952,Pectinia elongata,2042694.5,6253736.3,1752009.64910822,85.77,AM,32.664,12521729.4,1807224.9918295,88.473,AM,16.313
132874,URM-Cn-5888,Scolymia lacera,2190123.2,1994437.7,427603.224470681,21.44,IUCN,91.065,3277527.9,427603.224470681,19.524,AM,66.822
132875,URM-Cn-5982,Pocillopora kelleheri,5667840.2,3001949.8,2005822.93336113,66.817,IUCN,52.965,4691240.7,2084822.89423177,44.441,IUCN,82.769
132876,URM-Cn-4973,Leptoseris tubulifera,3307910.3,5396015.4,2198618.49002169,66.465,AM,61.303,8773659.8,2302709.94698157,69.612,AM,37.703
132877,URM-Cn-5759,Fungia fralinae,1891394.3,3682481.6,1666116.18773609,88.089,AM,51.362,6414326.8,1712102.37163011,90.521,AM,29.487
132878,URM-Cn-5549,Favia maxima,5039798.3,11652173.3,4438412.2378818,88.067,AM,43.252,17988781.2,4574511.39224759,90.768,AM,28.016
132880,URM-Cn-4995,Pavona venosa,11436066.4,13692316.4,9602949.96162282,83.971,AM,83.522,24105887.2,9816997.14174022,85.842,AM,47.441
132883,URM-Cn-5572,Goniastrea australensis,6194337.4,13382409.7,5084814.89929703,82.088,AM,46.287,25602176.4,5304350.36100014,85.632,AM,24.195
132884,URM-Cn-5508,Colpophyllia natans,1337472.9,2163448.8,1252197.64409008,93.624,AM,61.821,3517433.6,1275543.97620957,95.37,AM,38.024
132885,URM-Cn-4965,Leptoseris hawaiiensis,13602045.8,14017008.8,10419581.9292948,76.603,AM,97.04,25936278.6,10674544.8163148,78.477,AM,52.444
132892,URM-Cn-4910,Montipora hodgsoni,5777116.8,5445516.7,4181648.18254617,76.791,IUCN,94.26,8458041.8,4273581.17587374,73.974,AM,68.303
132894,URM-Cn-5557,Favia veroni,5368772.2,11602940.1,4638621.93431384,86.4,AM,46.271,19709144.5,4819740.45872116,89.774,AM,27.24
132900,URM-Cn-5894,Symphyllia radians,13128206.3,13120216.2,10364731.5329881,78.998,IUCN,99.939,21985243.5,10590611.7302726,80.671,AM,59.714
