iucn_sid,am_sid,sciname,area_am,area_iucn_shallow,area_overlap_shallow,sm_range_shallow,area_iucn_raw,area_overlap_raw,sm_range_raw,dist,d_perc,area,a_ratio,method
132859,URM-Cn-5604,Oulastrea crispata,6143414.3,9610987.2,4591052.549337752,AM,14064717.7,4709103.038850522,AM,sm_perc_raw,76.653,area_ratio_raw,43.68,original
132860,SLB-62998,Psammocora stellata,2432985.2,1961441.9,1213962.6392177565,IUCN,4553046.9,1276849.5439564995,AM,sm_perc_raw,52.481,area_ratio_raw,53.436,original
132863,SLB-93516,Acropora prostrata,8227951.7,7411115.2,5736332.288712124,IUCN,12767200.0,5882467.689184188,AM,sm_perc_raw,71.494,area_ratio_raw,64.446,original
132866,URM-Cn-4877,Montipora angulata,11276148.4,10557634.1,8523741.720797095,IUCN,17242193.6,8689466.104152283,AM,sm_perc_raw,77.061,area_ratio_raw,65.399,original
132869,URM-Cn-4750,Acropora florida,10313593.3,12904568.5,9025256.531226376,AM,23615392.7,9242604.379089657,AM,sm_perc_raw,89.616,area_ratio_raw,43.673,original
132871,URM-Cn-5952,Pectinia elongata,2042694.5,6253736.3,1752009.6491082238,AM,12521729.4,1807224.9918294954,AM,sm_perc_raw,88.473,area_ratio_raw,16.313,original
132874,URM-Cn-5888,Scolymia lacera,2190123.2,1994437.7,427603.2244706805,IUCN,3277527.9,427603.2244706805,AM,sm_perc_raw,19.524,area_ratio_raw,66.822,original
132875,URM-Cn-5982,Pocillopora kelleheri,5667840.2,3001949.8,2005822.9333611326,IUCN,4691240.7,2084822.8942317723,IUCN,sm_perc_raw,44.441,area_ratio_raw,82.769,original
132876,URM-Cn-4973,Leptoseris tubulifera,3307910.3,5396015.4,2198618.4900216865,AM,8773659.8,2302709.9469815735,AM,sm_perc_raw,69.612,area_ratio_raw,37.703,original
132877,URM-Cn-5759,Fungia fralinae,1891394.3,3682481.6,1666116.1877360863,AM,6414326.8,1712102.3716301073,AM,sm_perc_raw,90.521,area_ratio_raw,29.487,original
132878,URM-Cn-5549,Favia maxima,5039798.3,11652173.3,4438412.237881804,AM,17988781.2,4574511.392247588,AM,sm_perc_raw,90.768,area_ratio_raw,28.016,original
132880,URM-Cn-4995,Pavona venosa,11436066.4,13692316.4,9602949.96162282,AM,24105887.2,9816997.141740222,AM,sm_perc_raw,85.842,area_ratio_raw,47.441,original
132883,URM-Cn-5572,Goniastrea australensis,6194337.4,13382409.7,5084814.8992970325,AM,25602176.4,5304350.361000143,AM,sm_perc_raw,85.632,area_ratio_raw,24.195,original
132884,URM-Cn-5508,Colpophyllia natans,1337472.9,2163448.8,1252197.6440900804,AM,3517433.6,1275543.976209569,AM,sm_perc_raw,95.37,area_ratio_raw,38.024,original
132885,URM-Cn-4965,Leptoseris hawaiiensis,13602045.8,14017008.8,10419581.929294836,AM,25936278.6,10674544.816314798,AM,sm_perc_raw,78.477,area_ratio_raw,52.444,original
132886,SLB-93397,Acropora seriata,3588971.0,4693240.4,2581828.8007808337,AM,6987192.9,2615502.4642686234,AM,sm_perc_raw,72.876,area_ratio_raw,51.365,original
132892,URM-Cn-4910,Montipora hodgsoni,5777116.8,5445516.7,4181648.182546173,IUCN,8458041.8,4273581.1758737415,AM,sm_perc_raw,73.974,area_ratio_raw,68.303,original
132894,URM-Cn-5557,Favia veroni,5368772.2,11602940.1,4638621.934313838,AM,19709144.5,4819740.458721163,AM,sm_perc_raw,89.774,area_ratio_raw,27.24,original
132900,URM-Cn-5894,Symphyllia radians,13128206.3,13120216.2,10364731.532988103,IUCN,21985243.5,10590611.730272623,AM,sm_perc_raw,80.671,area_ratio_raw,59.714,original
132902,SLB-62642,Fungia puishani,614004.1,669177.7,482043.9288256665,AM,1525690.1,482043.9288256665,AM,sm_perc_raw,78.508,area_ratio_raw,40.244,original
132903,URM-Cn-4970,Leptoseris solida,8177866.4,8871298.2,4838302.792148162,AM,18259556.9,5034900.332216622,AM,sm_perc_raw,61.567,area_ratio_raw,44.787,original
132906,SLB-93376,Acropora irregularis,7631181.0,6576466.0,4637776.57562338,IUCN,11416584.5,4698111.169966941,AM,sm_perc_raw,61.565,area_ratio_raw,66.843,original
132908,URM-Cn-4818,Acropora rosaria,10241229.5,8929290.7,6793532.235395556,IUCN,17184773.6,6978113.121255482,AM,sm_perc_raw,68.137,area_ratio_raw,59.595,original
132909,URM-Cn-4848,Acropora turaki,6584709.7,6701847.2,4673617.137010884,AM,10005257.6,4762296.64407947,AM,sm_perc_raw,72.324,area_ratio_raw,65.812,original
132911,URM-Cn-4992,Pavona maldivensis,15018027.0,15166786.9,12093284.345767438,AM,29132833.9,12393599.700180449,AM,sm_perc_raw,82.525,area_ratio_raw,51.55,original
132915,SLB-158712,Siderastrea stellata,2997345.3,528938.9,452941.95513396885,IUCN,686235.6,465183.25526123605,IUCN,sm_perc_raw,67.788,area_ratio_raw,22.895,original
132916,URM-Cn-5470,Turbinaria irregularis,2547098.7,9011712.7,2262674.549803402,AM,16010025.7,2317863.1451506126,AM,sm_perc_raw,91.0,area_ratio_raw,15.909,original
132917,URM-Cn-4958,Gardineroseris planulata,15874009.9,15535267.5,12526839.853388285,IUCN,29409070.4,12827155.207801295,AM,sm_perc_raw,80.806,area_ratio_raw,53.977,original
132922,URM-Cn-5595,Montastrea curta,14216172.4,13758373.9,10984834.019948063,IUCN,26603248.9,11281585.555864016,AM,sm_perc_raw,79.357,area_ratio_raw,53.438,original
132923,URM-Cn-5985,Pocillopora woodjonesi,10147208.8,11373572.5,8644859.803504882,AM,21088459.2,8892469.016921042,AM,sm_perc_raw,87.635,area_ratio_raw,48.117,original
132927,SLB-61850,Leptoseris striata,2105246.8,6581022.1,1766629.6294481445,AM,9651208.3,1815716.455928804,AM,sm_perc_raw,86.247,area_ratio_raw,21.813,original
132928,URM-Cn-5953,Pectinia lactuca,8618545.3,12275344.7,7413910.63583519,AM,21582116.5,7586358.4644162925,AM,sm_perc_raw,88.024,area_ratio_raw,39.934,original
132931,URM-Cn-4854,Acropora willisae,8193755.0,10334541.2,6080625.081174056,AM,15809518.0,6204653.792732331,AM,sm_perc_raw,75.724,area_ratio_raw,51.828,original
132933,URM-Cn-4723,Acropora carduus,10827638.0,6358464.1,5454938.767017124,IUCN,13139037.2,5641475.502573279,AM,sm_perc_raw,52.103,area_ratio_raw,82.408,original
132935,URM-Cn-4807,Acropora plumosa,5100120.9,5349092.1,3958167.4931628895,AM,8628116.4,4040955.3848209414,AM,sm_perc_raw,79.233,area_ratio_raw,59.11,original
132936,SLB-190543,Favia pallida,16060350.0,15530037.8,13672019.92507199,IUCN,28589731.3,14002430.183585454,AM,sm_perc_raw,87.186,area_ratio_raw,56.175,original
132940,URM-Cn-4710,Acropora acuminata,7721655.5,11789417.3,6775803.0888353065,AM,21418653.8,6927185.109364298,AM,sm_perc_raw,89.711,area_ratio_raw,36.051,original
132941,URM-Cn-5862,Indophyllia macassarensis,3093061.2,140715.4,131545.11516080127,IUCN,195714.9,131545.11516080127,IUCN,sm_perc_raw,67.213,area_ratio_raw,6.328,original
132942,SLB-93057,Montipora patula,69062.2,172783.8,69062.17663333686,AM,637215.9,69062.17663333686,AM,sm_perc_raw,100.0,area_ratio_raw,10.838,original
132945,URM-Cn-6043,Porites colonensis,1800973.6,75914.0,69839.23084694841,IUCN,130453.8,69839.23084694841,IUCN,sm_perc_raw,53.536,area_ratio_raw,7.244,original
132946,SLB-93732,Acropora lianae,4293182.7,4323684.8,3234970.3429717203,AM,6399260.4,3277640.6647296534,AM,sm_perc_raw,76.345,area_ratio_raw,67.089,original
132950,SLB-158633,Acropora macrostoma,6366756.4,5085742.2,2449635.5914487056,IUCN,8410594.5,2498283.6053655082,AM,sm_perc_raw,39.24,area_ratio_raw,75.699,original
132957,URM-Cn-5465,Turbinaria bifrons,4455926.0,8546824.0,2696372.697430896,AM,12037478.6,2764472.5169524183,AM,sm_perc_raw,62.04,area_ratio_raw,37.017,original
132962,URM-Cn-5892,Symphyllia erythraea,739140.7,1256238.3,532539.4774166032,AM,2283966.3,541213.2839535482,AM,sm_perc_raw,73.222,area_ratio_raw,32.362,original
132963,URM-Cn-5591,Manicina areolata,2100033.7,2025270.6,1737012.9471217531,IUCN,3311168.1,1763096.9439225956,AM,sm_perc_raw,83.956,area_ratio_raw,63.423,original
132967,URM-Cn-5485,Euphyllia yaeyamaensis,8213611.1,7440467.3,5535391.4119087765,IUCN,14140735.5,5728988.822163394,AM,sm_perc_raw,69.75,area_ratio_raw,58.085,original
132968,URM-Cn-5779,Halomitra clavator,1891394.3,767788.1,314224.5528561388,IUCN,1270578.3,329583.0634653308,IUCN,sm_perc_raw,25.94,area_ratio_raw,67.177,original
132969,URM-Cn-4774,Acropora listeri,9315183.4,11666822.3,7465660.218819966,AM,20840128.1,7656098.941543913,AM,sm_perc_raw,82.189,area_ratio_raw,44.698,original
132970,URM-Cn-4954,Agaricia lamarcki,1405868.9,2001761.9,1314484.6733306928,AM,3304052.2,1337831.0054501814,AM,sm_perc_raw,95.16,area_ratio_raw,42.55,original
132972,URM-Cn-4800,Acropora paniculata,8356634.1,8615481.8,6205330.7924354775,AM,17093752.5,6395589.170764462,AM,sm_perc_raw,76.533,area_ratio_raw,48.887,original
132974,SLB-62368,Plerogyra discus,4365440.8,5260090.7,3276189.886951246,AM,8433012.1,3386432.0994816916,AM,sm_perc_raw,77.574,area_ratio_raw,51.766,original
132977,URM-Cn-4937,Montipora stilosa,1895641.6,1834312.6,1244773.8155143142,IUCN,3343077.0,1265364.7421460778,AM,sm_perc_raw,66.751,area_ratio_raw,56.703,original
132980,URM-Cn-5590,Leptoria phrygia,7999240.2,14617463.8,7047582.826072768,AM,27130626.1,7252647.690823209,AM,sm_perc_raw,90.667,area_ratio_raw,29.484,original
132983,URM-Cn-5584,Leptastrea bottae,9034260.5,9105184.8,5025570.954378108,AM,17410757.0,5163764.117685718,AM,sm_perc_raw,57.158,area_ratio_raw,51.889,original
132984,URM-Cn-4736,Acropora derawanensis,4996026.4,5004259.4,3844580.3164249,AM,7644258.5,3927329.9354791995,AM,sm_perc_raw,78.609,area_ratio_raw,65.357,original
132987,URM-Cn-5524,Echinopora gemmacea,11470427.5,13933486.1,9168242.582318414,AM,25504010.4,9400221.27237766,AM,sm_perc_raw,81.952,area_ratio_raw,44.975,original
132988,URM-Cn-4777,Acropora longicyathus,11131586.9,12227759.2,8739914.784756213,AM,23362051.5,8963338.751457496,AM,sm_perc_raw,80.522,area_ratio_raw,47.648,original
132990,URM-Cn-4790,Acropora multiacuta,7013136.6,6525341.6,4827008.350798364,IUCN,10367625.8,4933968.32733283,AM,sm_perc_raw,70.353,area_ratio_raw,67.645,original
132991,URM-Cn-6123,Coscinaraea crassa,5941954.3,7750171.6,4100080.844878986,AM,13345245.3,4231146.639523911,AM,sm_perc_raw,71.208,area_ratio_raw,44.525,original
132992,URM-Cn-4761,Acropora humilis,11931678.7,13959617.6,9692257.599327639,AM,26557697.0,9920953.480430009,AM,sm_perc_raw,83.148,area_ratio_raw,44.927,original
132996,URM-Cn-5772,Fungia seychellensis,1431876.7,960418.4,714605.3619471064,IUCN,2639077.3,729736.5052673811,AM,sm_perc_raw,50.964,area_ratio_raw,54.257,original
133000,URM-Cn-4796,Acropora ocellata,5301213.8,1356033.0,801617.8948346962,IUCN,2483682.5,821896.9736510076,IUCN,sm_perc_raw,33.092,area_ratio_raw,46.851,original
