"","submitted_name","data_source_title","score","matched_name2","match"
"1","Abantennarius analis","EOL",0.988,"Abantennarius analis",TRUE
"2","Ablennes hians","NCBI",0.988,"Ablennes hians",TRUE
"3","Ablennes pacificus","EOL",0.988,"Ablennes pacificus",TRUE
"4","Aboma etheostoma","NCBI",0.988,"Aboma etheostoma",TRUE
"5","Aboma snyderi","EOL",0.988,"Aboma snyderi",TRUE
"6","Abralia affinis","uBio NameBank",0.988,"Abralia affinis",TRUE
"7","Abralia andamanica","NCBI",0.988,"Abralia andamanica",TRUE
"8","Abralia armata","EOL",0.988,"Abralia armata",TRUE
"9","Abralia astrolineata","EOL",0.988,"Abralia astrolineata",TRUE
"10","Abralia astrosticta","EOL",0.988,"Abralia astrosticta",TRUE
"11","Abralia dubia","uBio NameBank",0.988,"Abralia dubia",TRUE
"12","Abralia fasciolata","uBio NameBank",0.988,"Abralia fasciolata",TRUE
"13","Abralia gilchristi","uBio NameBank",0.988,"Abralia gilchristi",TRUE
"14","Abralia grimpei","EOL",0.988,"Abralia grimpei",TRUE
"15","Abralia heminuchalis","EOL",0.988,"Abralia heminuchalis",TRUE
"16","Abralia marisarabica","Index to Organism Names",0.988,"Abralia marisarabica",TRUE
"17","Abralia multihamata","EOL",0.988,"Abralia multihamata",TRUE
"18","Abralia omiae","uBio NameBank",0.988,"Abralia omiae",TRUE
"19","Abralia redfieldi","EOL",0.988,"Abralia redfieldi",TRUE
"20","Abralia renschi","EOL",0.988,"Abralia renschi",TRUE
"21","Abralia robsoni","uBio NameBank",0.988,"Abralia robsoni",TRUE
"22","Abralia siedleckyi","uBio NameBank",0.988,"Abralia siedleckyi",TRUE
"23","Abralia similis","EOL",0.988,"Abralia similis",TRUE
"24","Abralia spaercki","EOL",0.988,"Abralia spaercki",TRUE
"25","Abralia steindachneri","uBio NameBank",0.988,"Abralia steindachneri",TRUE
"26","Abralia trigonura","NCBI",0.988,"Abralia trigonura",TRUE
"27","Abralia veranyi","NCBI",0.988,"Abralia veranyi",TRUE
"28","Abraliopsis affinis","EOL",0.988,"Abraliopsis affinis",TRUE
"29","Abraliopsis atlantica","EOL",0.988,"Abraliopsis atlantica",TRUE
"30","Abraliopsis chuni","EOL",0.988,"Abraliopsis chuni",TRUE
"31","Abraliopsis falco","EOL",0.988,"Abraliopsis falco",TRUE
"32","Abraliopsis felis","EOL",0.988,"Abraliopsis felis",TRUE
"33","Abraliopsis gilchristi","EOL",0.988,"Abraliopsis gilchristi",TRUE
"34","Abraliopsis hoylei","EOL",0.988,"Abraliopsis hoylei",TRUE
"35","Abraliopsis lineata","EOL",0.988,"Abraliopsis lineata",TRUE
"36","Abraliopsis morisi","EOL",0.988,"Abraliopsis morisi",TRUE
"37","Abraliopsis pacificus","NCBI",0.988,"Abraliopsis pacificus",TRUE
"38","Abraliopsis pfefferi","NCBI",0.988,"Abraliopsis pfefferi",TRUE
"39","Abraliopsis tui","EOL",0.988,"Abraliopsis tui",TRUE
"40","Abudefduf analogus","EOL",0.988,"Abudefduf analogus",TRUE
"41","Abudefduf ascensionis","EOL",0.988,"Abudefduf ascensionis",TRUE
"42","Abudefduf concolor","NCBI",0.988,"Abudefduf concolor",TRUE
"43","Abudefduf declivifrons","NCBI",0.988,"Abudefduf declivifrons",TRUE
"44","Abudefduf flavipinnis","EOL",0.988,"Abudefduf flavipinnis",TRUE
"45","Abudefduf hoefleri","NCBI",0.988,"Abudefduf hoefleri",TRUE
"46","Abudefduf luridus","NCBI",0.988,"Abudefduf luridus",TRUE
"47","Abudefduf nigripinnis","EOL",0.988,"Abudefduf nigripinnis",TRUE
"48","Abudefduf saxatilis","NCBI",0.988,"Abudefduf saxatilis",TRUE
"49","Abudefduf sexatilis","uBio NameBank",0.988,"Abudefduf sexatilis",TRUE
"50","Abudefduf taurus","NCBI",0.988,"Abudefduf taurus",TRUE
"51","Abudefduf troschelii","NCBI",0.988,"Abudefduf troschelii",TRUE
"52","Abyssoberyx levisquamosus","Catalogue of Life",0.988,"Abyssoberyx levisquamosus",TRUE
"53","Abyssobrotula galatheae","Freebase",0.988,"Abyssobrotula galatheae",TRUE
"54","Acalyptophis peronii","EOL",0.988,"Acalyptophis peronii",TRUE
"55","Acalyptus peronii","uBio NameBank",0.995,"Acalyptus",FALSE
"56","Acanthacaris caeca","NCBI",0.988,"Acanthacaris caeca",TRUE
"57","Acanthacaris opipara","Interim Register of Marine and Nonmarine Genera",0.988,"Acanthacaris opipara",TRUE
"58","Acanthacaris tenuimana","NCBI",0.988,"Acanthacaris tenuimana",TRUE
"59","Acanthanectes hystrix","Freebase",0.988,"Acanthanectes hystrix",TRUE
"60","Acanthanectes rufus","Freebase",0.988,"Acanthanectes rufus",TRUE
"61","Acantharctus delfini","NCBI",0.988,"Acantharctus delfini",TRUE
"62","Acantharctus ornatus","NCBI",0.988,"Acantharctus ornatus",TRUE
"63","Acantharctus posteli","NCBI",0.988,"Acantharctus posteli",TRUE
"64","Acanthastrea bowerbanki","NCBI",0.988,"Acanthastrea bowerbanki",TRUE
"65","Acanthastrea brevis","Union 4",0.988,"Acanthastrea brevis",TRUE
"66","Acanthastrea echinata","NCBI",0.988,"Acanthastrea echinata",TRUE
"67","Acanthastrea faviaformis","NCBI",0.988,"Acanthastrea faviaformis",TRUE
"68","Acanthastrea hemprichii","NCBI",0.988,"Acanthastrea hemprichii",TRUE
"69","Acanthastrea hillae","NCBI",0.988,"Acanthastrea hillae",TRUE
"70","Acanthastrea ishigakiensis","NCBI",0.988,"Acanthastrea ishigakiensis",TRUE
"71","Acanthastrea lordhowensis","Union 4",0.988,"Acanthastrea lordhowensis",TRUE
"72","Acanthastrea maxima","NCBI",0.988,"Acanthastrea maxima",TRUE
"73","Acanthastrea regularis","Union 4",0.988,"Acanthastrea regularis",TRUE
"74","Acanthastrea rotundoflora","Union 4",0.988,"Acanthastrea rotundoflora",TRUE
"75","Acanthastrea subechinata","NCBI",0.988,"Acanthastrea subechinata",TRUE
"76","Acanthemblemaria arborescens","EOL",0.988,"Acanthemblemaria arborescens",TRUE
"77","Acanthemblemaria aspera","NCBI",0.988,"Acanthemblemaria aspera",TRUE
"78","Acanthemblemaria atrata","Freebase",0.988,"Acanthemblemaria atrata",TRUE
"79","Acanthemblemaria balanorum","NCBI",0.988,"Acanthemblemaria balanorum",TRUE
"80","Acanthemblemaria betinensis","NCBI",0.988,"Acanthemblemaria betinensis",TRUE
"81","Acanthemblemaria castroi","NCBI",0.988,"Acanthemblemaria castroi",TRUE
"82","Acanthemblemaria chaplini","NCBI",0.988,"Acanthemblemaria chaplini",TRUE
"83","Acanthemblemaria crockeri","NCBI",0.988,"Acanthemblemaria crockeri",TRUE
"84","Acanthemblemaria exilispinus","NCBI",0.988,"Acanthemblemaria exilispinus",TRUE
"85","Acanthemblemaria greenfieldi","NCBI",0.988,"Acanthemblemaria greenfieldi",TRUE
"86","Acanthemblemaria hancocki","NCBI",0.988,"Acanthemblemaria hancocki",TRUE
"87","Acanthemblemaria harpeza","Freebase",0.988,"Acanthemblemaria harpeza",TRUE
"88","Acanthemblemaria hastingsi","Freebase",0.988,"Acanthemblemaria hastingsi",TRUE
"89","Acanthemblemaria johnsoni","Freebase",0.988,"Acanthemblemaria johnsoni",TRUE
"90","Acanthemblemaria macrospilus","NCBI",0.988,"Acanthemblemaria macrospilus",TRUE
"91","Acanthemblemaria mangognatha","Freebase",0.988,"Acanthemblemaria mangognatha",TRUE
"92","Acanthemblemaria maria","NCBI",0.988,"Acanthemblemaria maria",TRUE
"93","Acanthemblemaria medusa","NCBI",0.988,"Acanthemblemaria medusa",TRUE
"94","Acanthemblemaria paula","NCBI",0.988,"Acanthemblemaria paula",TRUE
"95","Acanthemblemaria rivasi","NCBI",0.988,"Acanthemblemaria rivasi",TRUE
"96","Acanthemblemaria spinosa","NCBI",0.988,"Acanthemblemaria spinosa",TRUE
"97","Acanthemblemaria stephensi","Freebase",0.988,"Acanthemblemaria stephensi",TRUE
"98","Acanthemblemaria variegata","Index to Organism Names",0.988,"Acanthemblemaria variegata",TRUE
"99","Acanthenchelys spinicauda","EOL",0.988,"Acanthenchelys spinicauda",TRUE
"100","Acanthias blainville","EOL",0.988,"Acanthias blainville",TRUE
"101","Acanthidium hystricosum","EOL",0.988,"Acanthidium hystricosum",TRUE
"102","Acanthidium pusillum","EOL",0.988,"Acanthidium pusillum",TRUE
"103","Acanthidium quadrispinosum","EOL",0.988,"Acanthidium quadrispinosum",TRUE
"104","Acanthistius brasilianus","NCBI",0.988,"Acanthistius brasilianus",TRUE
"105","Acanthistius ocellatus","NCBI",0.988,"Acanthistius ocellatus",TRUE
"106","Acanthistius pictus","EOL",0.988,"Acanthistius pictus",TRUE
"107","Acanthochaenus luetkenii","NCBI",0.988,"Acanthochaenus luetkenii",TRUE
"108","Acanthochaenus lutkeni","CU*STAR",0.988,"Acanthochaenus lutkeni",TRUE
"109","Acanthochaenus lutkenii","Index to Organism Names",0.988,"Acanthochaenus lutkenii",TRUE
"110","Acanthochaetodon imperator","uBio NameBank",0.988,"Acanthochaetodon imperator",TRUE
"111","Acanthochaetodon nicobariensis","uBio NameBank",0.988,"Acanthochaetodon nicobariensis",TRUE
"112","Acanthocottus bubalis","Index to Organism Names",0.988,"Acanthocottus bubalis",TRUE
"113","Acanthocybium forbesi","EOL",0.988,"Acanthocybium forbesi",TRUE
"114","Acanthocybium solandri","NCBI",0.988,"Acanthocybium solandri",TRUE
"115","Acanthogobius flavimanus","NCBI",0.988,"Acanthogobius flavimanus",TRUE
"116","Acanthogobius jacoti","EOL",0.988,"Acanthogobius jacoti",TRUE
"117","Acantholabrus couchii","EOL",0.988,"Acantholabrus couchii",TRUE
"118","Acantholabrus exoletus","uBio NameBank",0.988,"Acantholabrus exoletus",TRUE
"119","Acantholabrus imbricatus","EOL",0.988,"Acantholabrus imbricatus",TRUE
"120","Acantholabrus microstoma","uBio NameBank",0.988,"Acantholabrus microstoma",TRUE
"121","Acantholabrus palloni","NCBI",0.988,"Acantholabrus palloni",TRUE
"122","Acantholabrus romerus","EOL",0.988,"Acantholabrus romerus",TRUE
"123","Acantholabrus viridis","uBio NameBank",0.988,"Acantholabrus viridis",TRUE
"124","Acanthonus armatus","EOL",0.988,"Acanthonus armatus",TRUE
"125","Acanthonus spinifer","EOL",0.988,"Acanthonus spinifer",TRUE
"126","Acanthopagrus akazakii","uBio NameBank",0.988,"Acanthopagrus akazakii",TRUE
