iucn_sid,sciname,spp_group,sciname_worrms,status,sciname_accepted,iucn_name_ver
899,Vulpes lagopus,TERRESTRIAL_MAMMALS,Vulpes lagopus,accepted,Vulpes lagopus,TRUE
1793,Aonyx capensis,TERRESTRIAL_MAMMALS,Aonyx capensis,accepted,Aonyx capensis,TRUE
2055,Arctocephalus australis,MARINE_MAMMALS,Arctocephalus australis,accepted,Arctocephalus australis,TRUE
2057,Arctocephalus galapagoensis,MARINE_MAMMALS,Arctocephalus galapagoensis,accepted,Arctocephalus galapagoensis,TRUE
2058,Arctocephalus gazella,MARINE_MAMMALS,Arctocephalus gazella,accepted,Arctocephalus gazella,TRUE
2059,Arctocephalus philippii,MARINE_MAMMALS,Arctocephalus philippii,accepted,Arctocephalus philippii,TRUE
2060,Arctocephalus pusillus,MARINE_MAMMALS,Arctocephalus pusillus,accepted,Arctocephalus pusillus,TRUE
2061,Arctocephalus townsendi,MARINE_MAMMALS,Arctocephalus townsendi,unaccepted,Arctocephalus philippii townsendi,FALSE
2062,Arctocephalus tropicalis,MARINE_MAMMALS,Arctocephalus tropicalis,accepted,Arctocephalus tropicalis,TRUE
2467,Balaena mysticetus,MARINE_MAMMALS,Balaena mysticetus,accepted,Balaena mysticetus,TRUE
2474,Balaenoptera acutorostrata,MARINE_MAMMALS,Balaenoptera acutorostrata,accepted,Balaenoptera acutorostrata,TRUE
2475,Balaenoptera borealis,MARINE_MAMMALS,Balaenoptera borealis,accepted,Balaenoptera borealis,TRUE
2476,Balaenoptera edeni,MARINE_MAMMALS,Balaenoptera edeni,accepted,Balaenoptera edeni,TRUE
2477,Balaenoptera musculus,MARINE_MAMMALS,Balaenoptera musculus,accepted,Balaenoptera musculus,TRUE
2477,Balaenoptera musculus,MARINE_MAMMALS,Balaenoptera musculus,unaccepted,Balaenoptera physalus,FALSE
2478,Balaenoptera physalus,MARINE_MAMMALS,Balaenoptera physalus,accepted,Balaenoptera physalus,TRUE
2480,Balaenoptera bonaerensis,MARINE_MAMMALS,Balaenoptera bonaerensis,accepted,Balaenoptera bonaerensis,TRUE
2762,Berardius arnuxii,MARINE_MAMMALS,Berardius arnuxii,accepted,Berardius arnuxii,TRUE
2763,Berardius bairdii,MARINE_MAMMALS,Berardius bairdii,accepted,Berardius bairdii,TRUE
3590,Callorhinus ursinus,MARINE_MAMMALS,Callorhinus ursinus,accepted,Callorhinus ursinus,TRUE
3764,Canthigaster rapaensis,PUFFERFISH,Canthigaster rapaensis,accepted,Canthigaster rapaensis,TRUE
3778,Caperea marginata,MARINE_MAMMALS,Caperea marginata,accepted,Caperea marginata,TRUE
3897,Caretta caretta,REPTILES,Caretta caretta,accepted,Caretta caretta,TRUE
4131,Centropyge resplendens,ANGELFISH,Centropyge resplendens,accepted,Centropyge resplendens,TRUE
4159,Cephalorhynchus commersonii,MARINE_MAMMALS,Cephalorhynchus commersonii,accepted,Cephalorhynchus commersonii,TRUE
4160,Cephalorhynchus eutropia,MARINE_MAMMALS,Cephalorhynchus eutropia,accepted,Cephalorhynchus eutropia,TRUE
4161,Cephalorhynchus heavisidii,MARINE_MAMMALS,Cephalorhynchus heavisidii,accepted,Cephalorhynchus heavisidii,TRUE
4162,Cephalorhynchus hectori,MARINE_MAMMALS,Cephalorhynchus hectori,accepted,Cephalorhynchus hectori,TRUE
4360,Chaetodon flavocoronatus,BUTTERFLYFISH,Chaetodon flavocoronatus,accepted,Chaetodon flavocoronatus,TRUE
4361,Chaetodon litus,BUTTERFLYFISH,Chaetodon litus,accepted,Chaetodon litus,TRUE
4362,Chaetodon marleyi,BUTTERFLYFISH,Chaetodon marleyi,accepted,Chaetodon marleyi,TRUE
4363,Prognathodes obliquus,BUTTERFLYFISH,Prognathodes obliquus,accepted,Prognathodes obliquus,TRUE
4364,Chaetodon robustus,BUTTERFLYFISH,Chaetodon robustus,accepted,Chaetodon robustus,TRUE
4615,Chelonia mydas,REPTILES,Chelonia mydas,accepted,Chelonia mydas,TRUE
4805,Chromis sanctaehelenae,DAMSELFISH,Chromis sanctaehelenae,accepted,Chromis sanctaehelenae,TRUE
5269,Conus africanus,CONESNAILS,Conus africanus,accepted,Conus africanus,TRUE
5270,Conus cepasi,CONESNAILS,Conus cepasi,accepted,Conus cepasi,TRUE
5272,Conus nobrei,CONESNAILS,Conus nobrei,accepted,Conus nobrei,TRUE
5273,Conus zebroides,CONESNAILS,Conus zebroides,accepted,Conus zebroides,TRUE
5659,Crocodylus acutus,REPTILES,Crocodylus acutus,accepted,Crocodylus acutus,TRUE
5668,Crocodylus porosus,REPTILES,Crocodylus porosus,accepted,Crocodylus porosus,TRUE
6204,Cystophora cristata,MARINE_MAMMALS,Cystophora cristata,accepted,Cystophora cristata,TRUE
6335,Delphinapterus leucas,MARINE_MAMMALS,Delphinapterus leucas,accepted,Delphinapterus leucas,TRUE
6336,Delphinus delphis,MARINE_MAMMALS,Delphinus delphis,accepted,Delphinus delphis,TRUE
6337,Delphinus capensis,MARINE_MAMMALS,Delphinus capensis,nomen dubium,NA,NA
6337,Delphinus capensis,MARINE_MAMMALS,Delphinus capensis,unaccepted,Cephalorhynchus heavisidii,FALSE
6337,Delphinus capensis,MARINE_MAMMALS,Delphinus capensis,unaccepted,Delphinus delphis,FALSE
6494,Dermochelys coriacea,REPTILES,Dermochelys coriacea,accepted,Dermochelys coriacea,TRUE
6909,Dugong dugon,MARINE_MAMMALS,Dugong dugon,accepted,Dugong dugon,TRUE
7750,Enhydra lutris,TERRESTRIAL_MAMMALS,Enhydra lutris,accepted,Enhydra lutris,TRUE
7778,Entomacrodus cadenati,COMBTOOTHBLENNIES,Entomacrodus cadenati,accepted,Entomacrodus cadenati,TRUE
7854,Epinephelus drummondhayi,GROUPERS,Epinephelus drummondhayi,accepted,Epinephelus drummondhayi,TRUE
7855,Hyporthodus exsul,GROUPERS,Hyporthodus exsul,accepted,Hyporthodus exsul,TRUE
7858,Epinephelus lanceolatus,GROUPERS,Epinephelus lanceolatus,accepted,Epinephelus lanceolatus,TRUE
7859,Epinephelus marginatus,GROUPERS,Epinephelus marginatus,accepted,Epinephelus marginatus,TRUE
7860,Hyporthodus nigritus,GROUPERS,Hyporthodus nigritus,accepted,Hyporthodus nigritus,TRUE
7861,Hyporthodus niveatus,GROUPERS,Hyporthodus niveatus,accepted,Hyporthodus niveatus,TRUE
7862,Epinephelus striatus,GROUPERS,Epinephelus striatus,accepted,Epinephelus striatus,TRUE
8005,Eretmochelys imbricata,REPTILES,Eretmochelys imbricata,accepted,Eretmochelys imbricata,TRUE
8010,Erignathus barbatus,MARINE_MAMMALS,Erignathus barbatus,accepted,Erignathus barbatus,TRUE
8097,Eschrichtius robustus,MARINE_MAMMALS,Eschrichtius robustus,accepted,Eschrichtius robustus,TRUE
8153,Eubalaena australis,MARINE_MAMMALS,Eubalaena australis,accepted,Eubalaena australis,TRUE
8239,Eumetopias jubatus,MARINE_MAMMALS,Eumetopias jubatus,accepted,Eumetopias jubatus,TRUE
8551,Feresa attenuata,MARINE_MAMMALS,Feresa attenuata,accepted,Feresa attenuata,TRUE
9249,Globicephala macrorhynchus,MARINE_MAMMALS,Globicephala macrorhynchus,accepted,Globicephala macrorhynchus,TRUE
9250,Globicephala melas,MARINE_MAMMALS,Globicephala melas,accepted,Globicephala melas,TRUE
9461,Grampus griseus,MARINE_MAMMALS,Grampus griseus,accepted,Grampus griseus,TRUE
9660,Halichoerus grypus,MARINE_MAMMALS,Halichoerus grypus,accepted,Halichoerus grypus,TRUE
10103,Hippopotamus amphibius,TERRESTRIAL_MAMMALS,NA,error,NA,NA
10310,Hydromys chrysogaster,TERRESTRIAL_MAMMALS,Hydromys chrysogaster,accepted,Hydromys chrysogaster,TRUE
10340,Hydrurga leptonyx,MARINE_MAMMALS,Hydrurga leptonyx,accepted,Hydrurga leptonyx,TRUE
10708,Hyperoodon planifrons,MARINE_MAMMALS,Hyperoodon planifrons,accepted,Hyperoodon planifrons,TRUE
11048,Kogia sima,MARINE_MAMMALS,Kogia sima,accepted,Kogia sima,TRUE
11130,Lachnolaimus maximus,WRASSE,Lachnolaimus maximus,accepted,Lachnolaimus maximus,TRUE
11140,Lagenodelphis hosei,MARINE_MAMMALS,Lagenodelphis hosei,accepted,Lagenodelphis hosei,TRUE
11141,Lagenorhynchus acutus,MARINE_MAMMALS,Lagenorhynchus acutus,accepted,Lagenorhynchus acutus,TRUE
11142,Lagenorhynchus albirostris,MARINE_MAMMALS,Lagenorhynchus albirostris,accepted,Lagenorhynchus albirostris,TRUE
11143,Lagenorhynchus australis,MARINE_MAMMALS,Lagenorhynchus australis,accepted,Lagenorhynchus australis,TRUE
11144,Lagenorhynchus cruciger,MARINE_MAMMALS,Lagenorhynchus cruciger,accepted,Lagenorhynchus cruciger,TRUE
11144,Lagenorhynchus cruciger,MARINE_MAMMALS,NA,deleted,Lagenorhynchus cruciger,TRUE
11145,Lagenorhynchus obliquidens,MARINE_MAMMALS,Lagenorhynchus obliquidens,accepted,Lagenorhynchus obliquidens,TRUE
11146,Lagenorhynchus obscurus,MARINE_MAMMALS,Lagenorhynchus obscurus,accepted,Lagenorhynchus obscurus,TRUE
11150,Lagocephalus gloveri,PUFFERFISH,Lagocephalus gloveri,accepted,Lagocephalus gloveri,TRUE
11369,Laticauda crockeri,REPTILES,NA,error,NA,NA
11369,Laticauda crockeri,SEASNAKES,NA,error,NA,NA
11534,Lepidochelys olivacea,REPTILES,Lepidochelys olivacea,accepted,Lepidochelys olivacea,TRUE
11696,Leptonychotes weddellii,MARINE_MAMMALS,Leptonychotes weddellii,accepted,Leptonychotes weddellii,TRUE
12125,Lissodelphis borealis,MARINE_MAMMALS,Lissodelphis borealis,accepted,Lissodelphis borealis,TRUE
12137,Lithognathus lithognathus,SEABREAMS_PORGIES,Lithognathus lithognathus,accepted,Lithognathus lithognathus,TRUE
12246,Lobodon carcinophaga,MARINE_MAMMALS,Lobodon carcinophaga,unaccepted,Lobodon carcinophagus,FALSE
12302,Lontra canadensis,TERRESTRIAL_MAMMALS,Lontra canadensis,accepted,Lontra canadensis,TRUE
12303,Lontra felina,TERRESTRIAL_MAMMALS,Lontra felina,unaccepted,Lutra felina,FALSE
12305,Lontra provocax,TERRESTRIAL_MAMMALS,Lontra provocax,unaccepted,Lutra canadensis provocax,FALSE
12419,Lutra lutra,TERRESTRIAL_MAMMALS,Lutra lutra,accepted,Lutra lutra,TRUE
12421,Lutra sumatrana,TERRESTRIAL_MAMMALS,Lutra sumatrana,accepted,Lutra sumatrana,TRUE
12427,Lutrogale perspicillata,TERRESTRIAL_MAMMALS,Lutrogale perspicillata,accepted,Lutrogale perspicillata,TRUE
13006,Megaptera novaeangliae,MARINE_MAMMALS,Megaptera novaeangliae,accepted,Megaptera novaeangliae,TRUE
13241,Mesoplodon bidens,MARINE_MAMMALS,Mesoplodon bidens,accepted,Mesoplodon bidens,TRUE
13241,Mesoplodon bidens,MARINE_MAMMALS,Mesoplodon bidens,unaccepted,Mesoplodon ginkgodens,FALSE
13243,Mesoplodon carlhubbsi,MARINE_MAMMALS,Mesoplodon carlhubbsi,accepted,Mesoplodon carlhubbsi,TRUE
13245,Mesoplodon europaeus,MARINE_MAMMALS,Mesoplodon europaeus,accepted,Mesoplodon europaeus,TRUE
13246,Mesoplodon ginkgodens,MARINE_MAMMALS,Mesoplodon ginkgodens,accepted,Mesoplodon ginkgodens,TRUE
13246,Mesoplodon ginkgodens,MARINE_MAMMALS,Mesoplodon ginkgodens,unaccepted,Mesoplodon traversii,FALSE
13247,Mesoplodon grayi,MARINE_MAMMALS,Mesoplodon grayi,accepted,Mesoplodon grayi,TRUE
13248,Mesoplodon hectori,MARINE_MAMMALS,Mesoplodon hectori,accepted,Mesoplodon hectori,TRUE
13248,Mesoplodon hectori,MARINE_MAMMALS,Mesoplodon hectori,unaccepted,Mesoplodon perrini,FALSE
13248,Mesoplodon hectori,MARINE_MAMMALS,Mesoplodon hectori,unaccepted,Mesoplodon hectori,TRUE
13249,Mesoplodon layardii,MARINE_MAMMALS,Mesoplodon layardii,accepted,Mesoplodon layardii,TRUE
13249,Mesoplodon layardii,MARINE_MAMMALS,Mesoplodon layardii,unaccepted,Mesoplodon traversii,FALSE
13250,Mesoplodon mirus,MARINE_MAMMALS,Mesoplodon mirus,accepted,Mesoplodon mirus,TRUE
13251,Mesoplodon peruvianus,MARINE_MAMMALS,Mesoplodon peruvianus,accepted,Mesoplodon peruvianus,TRUE
13252,Mesoplodon stejnegeri,MARINE_MAMMALS,Mesoplodon stejnegeri,accepted,Mesoplodon stejnegeri,TRUE
13252,Mesoplodon stejnegeri,MARINE_MAMMALS,Mesoplodon stejnegeri,unaccepted,Mesoplodon carlhubbsi,FALSE
13581,Mirounga angustirostris,MARINE_MAMMALS,Mirounga angustirostris,accepted,Mirounga angustirostris,TRUE
13583,Mirounga leonina,MARINE_MAMMALS,Mirounga leonina,accepted,Mirounga leonina,TRUE
13583,Mirounga leonina,MARINE_MAMMALS,NA,deleted,Mirounga leonina,TRUE
13653,Monachus monachus,MARINE_MAMMALS,Monachus monachus,accepted,Monachus monachus,TRUE
13654,Neomonachus schauinslandi,MARINE_MAMMALS,NA,error,NA,NA
13704,Monodon monoceros,MARINE_MAMMALS,Monodon monoceros,accepted,Monodon monoceros,TRUE
14048,Mycteroperca cidi,GROUPERS,Mycteroperca cidi,accepted,Mycteroperca cidi,TRUE
14049,Mycteroperca jordani,GROUPERS,Mycteroperca jordani,accepted,Mycteroperca jordani,TRUE
14050,Mycteroperca microlepis,GROUPERS,Mycteroperca microlepis,accepted,Mycteroperca microlepis,TRUE
14051,Mycteroperca olfax,GROUPERS,Mycteroperca olfax,accepted,Mycteroperca olfax,TRUE
14052,Mycteroperca prionura,GROUPERS,Mycteroperca prionura,accepted,Mycteroperca prionura,TRUE
14053,Mycteroperca rosacea,GROUPERS,Mycteroperca rosacea,accepted,Mycteroperca rosacea,TRUE
14054,Mycteroperca rubra,GROUPERS,Mycteroperca rubra,accepted,Mycteroperca rubra,TRUE
14549,Neophoca cinerea,MARINE_MAMMALS,Neophoca cinerea,accepted,Neophoca cinerea,TRUE
15106,Odobenus rosmarus,MARINE_MAMMALS,Odobenus rosmarus,accepted,Odobenus rosmarus,TRUE
15269,Ommatophoca rossii,MARINE_MAMMALS,Ommatophoca rossii,accepted,Ommatophoca rossii,TRUE
15419,Orcaella brevirostris,MARINE_MAMMALS,Orcaella brevirostris,accepted,Orcaella brevirostris,TRUE
15873,Pagrus pagrus,SEABREAMS_PORGIES,Pagrus pagrus,accepted,Pagrus pagrus,TRUE
16564,Peponocephala electra,MARINE_MAMMALS,Peponocephala electra,accepted,Peponocephala electra,TRUE
17013,Phoca vitulina,MARINE_MAMMALS,Phoca vitulina,accepted,Phoca vitulina,TRUE
17026,Phocarctos hookeri,MARINE_MAMMALS,Phocarctos hookeri,accepted,Phocarctos hookeri,TRUE
17027,Phocoena phocoena,MARINE_MAMMALS,Phocoena phocoena,accepted,Phocoena phocoena,TRUE
17028,Phocoena sinus,MARINE_MAMMALS,Phocoena sinus,accepted,Phocoena sinus,TRUE
17029,Phocoena spinipinnis,MARINE_MAMMALS,Phocoena spinipinnis,accepted,Phocoena spinipinnis,TRUE
17032,Phocoenoides dalli,MARINE_MAMMALS,Phocoenoides dalli,accepted,Phocoenoides dalli,TRUE
17978,Pontoporia blainvillei,MARINE_MAMMALS,Pontoporia blainvillei,accepted,Pontoporia blainvillei,TRUE
18596,Pseudorca crassidens,MARINE_MAMMALS,Pseudorca crassidens,accepted,Pseudorca crassidens,TRUE
19950,Scarus guacamaia,WRASSE,Scarus guacamaia,accepted,Scarus guacamaia,TRUE
20047,Scomberomorus concolor,TUNAS_BILLFISHES,Scomberomorus concolor,accepted,Scomberomorus concolor,TRUE
20424,Sousa chinensis,MARINE_MAMMALS,Sousa chinensis,accepted,Sousa chinensis,TRUE
20724,Stegastes sanctaehelenae,DAMSELFISH,Stegastes sanctaehelenae,accepted,Stegastes sanctaehelenae,TRUE
20729,Stenella attenuata,MARINE_MAMMALS,Stenella attenuata,accepted,Stenella attenuata,TRUE
20730,Stenella clymene,MARINE_MAMMALS,Stenella clymene,accepted,Stenella clymene,TRUE
20731,Stenella coeruleoalba,MARINE_MAMMALS,Stenella coeruleoalba,accepted,Stenella coeruleoalba,TRUE
20732,Stenella frontalis,MARINE_MAMMALS,Stenella frontalis,accepted,Stenella frontalis,TRUE
20733,Stenella longirostris,MARINE_MAMMALS,Stenella longirostris,accepted,Stenella longirostris,TRUE
20738,Steno bredanensis,MARINE_MAMMALS,Steno bredanensis,accepted,Steno bredanensis,TRUE
21341,Takifugu niphobles,PUFFERFISH,Takifugu niphobles,accepted,Takifugu niphobles,TRUE
21342,Takifugu poecilonotus,PUFFERFISH,Takifugu poecilonotus,accepted,Takifugu poecilonotus,TRUE
21343,Takifugu xanthopterus,PUFFERFISH,Takifugu xanthopterus,accepted,Takifugu xanthopterus,TRUE
21500,Tasmacetus shepherdi,MARINE_MAMMALS,Tasmacetus shepherdi,accepted,Tasmacetus shepherdi,TRUE
21689,Thalassoma ascensionis,WRASSE,Thalassoma ascensionis,accepted,Thalassoma ascensionis,TRUE
21856,Thunnus alalunga,TUNAS_BILLFISHES,Thunnus alalunga,accepted,Thunnus alalunga,TRUE
21856,Thunnus alalunga,TUNAS_BILLFISHES,Thunnus alalunga,unaccepted,Thunnus alalunga,TRUE
21857,Thunnus albacares,TUNAS_BILLFISHES,Thunnus albacares,accepted,Thunnus albacares,TRUE
21858,Thunnus maccoyii,TUNAS_BILLFISHES,Thunnus maccoyii,accepted,Thunnus maccoyii,TRUE
21859,Thunnus obesus,TUNAS_BILLFISHES,Thunnus obesus,accepted,Thunnus obesus,TRUE
21860,Thunnus thynnus,TUNAS_BILLFISHES,Thunnus thynnus,accepted,Thunnus thynnus,TRUE
21994,Torquigener brevipinnis,PUFFERFISH,Torquigener brevipinnis,accepted,Torquigener brevipinnis,TRUE
22102,Trichechus inunguis,MARINE_MAMMALS,Trichechus inunguis,accepted,Trichechus inunguis,TRUE
22103,Trichechus manatus,MARINE_MAMMALS,Trichechus manatus,accepted,Trichechus manatus,TRUE
22104,Trichechus senegalensis,MARINE_MAMMALS,Trichechus senegalensis,accepted,Trichechus senegalensis,TRUE
22563,Tursiops truncatus,MARINE_MAMMALS,Tursiops truncatus,accepted,Tursiops truncatus,TRUE
22823,Ursus maritimus,TERRESTRIAL_MAMMALS,Ursus maritimus,accepted,Ursus maritimus,TRUE
23148,Xiphias gladius,TUNAS_BILLFISHES,Xiphias gladius,accepted,Xiphias gladius,TRUE
23211,Ziphius cavirostris,MARINE_MAMMALS,Ziphius cavirostris,accepted,Ziphius cavirostris,TRUE
31382,Rhizophora apiculata,MANGROVES,Rhizophora apiculata,accepted,Rhizophora apiculata,TRUE
33705,Dolichandrone spathacea,MANGROVES,NA,error,NA,NA
34364,Aglaia cucullata,MANGROVES,NA,error,NA,NA
39303,Dermatolepis inermis,GROUPERS,Dermatolepis inermis,accepted,Dermatolepis inermis,TRUE
39773,Cephalopholis boenak,GROUPERS,Cephalopholis boenak,accepted,Cephalopholis boenak,TRUE
39774,Cromileptes altivelis,GROUPERS,Cromileptes altivelis,accepted,Cromileptes altivelis,TRUE
40635,Indopacetus pacificus,MARINE_MAMMALS,Indopacetus pacificus,accepted,Indopacetus pacificus,TRUE
40711,Stegastes sanctipauli,DAMSELFISH,Stegastes sanctipauli,accepted,Stegastes sanctipauli,TRUE
41664,Arctocephalus forsteri,MARINE_MAMMALS,Arctocephalus forsteri,unaccepted,Arctocephalus australis forsteri,FALSE
41665,Otaria byronia,MARINE_MAMMALS,Otaria byronia,unaccepted,Otaria flavescens,FALSE
41666,Zalophus californianus,MARINE_MAMMALS,Zalophus californianus,accepted,Zalophus californianus,TRUE
41668,Zalophus wollebaeki,MARINE_MAMMALS,Zalophus wollebaeki,accepted,Zalophus wollebaeki,TRUE
41670,Histriophoca fasciata,MARINE_MAMMALS,Histriophoca fasciata,accepted,Histriophoca fasciata,TRUE
41671,Pagophilus groenlandicus,MARINE_MAMMALS,Pagophilus groenlandicus,accepted,Pagophilus groenlandicus,TRUE
41672,Pusa hispida,MARINE_MAMMALS,Pusa hispida,accepted,Pusa hispida,TRUE
41711,Eubalaena japonica,MARINE_MAMMALS,Eubalaena japonica,accepted,Eubalaena japonica,TRUE
41712,Eubalaena glacialis,MARINE_MAMMALS,Eubalaena glacialis,accepted,Eubalaena glacialis,TRUE
41714,Tursiops aduncus,MARINE_MAMMALS,Tursiops aduncus,accepted,Tursiops aduncus,TRUE
41715,Phocoena dioptrica,MARINE_MAMMALS,Phocoena dioptrica,accepted,Phocoena dioptrica,TRUE
41754,Neophocaena asiaeorientalis,MARINE_MAMMALS,Neophocaena asiaeorientalis,accepted,Neophocaena asiaeorientalis,TRUE
41754,Neophocaena asiaeorientalis,MARINE_MAMMALS,NA,deleted,Neophocaena asiaeorientalis,TRUE
41755,Physeter macrocephalus,MARINE_MAMMALS,Physeter macrocephalus,accepted,Physeter macrocephalus,TRUE
41759,Mesoplodon perrini,MARINE_MAMMALS,Mesoplodon perrini,accepted,Mesoplodon perrini,TRUE
41760,Mesoplodon traversii,MARINE_MAMMALS,Mesoplodon traversii,accepted,Mesoplodon traversii,TRUE
43974,Epinephelus akaara,GROUPERS,Epinephelus akaara,accepted,Epinephelus akaara,TRUE
44166,Aonyx cinereus,TERRESTRIAL_MAMMALS,NA,error,NA,NA
44671,Choerodon rubescens,WRASSE,Choerodon rubescens,accepted,Choerodon rubescens,TRUE
44672,Dermatolepis striolata,GROUPERS,Dermatolepis striolata,accepted,Dermatolepis striolata,TRUE
44673,Epinephelus fuscoguttatus,GROUPERS,Epinephelus fuscoguttatus,accepted,Epinephelus fuscoguttatus,TRUE
44674,Epinephelus coioides,GROUPERS,Epinephelus coioides,accepted,Epinephelus coioides,TRUE
44675,Hyporthodus quernus,GROUPERS,Hyporthodus quernus,accepted,Hyporthodus quernus,TRUE
44676,Epinephelus irroratus,GROUPERS,Epinephelus irroratus,accepted,Epinephelus irroratus,TRUE
44677,Epinephelus albomarginatus,GROUPERS,Epinephelus albomarginatus,unaccepted,Gracila albomarginata,FALSE
44677,Epinephelus albomarginatus,GROUPERS,Epinephelus albomarginatus,accepted,Epinephelus albomarginatus,TRUE
44678,Epinephelus andersoni,GROUPERS,Epinephelus andersoni,accepted,Epinephelus andersoni,TRUE
44681,Epinephelus morio,GROUPERS,Epinephelus morio,accepted,Epinephelus morio,TRUE
44682,Mycteroperca tigris,GROUPERS,Mycteroperca tigris,accepted,Mycteroperca tigris,TRUE
44683,Mycteroperca venenosa,GROUPERS,Mycteroperca venenosa,accepted,Mycteroperca venenosa,TRUE
44684,Plectropomus leopardus,GROUPERS,Plectropomus leopardus,accepted,Plectropomus leopardus,TRUE
44686,Epinephelus cifuentesi,GROUPERS,Epinephelus cifuentesi,accepted,Epinephelus cifuentesi,TRUE
61336,Epinephelus awoara,GROUPERS,Epinephelus awoara,accepted,Epinephelus awoara,TRUE
61337,Epinephelus daemelii,GROUPERS,Epinephelus daemelii,accepted,Epinephelus daemelii,TRUE
61338,Epinephelus malabaricus,GROUPERS,Epinephelus malabaricus,accepted,Epinephelus malabaricus,TRUE
61339,Epinephelus polyphekadion,GROUPERS,Epinephelus polyphekadion,accepted,Epinephelus polyphekadion,TRUE
63571,Bolbometopon muricatum,WRASSE,Bolbometopon muricatum,accepted,Bolbometopon muricatum,TRUE
63852,Nerodia clarkii,REPTILES,Nerodia clarkii,accepted,Nerodia clarkii,TRUE
64396,Epinephelus bruneus,GROUPERS,Epinephelus bruneus,accepted,Epinephelus bruneus,TRUE
64397,Epinephelus chlorocephalus,GROUPERS,Epinephelus chlorocephalus,accepted,Epinephelus chlorocephalus,TRUE
64398,Epinephelus clippertonensis,GROUPERS,Epinephelus clippertonensis,accepted,Epinephelus clippertonensis,TRUE
64399,Hyporthodus darwinensis,GROUPERS,Hyporthodus darwinensis,accepted,Hyporthodus darwinensis,TRUE
64400,Hyporthodus flavolimbatus,GROUPERS,Hyporthodus flavolimbatus,accepted,Hyporthodus flavolimbatus,TRUE
64401,Epinephelus gabriellae,GROUPERS,Epinephelus gabriellae,accepted,Epinephelus gabriellae,TRUE
64402,Epinephelus indistinctus,GROUPERS,Epinephelus indistinctus,accepted,Epinephelus indistinctus,TRUE
64404,Hyporthodus perplexus,GROUPERS,Hyporthodus perplexus,accepted,Hyporthodus perplexus,TRUE
64405,Epinephelus suborbitalis,GROUPERS,Epinephelus suborbitalis,accepted,Epinephelus suborbitalis,TRUE
64406,Epinephelus timorensis,GROUPERS,Epinephelus timorensis,accepted,Epinephelus timorensis,TRUE
64407,Epinephelus tuamotuensis,GROUPERS,Epinephelus tuamotuensis,accepted,Epinephelus tuamotuensis,TRUE
64408,Epinephelus undulatostriatus,GROUPERS,Epinephelus undulatostriatus,accepted,Epinephelus undulatostriatus,TRUE
64409,Mycteroperca fusca,GROUPERS,Mycteroperca fusca,accepted,Mycteroperca fusca,TRUE
64410,Mycteroperca interstitialis,GROUPERS,Mycteroperca interstitialis,accepted,Mycteroperca interstitialis,TRUE
64411,Plectropomus areolatus,GROUPERS,Plectropomus areolatus,accepted,Plectropomus areolatus,TRUE
64412,Plectropomus laevis,GROUPERS,Plectropomus laevis,accepted,Plectropomus laevis,TRUE
132722,Epinephelus aeneus,GROUPERS,Epinephelus aeneus,accepted,Epinephelus aeneus,TRUE
132723,Epinephelus maculatus,GROUPERS,Epinephelus maculatus,accepted,Epinephelus maculatus,TRUE
132724,Mycteroperca bonaci,GROUPERS,Mycteroperca bonaci,accepted,Mycteroperca bonaci,TRUE
132725,Cephalopholis aurantia,GROUPERS,Cephalopholis aurantia,accepted,Cephalopholis aurantia,TRUE
132726,Epinephelus flavocaeruleus,GROUPERS,Epinephelus flavocaeruleus,accepted,Epinephelus flavocaeruleus,TRUE
132727,Paranthias furcifer,GROUPERS,Paranthias furcifer,accepted,Paranthias furcifer,TRUE
132728,Epinephelus summana,GROUPERS,Epinephelus summana,accepted,Epinephelus summana,TRUE
132729,Mycteroperca phenax,GROUPERS,Mycteroperca phenax,accepted,Mycteroperca phenax,TRUE
132730,Hyporthodus acanthistius,GROUPERS,Hyporthodus acanthistius,accepted,Hyporthodus acanthistius,TRUE
132731,Epinephelus socialis,GROUPERS,Epinephelus socialis,accepted,Epinephelus socialis,TRUE
132732,Cephalopholis miniata,GROUPERS,Cephalopholis miniata,accepted,Cephalopholis miniata,TRUE
132733,Cephalopholis panamensis,GROUPERS,Cephalopholis panamensis,accepted,Cephalopholis panamensis,TRUE
132734,Hyporthodus niphobles,GROUPERS,Hyporthodus niphobles,accepted,Hyporthodus niphobles,TRUE
132735,Epinephelus latifasciatus,GROUPERS,Epinephelus latifasciatus,accepted,Epinephelus latifasciatus,TRUE
132736,Epinephelus rivulatus,GROUPERS,Epinephelus rivulatus,accepted,Epinephelus rivulatus,TRUE
132737,Cephalopholis leopardus,GROUPERS,Cephalopholis leopardus,accepted,Cephalopholis leopardus,TRUE
132738,Variola louti,GROUPERS,Variola louti,accepted,Variola louti,TRUE
132739,Epinephelus undulosus,GROUPERS,Epinephelus undulosus,unaccepted,Mycteroperca acutirostris,FALSE
132739,Epinephelus undulosus,GROUPERS,Epinephelus undulosus,accepted,Epinephelus undulosus,TRUE
