"","submitted_name","data_source_title","score","matched_name2","match"
"1","Abudefduf concolor","NCBI",0.988,"Abudefduf concolor",TRUE
"2","Abudefduf declivifrons","NCBI",0.988,"Abudefduf declivifrons",TRUE
"3","Abudefduf hoefleri","NCBI",0.988,"Abudefduf hoefleri",TRUE
"4","Abudefduf luridus","NCBI",0.988,"Abudefduf luridus",TRUE
"5","Abudefduf saxatilis","NCBI",0.988,"Abudefduf saxatilis",TRUE
"6","Abudefduf taurus","NCBI",0.988,"Abudefduf taurus",TRUE
"7","Abudefduf troschelii","NCBI",0.988,"Abudefduf troschelii",TRUE
"8","Acalyptophis peronii","EOL",0.988,"Acalyptophis peronii",TRUE
"9","Acanthacaris caeca","NCBI",0.988,"Acanthacaris caeca",TRUE
"10","Acanthacaris tenuimana","NCBI",0.988,"Acanthacaris tenuimana",TRUE
"11","Acantharctus delfini","NCBI",0.988,"Acantharctus delfini",TRUE
"12","Acantharctus ornatus","NCBI",0.988,"Acantharctus ornatus",TRUE
"13","Acantharctus posteli","NCBI",0.988,"Acantharctus posteli",TRUE
"14","Acanthastrea brevis","Union 4",0.988,"Acanthastrea brevis",TRUE
"15","Acanthastrea echinata","NCBI",0.988,"Acanthastrea echinata",TRUE
"16","Acanthastrea hemprichii","NCBI",0.988,"Acanthastrea hemprichii",TRUE
"17","Acanthastrea hillae","NCBI",0.988,"Acanthastrea hillae",TRUE
"18","Acanthastrea ishigakiensis","NCBI",0.988,"Acanthastrea ishigakiensis",TRUE
"19","Acanthastrea lordhowensis","Union 4",0.988,"Acanthastrea lordhowensis",TRUE
"20","Acanthastrea rotundoflora","Union 4",0.988,"Acanthastrea rotundoflora",TRUE
"21","Acanthocybium solandri","NCBI",0.988,"Acanthocybium solandri",TRUE
"22","Acantholabrus palloni","NCBI",0.988,"Acantholabrus palloni",TRUE
"23","Acanthopagrus akazakii","uBio NameBank",0.988,"Acanthopagrus akazakii",TRUE
"24","Acanthopagrus arabicus","Catalogue of Life",0.988,"Acanthopagrus arabicus",TRUE
"25","Acanthopagrus australis","NCBI",0.988,"Acanthopagrus australis",TRUE
"26","Acanthopagrus berda","NCBI",0.988,"Acanthopagrus berda",TRUE
"27","Acanthopagrus bifasciatus","NCBI",0.988,"Acanthopagrus bifasciatus",TRUE
"28","Acanthopagrus butcheri","NCBI",0.988,"Acanthopagrus butcheri",TRUE
"29","Acanthopagrus catenula","NCBI",0.988,"Acanthopagrus catenula",TRUE
"30","Acanthopagrus chinshira","NCBI",0.988,"Acanthopagrus chinshira",TRUE
"31","Acanthopagrus latus","NCBI",0.988,"Acanthopagrus latus",TRUE
"32","Acanthopagrus longispinnis","EOL",0.988,"Acanthopagrus longispinnis",TRUE
"33","Acanthopagrus morrisoni","Catalogue of Life",0.988,"Acanthopagrus morrisoni",TRUE
"34","Acanthopagrus omanensis","Catalogue of Life",0.988,"Acanthopagrus omanensis",TRUE
"35","Acanthopagrus pacificus","NCBI",0.988,"Acanthopagrus pacificus",TRUE
"36","Acanthopagrus palmaris","NCBI",0.988,"Acanthopagrus palmaris",TRUE
"37","Acanthopagrus randalli","Catalogue of Life",0.988,"Acanthopagrus randalli",TRUE
"38","Acanthopagrus schlegelii","NCBI",0.988,"Acanthopagrus schlegelii",TRUE
"39","Acanthopagrus sheim","Catalogue of Life",0.988,"Acanthopagrus sheim",TRUE
"40","Acanthopagrus sivicolus","NCBI",0.988,"Acanthopagrus sivicolus",TRUE
"41","Acanthopagrus taiwanensis","NCBI",0.988,"Acanthopagrus taiwanensis",TRUE
"42","Acanthopagrus vagus","NCBI",0.988,"Acanthopagrus vagus",TRUE
"43","Acanthurus achilles","NCBI",0.988,"Acanthurus achilles",TRUE
"44","Acanthurus albipectoralis","Freebase",0.988,"Acanthurus albipectoralis",TRUE
"45","Acanthurus auranticavus","NCBI",0.988,"Acanthurus auranticavus",TRUE
"46","Acanthurus bahianus","NCBI",0.988,"Acanthurus bahianus",TRUE
"47","Acanthurus bariene","NCBI",0.988,"Acanthurus bariene",TRUE
"48","Acanthurus blochii","NCBI",0.988,"Acanthurus blochii",TRUE
"49","Acanthurus chirurgus","NCBI",0.988,"Acanthurus chirurgus",TRUE
"50","Acanthurus chronixis","Freebase",0.988,"Acanthurus chronixis",TRUE
"51","Acanthurus coeruleus","NCBI",0.988,"Acanthurus coeruleus",TRUE
"52","Acanthurus dussumieri","NCBI",0.988,"Acanthurus dussumieri",TRUE
"53","Acanthurus fowleri","Freebase",0.988,"Acanthurus fowleri",TRUE
"54","Acanthurus gahhm","NCBI",0.988,"Acanthurus gahhm",TRUE
"55","Acanthurus grammoptilus","Freebase",0.988,"Acanthurus grammoptilus",TRUE
"56","Acanthurus guttatus","NCBI",0.988,"Acanthurus guttatus",TRUE
"57","Acanthurus japonicus","NCBI",0.988,"Acanthurus japonicus",TRUE
"58","Acanthurus leucocheilus","NCBI",0.988,"Acanthurus leucocheilus",TRUE
"59","Acanthurus leucopareius","Freebase",0.988,"Acanthurus leucopareius",TRUE
"60","Acanthurus leucosternon","NCBI",0.988,"Acanthurus leucosternon",TRUE
"61","Acanthurus lineatus","NCBI",0.988,"Acanthurus lineatus",TRUE
"62","Acanthurus maculiceps","Freebase",0.988,"Acanthurus maculiceps",TRUE
"63","Acanthurus mata","NCBI",0.988,"Acanthurus mata",TRUE
"64","Acanthurus monroviae","NCBI",0.988,"Acanthurus monroviae",TRUE
"65","Acanthurus nigricans","NCBI",0.988,"Acanthurus nigricans",TRUE
"66","Acanthurus nigricauda","NCBI",0.988,"Acanthurus nigricauda",TRUE
"67","Acanthurus nigrofuscus","NCBI",0.988,"Acanthurus nigrofuscus",TRUE
"68","Acanthurus nigroris","NCBI",0.988,"Acanthurus nigroris",TRUE
"69","Acanthurus nubilus","NCBI",0.988,"Acanthurus nubilus",TRUE
"70","Acanthurus olivaceus","NCBI",0.988,"Acanthurus olivaceus",TRUE
"71","Acanthurus polyzona","NCBI",0.988,"Acanthurus polyzona",TRUE
"72","Acanthurus pyroferus","NCBI",0.988,"Acanthurus pyroferus",TRUE
"73","Acanthurus reversus","NCBI",0.988,"Acanthurus reversus",TRUE
"74","Acanthurus sohal","NCBI",0.988,"Acanthurus sohal",TRUE
"75","Acanthurus tennentii","NCBI",0.988,"Acanthurus tennentii",TRUE
"76","Acanthurus thompsoni","NCBI",0.988,"Acanthurus thompsoni",TRUE
"77","Acanthurus triostegus","NCBI",0.988,"Acanthurus triostegus",TRUE
"78","Acanthurus tristis","NCBI",0.988,"Acanthurus tristis",TRUE
"79","Acanthurus xanthopterus","NCBI",0.988,"Acanthurus xanthopterus",TRUE
"80","Acanthus ebracteatus","Catalogue of Life",0.988,"Acanthus ebracteatus",TRUE
"81","Acanthus volubilis","NCBI",0.988,"Acanthus volubilis",TRUE
"82","Achoerodus gouldii","EOL",0.988,"Achoerodus gouldii",TRUE
"83","Achoerodus viridis","NCBI",0.988,"Achoerodus viridis",TRUE
"84","Acrochordus granulatus","NCBI",0.988,"Acrochordus granulatus",TRUE
"85","Acrochordus javanicus","NCBI",0.988,"Acrochordus javanicus",TRUE
"86","Acropora abrolhosensis","NCBI",0.988,"Acropora abrolhosensis",TRUE
"87","Acropora abrotanoides","NCBI",0.988,"Acropora abrotanoides",TRUE
"88","Acropora acuminata","NCBI",0.988,"Acropora acuminata",TRUE
"89","Acropora anthocercis","NCBI",0.988,"Acropora anthocercis",TRUE
"90","Acropora appressa","Union 4",0.988,"Acropora appressa",TRUE
"91","Acropora arabensis","Union 4",0.988,"Acropora arabensis",TRUE
"92","Acropora aspera","NCBI",0.988,"Acropora aspera",TRUE
"93","Acropora austera","NCBI",0.988,"Acropora austera",TRUE
"94","Acropora batunai","NCBI",0.988,"Acropora batunai",TRUE
"95","Acropora bifurcata","Union 4",0.988,"Acropora bifurcata",TRUE
"96","Acropora branchi","Union 4",0.988,"Acropora branchi",TRUE
"97","Acropora cardenae","Union 4",0.988,"Acropora cardenae",TRUE
"98","Acropora carduus","NCBI",0.988,"Acropora carduus",TRUE
"99","Acropora caroliniana","NCBI",0.988,"Acropora caroliniana",TRUE
"100","Acropora cervicornis","NCBI",0.988,"Acropora cervicornis",TRUE
"101","Acropora chesterfieldensis","NCBI",0.988,"Acropora chesterfieldensis",TRUE
"102","Acropora convexa","ITIS",0.988,"Acropora convexa",TRUE
"103","Acropora cytherea","NCBI",0.988,"Acropora cytherea",TRUE
"104","Acropora derawanensis","NCBI",0.988,"Acropora derawanensis",TRUE
"105","Acropora desalwii","Union 4",0.988,"Acropora desalwii",TRUE
"106","Acropora digitifera","NCBI",0.988,"Acropora digitifera",TRUE
"107","Acropora donei","NCBI",0.988,"Acropora donei",TRUE
"108","Acropora downingi","Union 4",0.988,"Acropora downingi",TRUE
"109","Acropora efflorescens","Union 4",0.988,"Acropora efflorescens",TRUE
"110","Acropora elegantula","Union 4",0.988,"Acropora elegantula",TRUE
"111","Acropora exquisita","Union 4",0.988,"Acropora exquisita",TRUE
"112","Acropora fenneri","Union 4",0.988,"Acropora fenneri",TRUE
"113","Acropora filiformis","Union 4",0.988,"Acropora filiformis",TRUE
"114","Acropora florida","NCBI",0.988,"Acropora florida",TRUE
"115","Acropora forskali","Union 4",0.988,"Acropora forskali",TRUE
"116","Acropora gemmifera","NCBI",0.988,"Acropora gemmifera",TRUE
"117","Acropora globiceps","NCBI",0.988,"Acropora globiceps",TRUE
"118","Acropora gomezi","Union 4",0.988,"Acropora gomezi",TRUE
"119","Acropora grandis","NCBI",0.988,"Acropora grandis",TRUE
"120","Acropora halmaherae","Union 4",0.988,"Acropora halmaherae",TRUE
"121","Acropora hoeksemai","Union 4",0.988,"Acropora hoeksemai",TRUE
"122","Acropora horrida","NCBI",0.988,"Acropora horrida",TRUE
"123","Acropora humilis","NCBI",0.988,"Acropora humilis",TRUE
"124","Acropora hyacinthus","NCBI",0.988,"Acropora hyacinthus",TRUE
"125","Acropora indonesia","NCBI",0.988,"Acropora indonesia",TRUE
"126","Acropora irregularis","Union 4",0.988,"Acropora irregularis",TRUE
"127","Acropora kimbeensis","NCBI",0.988,"Acropora kimbeensis",TRUE
"128","Acropora kirstyae","NCBI",0.988,"Acropora kirstyae",TRUE
"129","Acropora kosurini","Union 4",0.988,"Acropora kosurini",TRUE
"130","Acropora lamarcki","Union 4",0.988,"Acropora lamarcki",TRUE
"131","Acropora latistella","NCBI",0.988,"Acropora latistella",TRUE
"132","Acropora lianae","Union 4",0.988,"Acropora lianae",TRUE
"133","Acropora listeri","NCBI",0.988,"Acropora listeri",TRUE
"134","Acropora lokani","NCBI",0.988,"Acropora lokani",TRUE
"135","Acropora longicyathus","NCBI",0.988,"Acropora longicyathus",TRUE
"136","Acropora lovelli","Union 4",0.988,"Acropora lovelli",TRUE
"137","Acropora macrostoma","Union 4",0.988,"Acropora macrostoma",TRUE
"138","Acropora massawensis","Union 4",0.988,"Acropora massawensis",TRUE
"139","Acropora meridiana","Union 4",0.988,"Acropora meridiana",TRUE
"140","Acropora microclados","NCBI",0.988,"Acropora microclados",TRUE
"141","Acropora millepora","NCBI",0.988,"Acropora millepora",TRUE
"142","Acropora minuta","Union 4",0.988,"Acropora minuta",TRUE
"143","Acropora mirabilis","Union 4",0.988,"Acropora mirabilis",TRUE
"144","Acropora monticulosa","NCBI",0.988,"Acropora monticulosa",TRUE
"145","Acropora multiacuta","NCBI",0.988,"Acropora multiacuta",TRUE
"146","Acropora nasuta","NCBI",0.988,"Acropora nasuta",TRUE
"147","Acropora ocellata","Union 4",0.988,"Acropora ocellata",TRUE
"148","Acropora orbicularis","Union 4",0.988,"Acropora orbicularis",TRUE
"149","Acropora pagoensis","EOL",0.988,"Acropora pagoensis",TRUE
"150","Acropora palmata","NCBI",0.988,"Acropora palmata",TRUE
"151","Acropora paniculata","Union 4",0.988,"Acropora paniculata",TRUE
"152","Acropora papillare","NCBI",0.988,"Acropora papillare",TRUE
"153","Acropora parahemprichii","Union 4",0.988,"Acropora parahemprichii",TRUE
"154","Acropora parapharaonis","Union 4",0.988,"Acropora parapharaonis",TRUE
"155","Acropora pichoni","NCBI",0.988,"Acropora pichoni",TRUE
"156","Acropora pinguis","Union 4",0.988,"Acropora pinguis",TRUE
"157","Acropora plantaginea","Union 4",0.988,"Acropora plantaginea",TRUE
"158","Acropora plumosa","Union 4",0.988,"Acropora plumosa",TRUE
"159","Acropora polystoma","NCBI",0.988,"Acropora polystoma",TRUE
"160","Acropora prostrata","Union 4",0.988,"Acropora prostrata",TRUE
"161","Acropora proximalis","Union 4",0.988,"Acropora proximalis",TRUE
"162","Acropora pruinosa","NCBI",0.988,"Acropora pruinosa",TRUE
"163","Acropora pulchra","NCBI",0.988,"Acropora pulchra",TRUE
"164","Acropora retusa","NCBI",0.988,"Acropora retusa",TRUE
"165","Acropora robusta","NCBI",0.988,"Acropora robusta",TRUE
"166","Acropora rongelapensis","NCBI",0.988,"Acropora rongelapensis",TRUE
"167","Acropora rosaria","Union 4",0.988,"Acropora rosaria",TRUE
"168","Acropora roseni","Union 4",0.988,"Acropora roseni",TRUE
"169","Acropora sarmentosa","NCBI",0.988,"Acropora sarmentosa",TRUE
"170","Acropora scherzeriana","Union 4",0.988,"Acropora scherzeriana",TRUE
"171","Acropora seriata","Union 4",0.988,"Acropora seriata",TRUE
"172","Acropora solitaryensis","NCBI",0.988,"Acropora solitaryensis",TRUE
"173","Acropora spicifera","NCBI",0.988,"Acropora spicifera",TRUE
"174","Acropora squarrosa","Union 4",0.988,"Acropora squarrosa",TRUE
"175","Acropora stoddarti","Union 4",0.988,"Acropora stoddarti",TRUE
"176","Acropora striata","Union 4",0.988,"Acropora striata",TRUE
"177","Acropora subglabra","NCBI",0.988,"Acropora subglabra",TRUE
"178","Acropora subulata","Union 4",0.988,"Acropora subulata",TRUE
"179","Acropora suharsonoi","Union 4",0.988,"Acropora suharsonoi",TRUE
"180","Acropora tanegashimensis","Union 4",0.988,"Acropora tanegashimensis",TRUE
"181","Acropora tenella","NCBI",0.988,"Acropora tenella",TRUE
"182","Acropora tenuis","NCBI",0.988,"Acropora tenuis",TRUE
"183","Acropora teres","Union 4",0.988,"Acropora teres",TRUE
"184","Acropora tizardi","Union 4",0.988,"Acropora tizardi",TRUE
"185","Acropora torresiana","Union 4",0.988,"Acropora torresiana",TRUE
"186","Acropora tortuosa","NCBI",0.988,"Acropora tortuosa",TRUE
"187","Acropora tumida","Union 4",0.988,"Acropora tumida",TRUE
"188","Acropora turaki","Union 4",0.988,"Acropora turaki",TRUE
"189","Acropora tutuilensis","Union 4",0.988,"Acropora tutuilensis",TRUE
"190","Acropora valenciennesi","Union 4",0.988,"Acropora valenciennesi",TRUE
"191","Acropora variolosa","Union 4",0.988,"Acropora variolosa",TRUE
"192","Acropora vaughani","NCBI",0.988,"Acropora vaughani",TRUE
"193","Acropora verweyi","NCBI",0.988,"Acropora verweyi",TRUE
"194","Acropora walindii","NCBI",0.988,"Acropora walindii",TRUE
"195","Acropora wallaceae","Union 4",0.988,"Acropora wallaceae",TRUE
"196","Acropora willisae","Union 4",0.988,"Acropora willisae",TRUE
"197","Acropora yongei","NCBI",0.988,"Acropora yongei",TRUE
"198","Acrostichum aureum","NCBI",0.988,"Acrostichum aureum",TRUE
"199","Acrostichum danaeifolium","NCBI",0.988,"Acrostichum danaeifolium",TRUE
"200","Acrostichum speciosum","NCBI",0.988,"Acrostichum speciosum",TRUE
"201","Actinopyga agassizi","NCBI",0.988,"Actinopyga agassizi",TRUE
"202","Actinopyga albonigra","EOL",0.988,"Actinopyga albonigra",TRUE
"203","Actinopyga bacilla","uBio NameBank",0.988,"Actinopyga bacilla",TRUE
"204","Actinopyga bannwarthi","Index to Organism Names",0.988,"Actinopyga bannwarthi",TRUE
"205","Actinopyga caerulea","NCBI",0.988,"Actinopyga caerulea",TRUE
"206","Actinopyga capillata","Catalogue of Life",0.988,"Actinopyga capillata",TRUE
"207","Actinopyga crassa","NCBI",0.988,"Actinopyga crassa",TRUE
"208","Actinopyga echinites","ITIS",0.988,"Actinopyga echinites",TRUE
"209","Actinopyga flammea","EOL",0.988,"Actinopyga flammea",TRUE
"210","Actinopyga fusca","uBio NameBank",0.988,"Actinopyga fusca",TRUE
"211","Actinopyga lecanora","NCBI",0.988,"Actinopyga lecanora",TRUE
"212","Actinopyga mauritiana","NCBI",0.988,"Actinopyga mauritiana",TRUE
"213","Actinopyga miliaris","NCBI",0.988,"Actinopyga miliaris",TRUE
"214","Actinopyga obesa","NCBI",0.988,"Actinopyga obesa",TRUE
"215","Actinopyga palauensis","NCBI",0.988,"Actinopyga palauensis",TRUE
"216","Actinopyga serratidens","Index to Organism Names",0.988,"Actinopyga serratidens",TRUE
"217","Actinopyga spinea","NCBI",0.988,"Actinopyga spinea",TRUE
"218","Actinopyga varians","EOL",0.988,"Actinopyga varians",TRUE
"219","Adelotremus leptus","Catalogue of Life",0.988,"Adelotremus leptus",TRUE
"220","Aegialitis annulata","NCBI",0.988,"Aegialitis annulata",TRUE
"221","Aegialitis rotundifolia","CU*STAR",0.988,"Aegialitis rotundifolia",TRUE
"222","Aegiceras corniculatum","NCBI",0.988,"Aegiceras corniculatum",TRUE
"223","Aegiceras floridum","NCBI",0.988,"Aegiceras floridum",TRUE
"224","Aethaloperca rogaa","Wikispecies",0.988,"Aethaloperca rogaa",TRUE
"225","Agaricia agaricites","NCBI",0.988,"Agaricia agaricites",TRUE
"226","Agaricia humilis","NCBI",0.988,"Agaricia humilis",TRUE
