"","sciname","fbname","common"
"1","Arctocephalus australis","South American fur seal","South American fur seal"
"2","Arctocephalus galapagoensis","Galapagos fur seal","Galapagos fur seal"
"3","Arctocephalus gazella","Antarctic fur seal","Antarctic fur seal"
"4","Arctocephalus philippii","Juan Fernandez fur seal","Juan Fernandez fur seal"
"5","Arctocephalus pusillus","South African fur seal","South African fur seal"
"6","Arctocephalus townsendi","Guadalupe fur seal","Guadalupe fur seal"
"7","Arctocephalus tropicalis","Subantarctic fur seal","Subantarctic fur seal"
"8","Balaena mysticetus","bowhead whale","bowhead whale"
"9","Balaenoptera acutorostrata","northern minke whale","northern minke whale"
"10","Balaenoptera borealis","sei whale","sei whale"
"11","Balaenoptera edeni","Eden's whale","Eden's whale"
"12","Balaenoptera musculus","blue whale","blue whale"
"13","Balaenoptera physalus","fin whale","fin whale"
"14","Balaenoptera bonaerensis","Antarctic minke whale","Antarctic minke whale"
"15","Berardius arnuxii","Arnoux's beaked whale","Arnoux's beaked whale"
"16","Berardius bairdii","Baird's beaked whale","Baird's beaked whale"
"17","Callorhinus ursinus","northern fur seal","northern fur seal"
"18","Caperea marginata","pygmy right whale","pygmy right whale"
"19","Caretta caretta","loggerhead turtle","loggerhead turtle"
"20","Cephalorhynchus commersonii","Commerson's dolphin","Commerson's dolphin"
"21","Cephalorhynchus eutropia","black dolphin","black dolphin"
"22","Cephalorhynchus heavisidii","Heaviside's dolphin","Heaviside's dolphin"
"23","Cephalorhynchus hectori","Hector's dolphin","Hector's dolphin"
"24","Chaetodon marleyi","Doublesash butterflyfish","Doublesash butterflyfish"
"25","Chaetodon robustus","Three-banded butterflyfish","Three-banded butterflyfish"
"26","Chelonia mydas","green sea turtle","green sea turtle"
"27","Crocodylus acutus","American crocodyle","American crocodyle"
"28","Crocodylus porosus","saltwater crocodile","saltwater crocodile"
"29","Cystophora cristata","hooded seal","hooded seal"
"30","Delphinapterus leucas","beluga","beluga"
"31","Delphinus delphis","common dolphin","common dolphin"
"32","Delphinus capensis","long-beaked common dolphin","long-beaked common dolphin"
"33","Dermochelys coriacea","leatherback turtle","leatherback turtle"
"34","Dugong dugon","dugong","dugong"
"35","Enhydra lutris","sea otter","sea otter"
"36","Epinephelus drummondhayi","Speckled hind","Speckled hind"
"37","Epinephelus lanceolatus","Giant grouper","Giant grouper"
"38","Epinephelus marginatus","Dusky grouper","Dusky grouper"
"39","Hyporthodus nigritus","Warsaw grouper","Warsaw grouper"
"40","Hyporthodus niveatus","Snowy grouper","Snowy grouper"
"41","Epinephelus striatus","Nassau grouper","Nassau grouper"
"42","Eretmochelys imbricata","hawksbill turtle","hawksbill turtle"
"43","Erignathus barbatus","bearded seal","bearded seal"
"44","Eschrichtius robustus","gray whale","gray whale"
"45","Eubalaena australis","southern right whale","southern right whale"
"46","Eumetopias jubatus","Steller's sea lion","Steller's sea lion"
"47","Feresa attenuata","pygmy killer whale","pygmy killer whale"
"48","Globicephala macrorhynchus","short-finned pilot whale","short-finned pilot whale"
"49","Globicephala melas","long-finned pilot whale","long-finned pilot whale"
"50","Grampus griseus","Risso's dolphin","Risso's dolphin"
"51","Halichoerus grypus","grey seal","grey seal"
"52","Hydrurga leptonyx","leopard seal","leopard seal"
"53","Hyperoodon planifrons","Southern bottlenose whale","Southern bottlenose whale"
"54","Kogia sima","dwarf sperm whale","dwarf sperm whale"
"55","Lachnolaimus maximus","Hogfish","Hogfish"
"56","Lagenodelphis hosei","Fraser's dolphin","Fraser's dolphin"
"57","Lagenorhynchus acutus","Atlantic white-sided dolphin","Atlantic white-sided dolphin"
"58","Lagenorhynchus albirostris","white-beaked dolphin","white-beaked dolphin"
"59","Lagenorhynchus australis","Peale's dolphin","Peale's dolphin"
"60","Lagenorhynchus cruciger","hourglass dolphin","hourglass dolphin"
"61","Lagenorhynchus obliquidens","Pacific white-sided dolphin","Pacific white-sided dolphin"
"62","Lagenorhynchus obscurus","dusky dolphin","dusky dolphin"
"63","Lagocephalus gloveri","null","null"
"64","Lepidochelys olivacea","Olive ridley turtle","Olive ridley turtle"
"65","Leptonychotes weddellii","Weddell seal","Weddell seal"
"66","Lissodelphis borealis","Northern right whale dolphin","Northern right whale dolphin"
"67","Lithognathus lithognathus","White steenbras","White steenbras"
"68","Lobodon carcinophaga","crabeater seal","crabeater seal"
"69","Lutra lutra","Eurasian river otter","Eurasian river otter"
"70","Megaptera novaeangliae","humpback whale","humpback whale"
"71","Mesoplodon bidens","Sowerby's beaked whale","Sowerby's beaked whale"
"72","Mesoplodon carlhubbsi","Hubb's beaked whale","Hubb's beaked whale"
"73","Mesoplodon europaeus","Gervais' beaked whale","Gervais' beaked whale"
"74","Mesoplodon ginkgodens","ginkgo-toothed beaked whale","ginkgo-toothed beaked whale"
"75","Mesoplodon grayi","Gray's beaked whale","Gray's beaked whale"
"76","Mesoplodon hectori","Hector's beaked whale","Hector's beaked whale"
"77","Mesoplodon layardii","strap-toothed whale","strap-toothed whale"
"78","Mesoplodon mirus","True's beaked whale","True's beaked whale"
"79","Mesoplodon peruvianus","pygmy beaked whale","pygmy beaked whale"
"80","Mesoplodon stejnegeri","Stejneger's beaked whale","Stejneger's beaked whale"
"81","Mirounga angustirostris","northern elephant seal","northern elephant seal"
"82","Mirounga leonina","southern elephant seal","southern elephant seal"
"83","Monachus monachus","Mediterranean monk seal","Mediterranean monk seal"
"84","Neomonachus schauinslandi",NA,"Hawaiian monk seal"
"85","Monodon monoceros","narwhal","narwhal"
"86","Mycteroperca jordani","Gulf grouper","Gulf grouper"
"87","Mycteroperca microlepis","Gag","Gag"
"88","Mycteroperca olfax","Sailfin grouper","Sailfin grouper"
"89","Mycteroperca prionura","Sawtail grouper","Sawtail grouper"
"90","Mycteroperca rosacea","Leopard grouper","Leopard grouper"
"91","Mycteroperca rubra","Mottled grouper","Mottled grouper"
"92","Neophoca cinerea","Australian sea lion","Australian sea lion"
"93","Odobenus rosmarus","walrus","walrus"
"94","Ommatophoca rossii","ross seal","ross seal"
"95","Orcaella brevirostris","Irrawaddy dolphin","Irrawaddy dolphin"
"96","Pagrus pagrus","Red porgy","Red porgy"
"97","Peponocephala electra","melon-headed whale","melon-headed whale"
"98","Phoca vitulina","Harbour seal","Harbour seal"
"99","Phocarctos hookeri","Hooker's sea lion","Hooker's sea lion"
"100","Phocoena phocoena","harbour porpoise","harbour porpoise"
"101","Phocoena sinus","vaquita","vaquita"
"102","Phocoena spinipinnis","Burmeister's porpoise","Burmeister's porpoise"
"103","Phocoenoides dalli","Dall's porpoise","Dall's porpoise"
"104","Pontoporia blainvillei","franciscana","franciscana"
