iucn_sid,am_sid,sciname,spp_group_text,common,name
2058,ITS-Mam-180630,Arctocephalus gazella,Marine Mammals,Antarctic Fur Seal,Antarctic Fur Seal
2059,ITS-180635,Arctocephalus philippii,Marine Mammals,Juan Fernandez Fur Seal,Juan Fernandez Fur Seal
2062,ITS-Mam-180632,Arctocephalus tropicalis,Marine Mammals,Subantarctic Fur Seal,Subantarctic Fur Seal
2467,ITS-Mam-180533,Balaena mysticetus,Marine Mammals,Bowhead Whale,Bowhead Whale
5659,Rep-3445,Crocodylus acutus,Reptiles,American Crocodyle,American Crocodyle
5668,Rep-3460,Crocodylus porosus,Reptiles,Saltwater Crocodile,Saltwater Crocodile
6337,ITS-Mam-555654,Delphinus capensis,Marine Mammals,Long-Beaked Common Dolphin,Long-Beaked Common Dolphin
6909,ITS-Mam-180679,Dugong dugon,Marine Mammals,Dugong,Dugong
7750,ITS-Mam-180547,Enhydra lutris,Terr. Mammals,Sea Otter,Sea Otter
7859,Fis-26140,Epinephelus marginatus,Groupers,Dusky Grouper,Dusky Grouper
7861,Fis-163781,Hyporthodus niveatus,Groupers,Snowy Grouper,Snowy Grouper
7862,Fis-22722,Epinephelus striatus,Groupers,Nassau Grouper,Nassau Grouper
10340,ITS-Mam-180667,Hydrurga leptonyx,Marine Mammals,Leopard Seal,Leopard Seal
11141,ITS-Mam-180443,Lagenorhynchus acutus,Marine Mammals,Atlantic White-Sided Dolphin,Atlantic White-Sided Dolphin
12419,ITS-Mam-621916,Lutra lutra,Terr. Mammals,Eurasian River Otter,Eurasian River Otter
13241,ITS-Mam-180515,Mesoplodon bidens,Marine Mammals,Sowerby's Beaked Whale,Sowerby's Beaked Whale
13251,ITS-Mam-552772,Mesoplodon peruvianus,Marine Mammals,Pygmy Beaked Whale,Pygmy Beaked Whale
14050,Fis-23649,Mycteroperca microlepis,Groupers,Gag,Gag
15873,Fis-23707,Pagrus pagrus,Seabreams/Porgies,Red Porgy,Red Porgy
17013,ITS-Mam-180649,Phoca vitulina,Marine Mammals,Harbour Seal,Harbour Seal
19950,Fis-30607,Scarus guacamaia,Wrasses,Rainbow Parrotfish,Rainbow Parrotfish
21994,Fis-27843,Torquigener brevipinnis,Pufferfish,Null,Torquigener brevipinnis
44682,Fis-23651,Mycteroperca tigris,Groupers,Tiger Grouper,Tiger Grouper
44683,Fis-23652,Mycteroperca venenosa,Groupers,Yellowfin Grouper,Yellowfin Grouper
44684,Fis-25341,Plectropomus leopardus,Groupers,Leopard Coralgrouper,Leopard Coralgrouper
63571,Fis-25689,Bolbometopon muricatum,Wrasses,Green Humphead Parrotfish,Green Humphead Parrotfish
64412,Fis-26517,Plectropomus laevis,Groupers,Blacksaddled Coralgrouper,Blacksaddled Coralgrouper
132736,Fis-25944,Epinephelus rivulatus,Groupers,Halfmoon Grouper,Halfmoon Grouper
132755,Fis-26511,Epinephelus radiatus,Groupers,Oblique-Banded Grouper,Oblique-Banded Grouper
132766,Fis-26245,Epinephelus macrospilos,Groupers,Snubnose Grouper,Snubnose Grouper
132783,Fis-26128,Cephalopholis urodeta,Groupers,Darkfin Hind,Darkfin Hind
132859,URM-Cn-5604,Oulastrea crispata,Corals,Null,Oulastrea crispata
132866,URM-Cn-4877,Montipora angulata,Corals,Null,Montipora angulata
132869,URM-Cn-4750,Acropora florida,Corals,Branch Coral,Branch Coral
132875,URM-Cn-5982,Pocillopora kelleheri,Corals,Null,Pocillopora kelleheri
132876,URM-Cn-4973,Leptoseris tubulifera,Corals,Null,Leptoseris tubulifera
132892,URM-Cn-4910,Montipora hodgsoni,Corals,Null,Montipora hodgsoni
132900,URM-Cn-5894,Symphyllia radians,Corals,Null,Symphyllia radians
132903,URM-Cn-4970,Leptoseris solida,Corals,Null,Leptoseris solida
132933,URM-Cn-4723,Acropora carduus,Corals,Null,Acropora carduus
132940,URM-Cn-4710,Acropora acuminata,Corals,Null,Acropora acuminata
132957,URM-Cn-5465,Turbinaria bifrons,Corals,Null,Turbinaria bifrons
132992,URM-Cn-4761,Acropora humilis,Corals,Finger Coral,Finger Coral
133020,URM-Cn-4841,Acropora tenuis,Corals,Null,Acropora tenuis
133031,URM-Cn-4897,Montipora effusa,Corals,Null,Montipora effusa
133046,URM-Cn-4861,Anacropora spinosa,Corals,Null,Anacropora spinosa
133076,URM-Cn-5873,Lobophyllia robusta,Corals,Lobed Cactus Coral,Lobed Cactus Coral
133097,SLB-117490,Pocillopora danae,Corals,Null,Pocillopora danae
133106,URM-Cn-5849,Acanthastrea hillae,Corals,Null,Acanthastrea hillae
133109,URM-Cn-5901,Galaxea acrhelia,Corals,Null,Galaxea acrhelia
133112,URM-Cn-4724,Acropora caroliniana,Corals,Null,Acropora caroliniana
133113,URM-Cn-4880,Montipora cactus,Corals,Null,Montipora cactus
133133,URM-Cn-4708,Acropora abrolhosensis,Corals,Null,Acropora abrolhosensis
133183,URM-Cn-5761,Fungia granulosa,Corals,Null,Fungia granulosa
133193,W-Oct-210725,Heliopora coerulea,Corals,Blue Coral,Blue Coral
133209,URM-Cn-5567,Favites pentagona,Corals,Null,Favites pentagona
133216,URM-Cn-6063,Porites lobata,Corals,Lobe Coral,Lobe Coral
133233,URM-Cn-4769,Acropora kimbeensis,Corals,Pink-Tip Acropora,Pink-Tip Acropora
133239,URM-Cn-4792,Acropora nasuta,Corals,Null,Acropora nasuta
133244,URM-Cn-5563,Favites flexuosa,Corals,Null,Favites flexuosa
133253,URM-Cn-5860,Blastomussa wellsi,Corals,Null,Blastomussa wellsi
133261,URM-Cn-4983,Pavona danai,Corals,Null,Pavona danai
133308,SLB-190516,Fungia scruposa,Corals,NA,Fungia scruposa
133324,URM-Cn-4752,Acropora gemmifera,Corals,Null,Acropora gemmifera
133403,URM-Cn-5476,Turbinaria stellulata,Corals,Null,Turbinaria stellulata
133429,URM-Cn-5526,Echinopora horrida,Corals,Null,Echinopora horrida
133442,URM-Cn-5948,Oxypora lacera,Corals,Null,Oxypora lacera
133516,URM-Cn-5556,Favia truncatus,Corals,Null,Favia truncatus
133535,URM-Cn-4950,Agaricia agaricites,Corals,Purple Lettuce Coral,Purple Lettuce Coral
133590,URM-Cn-6147,Siderastrea savignyana,Corals,African Pillow Coral,African Pillow Coral
133647,URM-Cn-4809,Acropora polystoma,Corals,Null,Acropora polystoma
133676,URM-Cn-6143,Psammocora vaughani,Corals,Null,Psammocora vaughani
154643,Fis-25990,Parenchelyurus hepburni,Combtooth Blennies,Hepburn's Blenny,Hepburn's Blenny
