iucn_sid,am_sid,sciname,spp_group_text
2058,ITS-Mam-180630,Arctocephalus gazella,Marine Mammals
2059,ITS-180635,Arctocephalus philippii,Marine Mammals
2062,ITS-Mam-180632,Arctocephalus tropicalis,Marine Mammals
2467,ITS-Mam-180533,Balaena mysticetus,Marine Mammals
5659,Rep-3445,Crocodylus acutus,Reptiles
5668,Rep-3460,Crocodylus porosus,Reptiles
6337,ITS-Mam-555654,Delphinus capensis,Marine Mammals
6909,ITS-Mam-180679,Dugong dugon,Marine Mammals
7750,ITS-Mam-180547,Enhydra lutris,Terr. Mammals
7859,Fis-26140,Epinephelus marginatus,Groupers
7861,Fis-163781,Hyporthodus niveatus,Groupers
7862,Fis-22722,Epinephelus striatus,Groupers
10340,ITS-Mam-180667,Hydrurga leptonyx,Marine Mammals
11141,ITS-Mam-180443,Lagenorhynchus acutus,Marine Mammals
12419,ITS-Mam-621916,Lutra lutra,Terr. Mammals
13241,ITS-Mam-180515,Mesoplodon bidens,Marine Mammals
13251,ITS-Mam-552772,Mesoplodon peruvianus,Marine Mammals
14050,Fis-23649,Mycteroperca microlepis,Groupers
15873,Fis-23707,Pagrus pagrus,Seabreams/Porgies
17013,ITS-Mam-180649,Phoca vitulina,Marine Mammals
19950,Fis-30607,Scarus guacamaia,Wrasses
21994,Fis-27843,Torquigener brevipinnis,Pufferfish
44682,Fis-23651,Mycteroperca tigris,Groupers
44683,Fis-23652,Mycteroperca venenosa,Groupers
44684,Fis-25341,Plectropomus leopardus,Groupers
63571,Fis-25689,Bolbometopon muricatum,Wrasses
64412,Fis-26517,Plectropomus laevis,Groupers
132736,Fis-25944,Epinephelus rivulatus,Groupers
132755,Fis-26511,Epinephelus radiatus,Groupers
132766,Fis-26245,Epinephelus macrospilos,Groupers
132783,Fis-26128,Cephalopholis urodeta,Groupers
132859,URM-Cn-5604,Oulastrea crispata,Corals
132866,URM-Cn-4877,Montipora angulata,Corals
132869,URM-Cn-4750,Acropora florida,Corals
132875,URM-Cn-5982,Pocillopora kelleheri,Corals
132876,URM-Cn-4973,Leptoseris tubulifera,Corals
132892,URM-Cn-4910,Montipora hodgsoni,Corals
132900,URM-Cn-5894,Symphyllia radians,Corals
132903,URM-Cn-4970,Leptoseris solida,Corals
132933,URM-Cn-4723,Acropora carduus,Corals
132940,URM-Cn-4710,Acropora acuminata,Corals
132957,URM-Cn-5465,Turbinaria bifrons,Corals
132992,URM-Cn-4761,Acropora humilis,Corals
133020,URM-Cn-4841,Acropora tenuis,Corals
133031,URM-Cn-4897,Montipora effusa,Corals
133046,URM-Cn-4861,Anacropora spinosa,Corals
133076,URM-Cn-5873,Lobophyllia robusta,Corals
133097,SLB-117490,Pocillopora danae,Corals
133106,URM-Cn-5849,Acanthastrea hillae,Corals
133109,URM-Cn-5901,Galaxea acrhelia,Corals
133112,URM-Cn-4724,Acropora caroliniana,Corals
133113,URM-Cn-4880,Montipora cactus,Corals
133133,URM-Cn-4708,Acropora abrolhosensis,Corals
133183,URM-Cn-5761,Fungia granulosa,Corals
133193,W-Oct-210725,Heliopora coerulea,Corals
133209,URM-Cn-5567,Favites pentagona,Corals
133216,URM-Cn-6063,Porites lobata,Corals
133233,URM-Cn-4769,Acropora kimbeensis,Corals
133239,URM-Cn-4792,Acropora nasuta,Corals
133244,URM-Cn-5563,Favites flexuosa,Corals
133253,URM-Cn-5860,Blastomussa wellsi,Corals
133261,URM-Cn-4983,Pavona danai,Corals
133308,SLB-190516,Fungia scruposa,Corals
133324,URM-Cn-4752,Acropora gemmifera,Corals
133403,URM-Cn-5476,Turbinaria stellulata,Corals
133429,URM-Cn-5526,Echinopora horrida,Corals
133442,URM-Cn-5948,Oxypora lacera,Corals
133516,URM-Cn-5556,Favia truncatus,Corals
133535,URM-Cn-4950,Agaricia agaricites,Corals
133590,URM-Cn-6147,Siderastrea savignyana,Corals
133647,URM-Cn-4809,Acropora polystoma,Corals
133676,URM-Cn-6143,Psammocora vaughani,Corals
154643,Fis-25990,Parenchelyurus hepburni,Combtooth Blennies
154676,Fis-21841,Scarus prasiognathos,Wrasses
154734,Fis-26110,Pagrus auratus,Seabreams/Porgies
154760,Fis-31484,Chromis alpha,Damselfish
154788,Fis-31453,Hemitaurichthys thompsoni,Butterflyfish
