iucn_sid,am_sid,sciname,spp_group_text
154812,Fis-31865,Amphiprion sandaracinos,Damselfish
154829,Fis-128246,Parablennius yatabei,Combtooth Blennies
154915,Fis-27908,Teixeirichthys jordani,Damselfish
154946,Fis-29512,Scomberomorus queenslandicus,Tunas/Billfish
154947,Fis-35292,Ecsenius trilineatus,Combtooth Blennies
154971,Fis-26763,Scarus viridifucatus,Wrasses
155029,Fis-32512,Salarias ceramensis,Combtooth Blennies
155079,Fis-28707,Torquigener tuberculiferus,Pufferfish
155096,Fis-22818,Sarda sarda,Tunas/Billfish
155108,Fis-138844,Omobranchus rotundiceps,Combtooth Blennies
155120,Fis-25960,Naso vlamingii,Surgeons/Tangs/Unicornfish
155186,Fis-25099,Cirripectes filamentosus,Combtooth Blennies
155193,Fis-27747,Coradion melanopus,Butterflyfish
155220,Fis-22163,Chaetodon sedentarius,Butterflyfish
155221,Fis-138816,Halichoeres papilionaceus,Wrasses
155276,Fis-22834,Thunnus atlanticus,Tunas/Billfish
155308,Fis-26704,Centropyge loricula,Angelfish
165607,Fis-32633,Chaetodon falcula,Butterflyfish
165619,Fis-32530,Chaetodon guttatissimus,Butterflyfish
165623,Fis-31439,Chaetodon octofasciatus,Butterflyfish
165630,Fis-31451,Chaetodon vagabundus,Butterflyfish
165641,Fis-31874,Chaetodon ornatissimus,Butterflyfish
165649,Fis-58068,Chaetodon gardineri,Butterflyfish
165657,Fis-31895,Chaetodon plebeius,Butterflyfish
165659,Fis-25650,Chelmon rostratus,Butterflyfish
165673,Fis-31448,Chaetodon trifasciatus,Butterflyfish
165683,Fis-32521,Heniochus diphreutes,Butterflyfish
165711,Fis-31861,Chaetodon adiergastos,Butterflyfish
165828,Fis-26703,Centropyge fisheri,Angelfish
165829,Fis-25750,Pomacanthus xanthometopon,Angelfish
165835,Fis-26169,Apolemichthys trimaculatus,Angelfish
165840,Fis-26189,Pomacanthus sexstriatus,Angelfish
165848,Fis-31480,Centropyge heraldi,Angelfish
165849,Fis-143219,Centropyge ferrugata,Angelfish
165860,Fis-59453,Centropyge vrolikii,Angelfish
165865,Fis-34233,Centropyge aurantonotus,Angelfish
165876,Fis-26182,Centropyge multispinis,Angelfish
169951,ITS-199949,Panulirus penicillatus,Lobsters
169954,ITS-199950,Scyllarides haanii,Lobsters
169955,ITS-97315,Homarus gammarus,Lobsters
169967,ITS-97317,Nephrops norvegicus,Lobsters
169968,ITS-552982,Panulirus versicolor,Lobsters
169974,ITS-552922,Nephropsis stewarti,Lobsters
169978,Chn-b75cc929-1ac6-410b-888c-9ab8e709b6d0,Scammarctus batei,Lobsters
169979,ITS-553055,Thenus orientalis,Lobsters
170026,ITS-553010,Ibacus brevipes,Lobsters
170306,Fis-29507,Scomber japonicus,Tunas/Billfish
170313,Fis-22817,Sarda orientalis,Tunas/Billfish
170330,Fis-29510,Scomberomorus munroi,Tunas/Billfish
170345,Fis-22759,Euthynnus alletteratus,Tunas/Billfish
170358,Fis-21662,Grammatorcynus bilineatus,Tunas/Billfish
176704,Rep-383,Aipysurus laevis,Reptiles
176708,SLB-88859,Astrotia stokesii,Reptiles
176715,Rep-6233,Hydrophis caerulescens,Reptiles
176719,SLB-88877,Enhydrina schistosa,Reptiles
177950,Fis-23658,Naso lituratus,Surgeons/Tangs/Unicornfish
177951,Fis-146734,Naso tonganus,Surgeons/Tangs/Unicornfish
177953,Fis-29261,Acanthurus coeruleus,Surgeons/Tangs/Unicornfish
177959,Fis-31083,Acanthurus fowleri,Surgeons/Tangs/Unicornfish
177962,Fis-32459,Naso fageni,Surgeons/Tangs/Unicornfish
177971,Fis-31087,Acanthurus blochii,Surgeons/Tangs/Unicornfish
177972,Fis-25955,Paracanthurus hepatus,Surgeons/Tangs/Unicornfish
177977,Fis-53679,Acanthurus japonicus,Surgeons/Tangs/Unicornfish
177992,Fis-145167,Ctenochaetus truncatus,Surgeons/Tangs/Unicornfish
178017,Fis-31084,Acanthurus nigricauda,Surgeons/Tangs/Unicornfish
180246,W-Hol-732226,Holothuria difficilis,Sea Cucumbers
180248,W-Hol-210772,Pearsonothuria graeffei,Sea Cucumbers
180326,SLB-65999,Holothuria nobilis,Sea Cucumbers
180337,SLB-88333,Actinopyga mauritiana,Sea Cucumbers
180400,SLB-88369,Holothuria edulis,Sea Cucumbers
180414,SLB-88397,Holothuria fuscopunctata,Sea Cucumbers
180443,SLB-92934,Holothuria rigida,Sea Cucumbers
180481,W-Hol-210916,Thelenota ananas,Sea Cucumbers
180504,SLB-169637,Holothuria cinerascens,Sea Cucumbers
185031,SLB-184850,Acantharctus ornatus,Lobsters
185067,SLB-184805,Polycheles tanneri,Lobsters
185077,SLB-184857,Bathyarctus faxoni,Lobsters
187368,Fis-161650,Bodianus dictynna,Wrasses
187384,Fis-25705,Cheilinus chlorourus,Wrasses
187395,Fis-146180,Iniistius aneitensis,Wrasses
187397,Fis-3208,Labrus mixtus,Wrasses
187403,Fis-31115,Paracheilinus filamentosus,Wrasses
187411,Fis-146179,Iniistius pentadactylus,Wrasses
187419,Fis-27838,Choerodon zamboangae,Wrasses
187423,Fis-47538,Oxycheilinus orientalis,Wrasses
187430,Fis-27963,Choerodon cephalotes,Wrasses
187497,Fis-31127,Labropsis xanthonota,Wrasses
187507,Fis-31476,Halichoeres richmondi,Wrasses
187511,Fis-28602,Choerodon fasciatus,Wrasses
187515,Fis-21695,Halichoeres podostigma,Wrasses
187545,Fis-21694,Halichoeres timorensis,Wrasses
187562,Fis-25105,Suezichthys gracilis,Wrasses
187600,Fis-142138,Halichoeres nigrescens,Wrasses
187655,Fis-166560,Iniistius melanopus,Wrasses
187664,Fis-26673,Coris formosa,Wrasses
187672,Fis-23397,Bodianus rufus,Wrasses
187688,Fis-28151,Pseudocoris heteroptera,Wrasses
187696,Fis-25198,Xyrichtys novacula,Wrasses
187699,Fis-163003,Halichoeres claudia,Wrasses
187701,Fis-25355,Xenojulis margaritaceus,Wrasses
187720,Fis-145583,Choerodon sugillatum,Wrasses
187733,Fis-25738,Thalassoma quinquevittatum,Wrasses
187740,Fis-31469,Pseudocheilinus tetrataenia,Wrasses
187744,Fis-28609,Bodianus loxozonus,Wrasses
187768,Fis-35326,Macropharyngodon ornatus,Wrasses
187809,Fis-32762,Xiphocheilus typus,Wrasses
190688,Fis-25078,Calotomus carolinus,Wrasses
190694,Fis-21840,Scarus globiceps,Wrasses
190728,Fis-5683,Chlorurus microrhinos,Wrasses
190739,Fis-21826,Scarus dimidiatus,Wrasses
190746,Fis-119366,Chlorurus oedema,Wrasses
191823,Fis-2518,Megalops atlanticus,Bonefish/Tarpon
192269,W-Msc-428185,Conus lischkeanus,Cone snails
192276,W-Msc-428247,Conus praecellens,Cone snails
192296,W-Msc-215478,Conus sanguinolentus,Cone snails
192297,W-Msc-215495,Conus bullatus,Cone snails
192298,W-Msc-215517,Conus betulinus,Cone snails
192304,W-Msc-426441,Conus capitanellus,Cone snails
192323,W-Msc-215532,Conus milneedwardsi,Cone snails
192342,W-Msc-215514,Conus emaciatus,Cone snails
192380,SLB-120088,Conus floridulus,Cone snails
192383,W-Msc-426315,Conus ammiralis,Cone snails
192505,W-Msc-428144,Conus granum,Cone snails
192507,W-Msc-215525,Conus capitaneus,Cone snails
192563,W-Msc-215471,Conus aulicus,Cone snails
192590,W-Msc-215533,Conus miliaris,Cone snails
192611,W-Msc-215436,Conus ebraeus,Cone snails
192664,W-Msc-215455,Conus episcopatus,Cone snails
192699,W-Msc-215543,Conus striatellus,Cone snails
192700,W-Msc-215559,Conus eburneus,Cone snails
192722,W-Msc-215567,Conus glans,Cone snails
192727,W-Msc-215431,Conus achatinus,Cone snails
192815,W-Msc-215484,Conus auricomus,Cone snails
194299,Fis-28123,Albula glossodonta,Bonefish/Tarpon
154708,Fis-51713,Diplodus cervinus,Seabreams/Porgies
170160,Fis-23177,Lithognathus mormyrus,Seabreams/Porgies
170191,Fis-32670,Argyrops bleekeri,Seabreams/Porgies
170198,Fis-25587,Rhabdosargus sarba,Seabreams/Porgies
170229,Fis-23206,Pagellus acarne,Seabreams/Porgies
170238,Fis-23015,Argyrops spinifer,Seabreams/Porgies
170244,Fis-23207,Pagellus bogaraveo,Seabreams/Porgies
170266,Fis-25680,Acanthopagrus berda,Seabreams/Porgies
172416,Fis-26219,Chelonodon patoca,Pufferfish
172487,Fis-26596,Omobranchus punctatus,Combtooth Blennies
173352,SLB-159390,Halophila decipiens,Sea grasses
173375,Kew-293259,Thalassodendron ciliatum,Sea grasses
188315,Fis-29814,Chromis enchrysura,Damselfish
188425,Fis-25777,Chrysiptera unimaculata,Damselfish
188539,Fis-24913,Stegastes partitus,Damselfish
188581,Fis-23318,Abudefduf saxatilis,Damselfish
190380,Fis-23579,Lagocephalus laevigatus,Pufferfish
193599,Fis-35467,Arothron caeruleopunctatus,Pufferfish
193602,Fis-145529,Takifugu bimaculatus,Pufferfish
193622,Fis-26889,Lagocephalus spadiceus,Pufferfish
193656,Fis-26177,Canthigaster bennetti,Pufferfish
193660,Fis-134051,Torquigener gloerfelti,Pufferfish
193662,Fis-26098,Arothron meleagris,Pufferfish
193677,Fis-28092,Feroxodon multistriatus,Pufferfish
193703,Fis-60581,Torquigener flavimaculosus,Pufferfish
193766,Fis-26179,Canthigaster janthinoptera,Pufferfish
193813,Fis-23820,Sphoeroides testudineus,Pufferfish
193822,Fis-29188,Arothron firmamentum,Pufferfish
46080080,Fis-31636,Petroscirtes mitratus,Combtooth Blennies
48342093,Fis-25992,Meiacanthus atrodorsalis,Combtooth Blennies
48342117,Fis-30946,Cirripectes fuscoguttatus,Combtooth Blennies
48342134,Fis-47995,Istiblennius bellus,Combtooth Blennies
48342201,Fis-62298,Entomacrodus niuafoouensis,Combtooth Blennies
48342204,Fis-35465,Ecsenius schroederi,Combtooth Blennies
48342213,Fis-25974,Entomacrodus striatus,Combtooth Blennies
48342219,Fis-22135,Blenniella bilitonensis,Combtooth Blennies
48342274,Fis-30952,Cirripectes perustus,Combtooth Blennies
48342309,Fis-31638,Petroscirtes xestus,Combtooth Blennies
48342317,Fis-26631,Ecsenius namiyei,Combtooth Blennies
48342326,Fis-31628,Entomacrodus sealei,Combtooth Blennies
48342354,Fis-144754,Salarias ramosus,Combtooth Blennies
48342385,Fis-25969,Ecsenius bicolor,Combtooth Blennies
48342431,Fis-61523,Blenniella interrupta,Combtooth Blennies
48342433,Fis-150321,Enchelyurus kraussii,Combtooth Blennies
48342456,Fis-31625,Ecsenius opsifrontalis,Combtooth Blennies
48342489,Fis-61510,Blenniella caudolineata,Combtooth Blennies
48342505,Fis-150326,Nannosalarias nativitatis,Combtooth Blennies
