am_sid,am_cat,sciname,iucn_sid,pop_trend,pop_cat,spp_group,id_no,iucn_subpop,spatial_source,cat_score,trend_score,spp_group_text
URM-Cn-6038,LC,Porites astreoides,133680,Increasing,LC,CORALS_Part3,133680,NA,iucn,0,0.5,Corals
Fis-25637,LC,Labroides dimidiatus,187396,Unknown,LC,WRASSE,187396,NA,iucn,0,NA,Wrasses
Fis-32641,NA,Antennablennius australis,46079217,Stable,LC,COMBTOOTHBLENNIES,46079217,NA,iucn,0,0,Combtooth Blennies
W-Hol-208952,DD,Actinopyga lecanora,180266,Unknown,DD,SEACUCUMBERS,180266,NA,iucn,NA,NA,Sea Cucumbers
W-Msc-428195,DD,Conus luteus,192370,Unknown,LC,CONESNAILS,192370,NA,iucn,0,NA,Cone snails
Fis-150314,NA,Hypleurochilus pseudoaequipinnis,47141104,Unknown,LC,COMBTOOTHBLENNIES,47141104,NA,iucn,0,NA,Combtooth Blennies
ITS-660118,LC,Scyllarides squammosus,170008,Unknown,LC,LOBSTERS,170008,NA,iucn,0,NA,Lobsters
Fis-26244,LC,Epinephelus hexagonatus,132799,Decreasing,LC,GROUPERS,132799,NA,iucn,0,-0.5,Groupers
Fis-61807,NA,Istiblennius muelleri,48342271,Stable,LC,COMBTOOTHBLENNIES,48342271,NA,iucn,0,0,Combtooth Blennies
W-Msc-430457,LC,Conus chaldaeus,192580,Unknown,LC,CONESNAILS,192580,NA,iucn,0,NA,Cone snails
SLB-184850,LC,Acantharctus ornatus,185031,Unknown,LC,LOBSTERS,185031,NA,iucn,0,NA,Lobsters
SLB-66022,EN,Holothuria scabra,180257,Decreasing,EN,SEACUCUMBERS,180257,NA,iucn,0.6,-0.5,Sea Cucumbers
Fis-35467,NA,Arothron caeruleopunctatus,193599,Unknown,LC,PUFFERFISH,193599,NA,iucn,0,NA,Pufferfish
Fis-28768,NA,Takifugu pardalis,193693,Unknown,LC,PUFFERFISH,193693,NA,iucn,0,NA,Pufferfish
Fis-26249,NA,Canthigaster rivulata,193705,Unknown,LC,PUFFERFISH,193705,NA,iucn,0,NA,Pufferfish
Fis-35297,LC,Chaetodon smithi,165675,Stable,LC,BUTTERFLYFISH,165675,NA,iucn,0,0,Butterflyfish
ITS-552916,LC,Nephropsis acanthura,169985,Unknown,LC,LOBSTERS,169985,NA,iucn,0,NA,Lobsters
Fis-29260,LC,Acanthurus bahianus,177985,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177985,NA,iucn,0,0,Surgeons/Tangs/Unicornfish
ITS-Mam-180442,LC,Lagenorhynchus albirostris,11142,Unknown,LC,MARINE_MAMMALS_update,11142,NA,iucn,0,NA,Marine Mammals
Fis-25727,LC,Hologymnosus annulatus,187698,Unknown,LC,WRASSE,187698,NA,iucn,0,NA,Wrasses
W-Msc-215559,LC,Conus eburneus,192700,Unknown,LC,CONESNAILS,192700,NA,iucn,0,NA,Cone snails
Fis-26113,NT,Epinephelus malabaricus,61338,Decreasing,NT,GROUPERS,61338,NA,iucn,0.2,-0.5,Groupers
Fis-61995,NA,Ecsenius tessera,48342512,Stable,LC,COMBTOOTHBLENNIES,48342512,NA,iucn,0,0,Combtooth Blennies
Fis-21693,LC,Halichoeres prosopeion,187438,Unknown,LC,WRASSE,187438,NA,iucn,0,NA,Wrasses
Fis-55125,DD,Takifugu poecilonotus,21342,Unknown,LC,PUFFERFISH,21342,NA,iucn,0,NA,Pufferfish
Fis-33881,LC,Chaetodon decussatus,165648,Stable,LC,BUTTERFLYFISH,165648,NA,iucn,0,0,Butterflyfish
URM-Cn-6136,LC,Psammocora explanulata,133589,Unknown,LC,CORALS_Part3,133589,NA,iucn,0,NA,Corals
Fis-61874,NA,Paralticus amboinensis,48342437,Stable,LC,COMBTOOTHBLENNIES,48342437,NA,iucn,0,0,Combtooth Blennies
ITS-552997,LC,Arctides antipodarum,170034,Unknown,LC,LOBSTERS,170034,NA,iucn,0,NA,Lobsters
URM-Cn-4736,VU,Acropora derawanensis,132984,Decreasing,VU,CORALS_Part1,132984,NA,iucn,0.4,-0.5,Corals
ITS-554453,NT,Thalassarche melanophris,22698375,Decreasing,NT,BOTW,22698375,NA,iucn-bli,0.2,-0.5,Birds
URM-Cn-5528,LC,Echinopora lamellosa,133088,Decreasing,LC,CORALS_Part3,133088,NA,iucn,0,-0.5,Corals
Fis-31908,LC,Chaetodon auripes,165693,Stable,LC,BUTTERFLYFISH,165693,NA,iucn,0,0,Butterflyfish
Fis-31079,LC,Acanthurus nigroris,177999,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177999,NA,iucn,0,0,Surgeons/Tangs/Unicornfish
Fis-145446,NA,Dodekablennos fraseri,48342448,Stable,LC,COMBTOOTHBLENNIES,48342448,NA,iucn,0,0,Combtooth Blennies
ITS-176830,LC,Larus delawarensis,22694317,Increasing,LC,BOTW,22694317,NA,iucn-bli,0,0.5,Birds
SLB-173560,LC,Stereomastis galil,185069,Unknown,LC,LOBSTERS,185069,NA,iucn,0,NA,Lobsters
Fis-26899,NA,Takifugu rubripes,193612,Decreasing,NT,PUFFERFISH,193612,NA,iucn,0.2,-0.5,Pufferfish
Fis-35803,LC,Chaetodon lunulatus,165651,Stable,LC,BUTTERFLYFISH,165651,NA,iucn,0,0,Butterflyfish
ITS-824131,LC,Sternula saundersi,22694666,Decreasing,LC,BOTW,22694666,NA,iucn-bli,0,-0.5,Birds
ITS-174684,LC,Pelecanus erythrorhynchos,22697611,Increasing,LC,BOTW,22697611,NA,iucn-bli,0,0.5,Birds
URM-Cn-5572,LC,Goniastrea australensis,132883,Decreasing,LC,CORALS_Part3,132883,NA,iucn,0,-0.5,Corals
Fis-161183,LC,Cirrhilabrus cenderawasih,187543,Unknown,LC,WRASSE,187543,NA,iucn,0,NA,Wrasses
SLB-130695,VU,Phalacrocorax chalconotus,22696853,Decreasing,VU,BOTW,22696853,NA,iucn-bli,0.4,-0.5,Birds
W-Msc-215478,LC,Conus sanguinolentus,192370,Unknown,LC,CONESNAILS,192370,NA,iucn,0,NA,Cone snails
Fis-58548,NA,Entomacrodus vermiculatus,172447,Stable,LC,COMBTOOTHBLENNIES,172447,NA,iucn,0,0,Combtooth Blennies
URM-Cn-4832,VU,Acropora spicifera,133432,Decreasing,VU,CORALS_Part1,133432,NA,iucn,0.4,-0.5,Corals
URM-Cn-5574,LC,Goniastrea edwardsi,133365,Decreasing,LC,CORALS_Part1,133365,NA,iucn,0,-0.5,Corals
Fis-32318,DD,Epinephelus timorensis,64406,Unknown,DD,GROUPERS,64406,NA,iucn,NA,NA,Groupers
Fis-22832,NT,Thunnus alalunga,21856,Decreasing,NT,TUNAS_BILLFISHES,21856,NA,iucn,0.2,-0.5,Tunas/Billfish
Fis-22199,LC,Doratonotus megalepis,187456,Unknown,LC,WRASSE,187456,NA,iucn,0,NA,Wrasses
Fis-26772,NA,Crenidens crenidens,170216,Unknown,LC,SEABREAMS_PORGIES,170216,NA,iucn,0,NA,Seabreams/Porgies
URM-Cn-4959,LC,Helioseris cucullata,133522,Stable,LC,CORALS_Part3,133522,NA,iucn,0,0,Corals
ITS-174628,LC,Oceanodroma leucorhoa,22698511,Stable,LC,BOTW,22698511,NA,iucn-bli,0,0,Birds
Fis-27817,LC,Chaetodontoplus melanosoma,165850,Stable,LC,ANGELFISH,165850,NA,iucn,0,0,Angelfish
Fis-31440,LC,Chaetodon punctatofasciatus,165632,Stable,LC,BUTTERFLYFISH,165632,NA,iucn,0,0,Butterflyfish
Fis-33082,LC,Chaetodon mitratus,165666,Stable,LC,BUTTERFLYFISH,165666,NA,iucn,0,0,Butterflyfish
ITS-824103,LC,Onychoprion aleuticus,22694716,Stable,LC,BOTW,22694716,NA,iucn-bli,0,0,Birds
Fis-23820,NA,Sphoeroides testudineus,193813,Unknown,LC,PUFFERFISH,193813,NA,iucn,0,NA,Pufferfish
SLB-184834,LC,Stereomastis polita,185003,Unknown,LC,LOBSTERS,185003,NA,iucn,0,NA,Lobsters
Fis-33074,LC,Chaetodon dolosus,165654,Stable,LC,BUTTERFLYFISH,165654,NA,iucn,0,0,Butterflyfish
ITS-Mam-180547,EN,Enhydra lutris,7750,Decreasing,EN,TERRESTRIAL_MAMMALS,7750,NA,iucn,0.6,-0.5,Terr. Mammals
Fis-113466,NA,Meiacanthus crinitus,48342398,Stable,LC,COMBTOOTHBLENNIES,48342398,NA,iucn,0,0,Combtooth Blennies
Fis-22168,LC,Centropyge argi,165837,Unknown,LC,ANGELFISH,165837,NA,iucn,0,NA,Angelfish
Fis-24847,NA,Parablennius marmoreus,46104109,Unknown,LC,COMBTOOTHBLENNIES,46104109,NA,iucn,0,NA,Combtooth Blennies
SLB-93466,VU,Acropora globiceps,133387,Decreasing,VU,CORALS_Part3,133387,NA,iucn,0.4,-0.5,Corals
Fis-26680,NA,Andamia reyi,48342407,Unknown,DD,COMBTOOTHBLENNIES,48342407,NA,iucn,NA,NA,Combtooth Blennies
Fis-31444,LC,Chaetodon semeion,165725,Stable,LC,BUTTERFLYFISH,165725,NA,iucn,0,0,Butterflyfish
Fis-22721,NT,Epinephelus morio,44681,Decreasing,NT,GROUPERS,44681,NA,iucn,0.2,-0.5,Groupers
Fis-28996,LC,Halichoeres melanotis,183731,Stable,LC,WRASSE,183731,NA,iucn,0,0,Wrasses
Fis-25987,NA,Rhabdoblennius snowi,48342471,Stable,LC,COMBTOOTHBLENNIES,48342471,NA,iucn,0,0,Combtooth Blennies
Fis-29129,LC,Chlorurus genazonatus,190758,Unknown,LC,WRASSE,190758,NA,iucn,0,NA,Wrasses
Fis-26714,NA,Plagiotremus goslinei,48342392,Stable,LC,COMBTOOTHBLENNIES,48342392,NA,iucn,0,0,Combtooth Blennies
Fis-62061,LC,Naso caeruleacauda,177968,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177968,NA,iucn,0,0,Surgeons/Tangs/Unicornfish
Fis-29364,NA,Dentex angolensis,170158,Unknown,NT,SEABREAMS_PORGIES,170158,NA,iucn,0.2,NA,Seabreams/Porgies
URM-Cn-4819,EN,Acropora roseni,133206,Decreasing,EN,CORALS_Part3,133206,NA,iucn,0.6,-0.5,Corals
Fis-145447,NA,Enchelyurus flavipes,48342232,Stable,LC,COMBTOOTHBLENNIES,48342232,NA,iucn,0,0,Combtooth Blennies
Fis-26120,NT,Cephalopholis hemistiktos,132759,Decreasing,NT,GROUPERS,132759,NA,iucn,0.2,-0.5,Groupers
W-Msc-428256,LC,Conus pusio,192715,NA,VU,CONESNAILS,192715,NA,iucn,0.4,NA,Cone snails
ITS-176998,CR,Brachyramphus brevirostris,22694875,Decreasing,NT,BOTW,22694875,NA,iucn-bli,0.2,-0.5,Birds
SLB-184838,LC,Stereomastis surda,185023,Unknown,LC,LOBSTERS,185023,NA,iucn,0,NA,Lobsters
