iucn_sid,am_sid,sciname,dist_align,area_ratio,method
132859,URM-Cn-5604,Oulastrea crispata,76.653,43.68,all depth
132860,SLB-62998,Psammocora stellata,52.481,53.436,all depth
132863,SLB-93516,Acropora prostrata,71.494,64.446,all depth
132866,URM-Cn-4877,Montipora angulata,77.061,65.399,all depth
132869,URM-Cn-4750,Acropora florida,89.616,43.673,all depth
132871,URM-Cn-5952,Pectinia elongata,88.473,16.313,all depth
132874,URM-Cn-5888,Scolymia lacera,19.524,66.822,all depth
132875,URM-Cn-5982,Pocillopora kelleheri,44.441,82.769,all depth
132876,URM-Cn-4973,Leptoseris tubulifera,69.612,37.703,all depth
132877,URM-Cn-5759,Fungia fralinae,90.521,29.487,all depth
132878,URM-Cn-5549,Favia maxima,90.768,28.016,all depth
132880,URM-Cn-4995,Pavona venosa,85.842,47.441,all depth
132883,URM-Cn-5572,Goniastrea australensis,85.632,24.195,all depth
132884,URM-Cn-5508,Colpophyllia natans,95.37,38.024,all depth
132885,URM-Cn-4965,Leptoseris hawaiiensis,78.477,52.444,all depth
132886,SLB-93397,Acropora seriata,72.876,51.365,all depth
132892,URM-Cn-4910,Montipora hodgsoni,73.974,68.303,all depth
132894,URM-Cn-5557,Favia veroni,89.774,27.24,all depth
132900,URM-Cn-5894,Symphyllia radians,80.671,59.714,all depth
132902,SLB-62642,Fungia puishani,78.508,40.244,all depth
132903,URM-Cn-4970,Leptoseris solida,61.567,44.787,all depth
132906,SLB-93376,Acropora irregularis,61.565,66.843,all depth
132908,URM-Cn-4818,Acropora rosaria,68.137,59.595,all depth
132909,URM-Cn-4848,Acropora turaki,72.324,65.812,all depth
132911,URM-Cn-4992,Pavona maldivensis,82.525,51.55,all depth
132915,SLB-158712,Siderastrea stellata,67.788,22.895,all depth
132916,URM-Cn-5470,Turbinaria irregularis,91,15.909,all depth
132917,URM-Cn-4958,Gardineroseris planulata,80.806,53.977,all depth
132922,URM-Cn-5595,Montastrea curta,79.357,53.438,all depth
132923,URM-Cn-5985,Pocillopora woodjonesi,87.635,48.117,all depth
132927,SLB-61850,Leptoseris striata,86.247,21.813,all depth
132928,URM-Cn-5953,Pectinia lactuca,88.024,39.934,all depth
132931,URM-Cn-4854,Acropora willisae,75.724,51.828,all depth
132933,URM-Cn-4723,Acropora carduus,52.103,82.408,all depth
132935,URM-Cn-4807,Acropora plumosa,79.233,59.11,all depth
132936,SLB-190543,Favia pallida,87.186,56.175,all depth
132940,URM-Cn-4710,Acropora acuminata,89.711,36.051,all depth
132941,URM-Cn-5862,Indophyllia macassarensis,67.213,6.328,all depth
132942,SLB-93057,Montipora patula,100,10.838,all depth
132945,URM-Cn-6043,Porites colonensis,53.536,7.244,all depth
132946,SLB-93732,Acropora lianae,76.345,67.089,all depth
132950,SLB-158633,Acropora macrostoma,39.24,75.699,all depth
132957,URM-Cn-5465,Turbinaria bifrons,62.04,37.017,all depth
132962,URM-Cn-5892,Symphyllia erythraea,73.222,32.362,all depth
132963,URM-Cn-5591,Manicina areolata,83.956,63.423,all depth
132967,URM-Cn-5485,Euphyllia yaeyamaensis,69.75,58.085,all depth
132968,URM-Cn-5779,Halomitra clavator,25.94,67.177,all depth
132969,URM-Cn-4774,Acropora listeri,82.189,44.698,all depth
132970,URM-Cn-4954,Agaricia lamarcki,95.16,42.55,all depth
132972,URM-Cn-4800,Acropora paniculata,76.533,48.887,all depth
132974,SLB-62368,Plerogyra discus,77.574,51.766,all depth
132977,URM-Cn-4937,Montipora stilosa,66.751,56.703,all depth
132980,URM-Cn-5590,Leptoria phrygia,90.667,29.484,all depth
132983,URM-Cn-5584,Leptastrea bottae,57.158,51.889,all depth
132984,URM-Cn-4736,Acropora derawanensis,78.609,65.357,all depth
132987,URM-Cn-5524,Echinopora gemmacea,81.952,44.975,all depth
132988,URM-Cn-4777,Acropora longicyathus,80.522,47.648,all depth
132990,URM-Cn-4790,Acropora multiacuta,70.353,67.645,all depth
132991,URM-Cn-6123,Coscinaraea crassa,71.208,44.525,all depth
132992,URM-Cn-4761,Acropora humilis,83.148,44.927,all depth
132996,URM-Cn-5772,Fungia seychellensis,50.964,54.257,all depth
133000,URM-Cn-4796,Acropora ocellata,33.092,46.851,all depth
133002,SLB-117497,Seriatopora stellata,66.126,57.343,all depth
133003,URM-Cn-5583,Leptastrea bewickensis,50.538,45.089,all depth
133004,SLB-62804,Simplastrea vesicularis,87.381,39.044,all depth
133006,URM-Cn-4798,Acropora palmata,95.622,41.77,all depth
133007,URM-Cn-4917,Montipora malampaya,74.438,57.318,all depth
133008,URM-Cn-5775,Fungia spinifer,90.686,24.691,all depth
133011,SLB-117488,Pocillopora ankeli,79.09,59.322,all depth
133013,URM-Cn-4755,Acropora grandis,80.832,49.089,all depth
133018,URM-Cn-4786,Acropora minuta,87.606,43.321,all depth
133020,URM-Cn-4841,Acropora tenuis,84.663,46.461,all depth
133023,URM-Cn-6062,Porites lichen,90.164,23.288,all depth
133024,URM-Cn-5827,Merulina scabricula,92.142,23.942,all depth
133025,URM-Cn-4850,Acropora vaughani,88.606,42.604,all depth
133026,SLB-117486,Mycedium mancaoi,85.06,13.591,all depth
133029,URM-Cn-5552,Favia rotumana,91.766,14.743,all depth
133031,URM-Cn-4897,Montipora effusa,56.342,70.188,all depth
133032,URM-Cn-5869,Lobophyllia flabelliformis,63.474,88.113,all depth
133033,URM-Cn-4813,Acropora pulchra,83.085,46.63,all depth
133034,SLB-189121,Fungia fragilis,97.487,10.582,all depth
133037,URM-Cn-5885,Mycetophyllia reesi,89.157,43.267,all depth
133038,URM-Cn-6069,Porites nigrescens,99.66,7.383,all depth
133043,URM-Cn-6135,Psammocora digitata,83.1,51.166,all depth
133045,SLB-158820,Pocillopora ligulata,14.519,98.856,all depth
133046,URM-Cn-4861,Anacropora spinosa,68.916,58.603,all depth
133053,URM-Cn-5887,Scolymia cubensis,88.049,57.107,all depth
133055,URM-Cn-5564,Favites halicora,92.136,27.413,all depth
133057,URM-Cn-5482,Euphyllia paradivisa,85.065,44.042,all depth
133058,URM-Cn-5930,Echinophyllia echinata,78.647,26.404,all depth
133059,URM-Cn-5617,Platygyra verweyi,83.203,54.816,all depth
133064,URM-Cn-4899,Montipora florida,82.968,48.393,all depth
133066,URM-Cn-4913,Montipora informis,86.47,51.7,all depth
133070,URM-Cn-5601,Montastrea colemani,66.871,69.479,all depth
133071,URM-Cn-4901,Montipora foliosa,83.076,49.41,all depth
133076,URM-Cn-5873,Lobophyllia robusta,66.079,62.743,all depth
133081,URM-Cn-4770,Acropora kirstyae,73.896,37.598,all depth
133082,URM-Cn-6064,Porites lutea,94.769,21.861,all depth
133084,SLB-62376,Barabattoia amicorum,91.855,28.161,all depth
133087,URM-Cn-4836,Acropora subglabra,89.707,50.101,all depth
133088,URM-Cn-5528,Echinopora lamellosa,88.797,34.483,all depth
133089,URM-Cn-5935,Echinophyllia patula,92.622,15.906,all depth
133090,URM-Cn-5587,Leptastrea purpurea,90,35.026,all depth
133092,URM-Cn-4866,Astreopora incrustans,55.732,87.121,all depth
133094,URM-Cn-6138,Psammocora nierstraszi,78.62,46.932,all depth
133096,SLB-158798,Porites columnaris,48.355,94.963,all depth
