iucn_sid,loiczid,deep
133076,78400,0
133076,78401,0
133076,79114,0
133076,79118,0
133076,79119,0
133076,79120,0
133076,79121,0
133076,79828,0
133076,79829,0
133076,79830,0
133076,79831,0
133076,79834,0
133076,79835,0
133076,79836,0
133076,79837,0
133076,79838,0
133076,79839,0
133076,79840,0
133076,79841,0
133076,80543,0
133076,80544,0
133076,80545,0
133076,80546,0
133076,80547,0
133076,80548,0
133076,80549,0
133076,80550,0
133076,80551,0
133076,80553,0
133076,80554,0
133076,80555,0
133076,80556,1
133076,80557,0
133076,80558,0
133076,80559,0
133076,80560,0
133076,80561,1
133076,81262,0
133076,81263,0
133076,81264,0
133076,81265,0
133076,81266,0
133076,81267,0
133076,81268,0
133076,81269,0
133076,81270,0
133076,81271,0
133076,81272,0
133076,81273,0
133076,81274,1
133076,81275,1
133076,81276,1
133076,81277,1
133076,81278,0
133076,81279,1
133076,81280,0
133076,81281,0
133076,81282,1
133076,81979,0
133076,81980,0
133076,81981,0
133076,81984,0
133076,81985,0
133076,81987,0
133076,81988,0
133076,81989,0
133076,81990,1
133076,81991,1
133076,81992,0
133076,81993,1
133076,81994,1
133076,81995,1
133076,81998,1
133076,81999,1
133076,82e3,0
133076,82001,1
133076,82002,1
133076,82698,0
133076,82699,0
133076,82700,0
133076,82701,0
133076,82702,0
133076,82704,0
133076,82705,0
133076,82706,0
133076,82707,0
133076,82708,1
133076,82709,1
133076,82710,1
133076,82711,1
133076,82712,1
133076,82713,1
133076,82714,1
133076,82718,1
133076,82719,1
133076,82720,1
133076,82721,1
133076,83418,0
133076,83419,0
133076,83420,0
133076,83421,0
133076,83422,0
133076,83424,0
133076,83425,1
133076,83426,0
133076,83427,1
133076,83428,1
133076,83429,1
133076,83430,1
133076,83440,0
133076,84138,1
133076,84139,1
133076,84140,0
133076,84141,0
133076,84142,0
133076,84143,0
133076,84144,0
133076,84145,1
133076,84146,1
133076,84147,1
133076,84148,1
133076,84858,1
133076,84859,0
133076,84860,0
133076,84861,0
133076,84862,0
133076,84863,0
133076,84864,0
133076,84865,1
133076,85578,1
133076,85579,0
133076,85580,0
133076,85581,0
133076,85582,0
133076,85583,0
133076,85584,1
133076,85585,1
133076,86298,1
133076,86299,1
133076,86300,0
133076,86301,0
133076,86302,0
133076,86303,0
133076,86304,1
133076,86825,0
133076,86826,0
133076,86830,0
133076,87017,1
133076,87018,1
133076,87019,1
133076,87020,0
133076,87021,1
133076,87022,1
133076,87023,1
133076,87024,1
133076,87545,0
133076,87546,0
133076,87547,0
133076,87550,0
133076,87737,1
133076,87738,1
133076,87739,0
133076,87740,0
133076,87741,1
133076,87742,1
133076,87743,1
133076,88266,0
133076,88267,0
133076,88270,0
133076,88456,1
133076,88457,1
133076,88458,1
133076,88459,1
133076,88460,0
133076,88461,1
133076,88462,1
133076,88484,1
133076,88485,1
133076,88987,0
133076,88988,0
133076,88989,0
133076,88990,0
133076,88991,0
133076,89175,1
133076,89176,1
133076,89177,1
133076,89178,1
133076,89179,0
133076,89180,0
133076,89181,0
133076,89182,1
133076,89203,1
133076,89204,1
133076,89205,1
133076,89206,1
133076,89708,0
133076,89709,0
133076,89710,0
133076,89711,0
133076,89712,0
133076,89895,1
133076,89896,1
133076,89897,0
133076,89898,0
133076,89899,0
133076,89900,1
133076,89901,1
133076,89902,1
133076,89923,1
133076,89924,0
133076,89925,0
133076,89926,1
133076,89927,1
133076,90428,0
133076,90429,0
133076,90430,1
133076,90431,0
133076,90432,0
133076,90613,0
133076,90614,1
133076,90615,1
133076,90616,0
133076,90617,0
133076,90618,0
133076,90619,1
133076,90620,1
133076,90621,1
133076,90643,1
133076,90644,1
133076,90645,0
133076,90646,1
133076,90647,1
133076,91148,0
133076,91149,0
133076,91150,1
133076,91151,1
133076,91152,0
133076,91153,0
133076,91329,0
133076,91330,0
133076,91331,0
133076,91332,0
133076,91333,1
133076,91334,1
133076,91335,0
133076,91336,0
133076,91337,0
133076,91338,1
133076,91339,1
133076,91340,1
133076,91363,1
133076,91364,1
133076,91365,0
133076,91366,1
133076,91367,1
133076,91869,0
133076,91870,1
133076,91871,1
133076,91872,1
133076,91873,0
133076,91874,0
133076,92046,0
133076,92047,0
133076,92048,0
133076,92049,0
133076,92050,0
133076,92051,1
133076,92052,1
133076,92053,1
133076,92054,0
133076,92055,0
133076,92056,0
133076,92057,0
133076,92058,1
133076,92059,1
133076,92082,1
133076,92083,1
133076,92084,1
133076,92085,0
133076,92086,1
133076,92087,1
133076,92589,0
133076,92590,0
133076,92591,1
133076,92592,1
133076,92593,0
133076,92594,0
133076,92764,0
133076,92765,0
133076,92766,0
133076,92767,0
133076,92768,0
133076,92769,0
133076,92770,0
133076,92771,1
133076,92772,0
133076,92773,1
133076,92774,1
133076,92775,0
