iucn_sid,am_sid,sciname,spp_group_text
2062,ITS-Mam-180632,Arctocephalus tropicalis,Marine Mammals
4162,ITS-Mam-180452,Cephalorhynchus hectori,Marine Mammals
6909,ITS-Mam-180679,Dugong dugon,Marine Mammals
7750,ITS-Mam-180547,Enhydra lutris,Terr. Mammals
9660,ITS-Mam-180653,Halichoerus grypus,Marine Mammals
11142,ITS-Mam-180442,Lagenorhynchus albirostris,Marine Mammals
12137,Fis-23176,Lithognathus lithognathus,Seabreams/Porgies
14050,Fis-23649,Mycteroperca microlepis,Groupers
21342,Fis-55125,Takifugu poecilonotus,Pufferfish
21856,Fis-22832,Thunnus alalunga,Tunas/Billfish
21859,Fis-22836,Thunnus obesus,Tunas/Billfish
44681,Fis-22721,Epinephelus morio,Groupers
61338,Fis-26113,Epinephelus malabaricus,Groupers
132725,Fis-26116,Cephalopholis aurantia,Groupers
132759,Fis-26120,Cephalopholis hemistiktos,Groupers
132795,Fis-163776,Hyporthodus ergastularius,Groupers
132883,URM-Cn-5572,Goniastrea australensis,Corals
132962,URM-Cn-5892,Symphyllia erythraea,Corals
132984,URM-Cn-4736,Acropora derawanensis,Corals
133023,URM-Cn-6062,Porites lichen,Corals
133058,URM-Cn-5930,Echinophyllia echinata,Corals
133076,URM-Cn-5873,Lobophyllia robusta,Corals
133088,URM-Cn-5528,Echinopora lamellosa,Corals
133106,URM-Cn-5849,Acanthastrea hillae,Corals
133151,URM-Cn-5542,Favia lacuna,Corals
133176,SLB-117467,Coscinaraea exesa,Corals
133182,SLB-184808,Isopora brueggemanni,Corals
133192,URM-Cn-5947,Oxypora glabra,Corals
133206,URM-Cn-4819,Acropora roseni,Corals
133253,URM-Cn-5860,Blastomussa wellsi,Corals
133256,URM-Cn-5481,Euphyllia glabrescens,Corals
133325,URM-Cn-5510,Cyphastrea chalcidicum,Corals
133365,URM-Cn-5574,Goniastrea edwardsi,Corals
133372,URM-Cn-5791,Polyphyllia novaehiberniae,Corals
133387,SLB-93466,Acropora globiceps,Corals
133396,URM-Cn-4737,Acropora desalwii,Corals
133406,URM-Cn-6137,Psammocora haimeana,Corals
133432,URM-Cn-4832,Acropora spicifera,Corals
133498,URM-Cn-5473,Turbinaria peltata,Corals
133522,URM-Cn-4959,Helioseris cucullata,Corals
133589,URM-Cn-6136,Psammocora explanulata,Corals
133638,URM-Cn-5546,Favia maritima,Corals
133680,URM-Cn-6038,Porites astreoides,Corals
154809,Fis-58059,Apolemichthys kingi,Angelfish
154841,Fis-113731,Dotalabrus alleni,Wrasses
155221,Fis-138816,Halichoeres papilionaceus,Wrasses
165612,Fis-59414,Chaetodon zanzibarensis,Butterflyfish
165632,Fis-31440,Chaetodon punctatofasciatus,Butterflyfish
165648,Fis-33881,Chaetodon decussatus,Butterflyfish
165654,Fis-33074,Chaetodon dolosus,Butterflyfish
165666,Fis-33082,Chaetodon mitratus,Butterflyfish
165673,Fis-31448,Chaetodon trifasciatus,Butterflyfish
165675,Fis-35297,Chaetodon smithi,Butterflyfish
165693,Fis-31908,Chaetodon auripes,Butterflyfish
165725,Fis-31444,Chaetodon semeion,Butterflyfish
165828,Fis-26703,Centropyge fisheri,Angelfish
165837,Fis-22168,Centropyge argi,Angelfish
165850,Fis-27817,Chaetodontoplus melanosoma,Angelfish
165860,Fis-59453,Centropyge vrolikii,Angelfish
165870,Fis-27944,Chaetodontoplus conspicillatus,Angelfish
165900,Fis-143223,Centropyge venusta,Angelfish
169962,ITS-552914,Acanthacaris tenuimana,Lobsters
169985,ITS-552916,Nephropsis acanthura,Lobsters
170008,ITS-660118,Scyllarides squammosus,Lobsters
170010,ITS-552964,Palinurus delagoae,Lobsters
170034,ITS-552997,Arctides antipodarum,Lobsters
170052,ITS-552998,Arctides guineensis,Lobsters
170054,ITS-552962,Linuparus trigonus,Lobsters
170070,ITS-552961,Linuparus sordidus,Lobsters
170096,ITS-553064,Thaumastocheles japonicus,Lobsters
170337,Fis-22828,Scomberomorus semifasciatus,Tunas/Billfish
176738,SLB-184619,Pelamis platura,Reptiles
177961,Fis-25281,Acanthurus nubilus,Surgeons/Tangs/Unicornfish
177962,Fis-32459,Naso fageni,Surgeons/Tangs/Unicornfish
177968,Fis-62061,Naso caeruleacauda,Surgeons/Tangs/Unicornfish
177985,Fis-29260,Acanthurus bahianus,Surgeons/Tangs/Unicornfish
177999,Fis-31079,Acanthurus nigroris,Surgeons/Tangs/Unicornfish
178020,Fis-32088,Naso maculatus,Surgeons/Tangs/Unicornfish
180246,W-Hol-732226,Holothuria difficilis,Sea Cucumbers
180257,SLB-66022,Holothuria scabra,Sea Cucumbers
180455,SLB-66024,Holothuria tubulosa,Sea Cucumbers
180518,W-Hol-208947,Actinopyga echinites,Sea Cucumbers
183607,Fis-61706,Sphoeroides lispus,Pufferfish
183731,Fis-28996,Halichoeres melanotis,Wrasses
184034,Fis-35756,Sphoeroides sechurae,Pufferfish
185003,SLB-184834,Stereomastis polita,Lobsters
185023,SLB-184838,Stereomastis surda,Lobsters
185031,SLB-184850,Acantharctus ornatus,Lobsters
185036,SLB-184836,Stereomastis suhmi,Lobsters
185069,SLB-173560,Stereomastis galil,Lobsters
185073,SLB-170329,Stereomastis aculeata,Lobsters
187378,Fis-58702,Bodianus opercularis,Wrasses
187396,Fis-25637,Labroides dimidiatus,Wrasses
187409,Fis-139219,Ophthalmolepis lineolata,Wrasses
187421,Fis-161246,Paracheilinus walton,Wrasses
187424,Fis-25730,Stethojulis bandanensis,Wrasses
187438,Fis-21693,Halichoeres prosopeion,Wrasses
187454,Fis-25723,Halichoeres scapularis,Wrasses
187456,Fis-22199,Doratonotus megalepis,Wrasses
187474,Fis-25724,Halichoeres trimaculatus,Wrasses
187499,Fis-126141,Choerodon zosterophorus,Wrasses
