"","V1","SPECIESID","SpecCode","Genus","Species","FBname","Kingdom","Phylum","Class","Order","Family","iucn_code","expert_id","scientific"
"1","1","ITS-552925",21,"Thymops","birsteini","Patagonian lobsterette","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","\N","\N","Thymops birsteini"
"2","2","URM-M-1454",26,"Limulus","polyphemus","king crab","Animalia","Arthropoda","Merostomata","Xiphosura","Limulidae","\N","\N","Limulus polyphemus"
"3","3","ITS-567533",398,"Elysia","crispata","lettuce seaslug","Animalia","Mollusca","Gastropoda","Sacoglossa","Elysiidae","N.E.","\N","Elysia crispata"
"4","4","ITS-567625",422,"Geitodoris","pusae","\N","Animalia","Mollusca","Gastropoda","Nudibranchia","Discodorididae","N.E.","\N","Geitodoris pusae"
"5","5","ITS-567629",424,"Gibberula","lavalleeana","snowflake marginella","Animalia","Mollusca","Gastropoda","Neogastropoda","Cystiscidae","N.E.","\N","Gibberula lavalleeana"
"6","6","ITS-567636",428,"Glossodoris","sedna","\N","Animalia","Mollusca","Gastropoda","Nudibranchia","Chromodorididae","N.E.","\N","Glossodoris sedna"
"7","7","ITS-567641",433,"Graphis","underwoodae","\N","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Aclididae","N.E.","\N","Graphis underwoodae"
"8","8","ITS-205281",661,"Tritonia","nilsodhneri","\N","Animalia","Mollusca","Gastropoda","Nudibranchia","Tritoniidae","N.E.","\N","Tritonia nilsodhneri"
"9","9","ITS-205301",680,"Janolus","hyalinus","\N","Animalia","Mollusca","Gastropoda","Nudibranchia","Janolidae","N.E.","\N","Janolus hyalinus"
"10","10","ITS-205318",694,"Cuthona","viridis","viridis aeolid","Animalia","Mollusca","Gastropoda","Nudibranchia","Tergipedidae","N.E.","\N","Cuthona viridis"
"11","11","ITS-567564",871,"Eulithidium","bellum","shouldered pheasant","Animalia","Mollusca","Gastropoda","Patellogastropoda","Turbinidae","N.E.","\N","Eulithidium bellum"
"12","12","ITS-567570",877,"Eulithidium","thalassicola","turtlegrass pheasant","Animalia","Mollusca","Gastropoda","Patellogastropoda","Turbinidae","N.E.","\N","Eulithidium thalassicola"
"13","13","ITS-567574",881,"Euspira","pallida","pale moonsnail","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Naticidae","N.E.","\N","Euspira pallida"
"14","14","ITS-568354",1848,"Teinostoma","megastoma","\N","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Vitrinellidae","N.E.","\N","Teinostoma megastoma"
"15","15","ITS-568356",1850,"Teralatirus","cayohuesonicus","Key West latirus","Animalia","Mollusca","Gastropoda","Neogastropoda","Fasciolariidae","N.E.","\N","Teralatirus cayohuesonicus"
"16","16","ITS-568364",1855,"Texadina","sphinctostoma","narrowmouth hydrobe","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Hydrobiidae","N.E.","\N","Texadina sphinctostoma"
"17","17","ITS-70116",1877,"Lithopoma","americanum","\N","Animalia","Mollusca","Gastropoda","Patellogastropoda","Turbinidae","N.E.","\N","Lithopoma americanum"
"18","18","ITS-70117",1878,"Lithopoma","caelatum","carved starsnail","Animalia","Mollusca","Gastropoda","Patellogastropoda","Turbinidae","N.E.","\N","Lithopoma caelatum"
"19","19","ITS-70119",1880,"Lithopoma","tectum","West Indian starsnail","Animalia","Mollusca","Gastropoda","Patellogastropoda","Turbinidae","N.E.","\N","Lithopoma tectum"
"20","20","ITS-70120",1881,"Lithopoma","tuber","green starsnail","Animalia","Mollusca","Gastropoda","Patellogastropoda","Turbinidae","N.E.","\N","Lithopoma tuber"
"21","21","ITS-70123",1882,"Astralium","phoebium","longspine starsnail","Animalia","Mollusca","Gastropoda","Patellogastropoda","Turbinidae","N.E.","\N","Astralium phoebium"
"22","22","ITS-70132",1884,"Tricolia","thalassicola","\N","Animalia","Mollusca","Gastropoda","Archaeogastropoda","Tricoliidae","N.E.","\N","Tricolia thalassicola"
"23","23","ITS-567498",1927,"Diacria","maculata","\N","Animalia","Mollusca","Gastropoda","Thecosomata","Cavoliniidae","N.E.","\N","Diacria maculata"
"24","24","Pho-128550",1,"Phoronis","ovalis","\N","Animalia","Phoronida","Not assigned","Not assigned","Not assigned","N.E.","\N","Phoronis ovalis"
"25","25","Pho-128549",5,"Phoronis","muelleri","\N","Animalia","Phoronida","Not assigned","Not assigned","Not assigned","N.E.","\N","Phoronis muelleri"
"26","26","Pho-128552",6,"Phoronis","psammophila","\N","Animalia","Phoronida","Not assigned","Not assigned","Not assigned","N.E.","\N","Phoronis psammophila"
"27","27","ITS-567594",894,"Flabellina","engeli","\N","Animalia","Mollusca","Gastropoda","Nudibranchia","Flabellinidae","N.E.","\N","Flabellina engeli"
