loiczid,n_spp
34564,1
34566,1
34567,1
34568,1
35282,1
35283,1
35284,1
35285,1
35286,1
35287,1
35288,1
35289,1
35305,1
35306,1
35307,1
35308,1
36009,1
36010,1
36011,1
36012,1
36024,1
36025,1
36027,1
36028,1
36029,1
36030,1
36031,1
36713,1
36714,1
36732,1
36733,1
36734,1
36748,1
36750,1
36751,1
36759,1
37457,1
37458,1
37459,1
37460,1
37461,1
37470,1
37471,1
38177,1
38178,1
38179,1
38180,1
38181,1
38182,1
38183,1
38190,1
38191,1
38878,1
38879,1
38901,1
38902,1
38910,1
38911,1
39594,1
39595,1
39596,1
39597,1
39599,1
39600,1
39601,1
39629,1
39630,1
40291,1
40311,1
40312,1
40313,1
40314,1
40316,1
40317,1
40318,1
40319,1
40320,1
40348,1
40349,1
40381,1
40382,1
40994,1
40995,1
40996,1
40997,1
40998,1
40999,1
41000,1
41001,1
41005,1
41006,1
41007,1
41027,1
41028,1
41029,1
41030,1
41031,1
41034,1
41035,1
41036,1
41038,1
41039,1
41069,1
41070,1
41071,1
41097,1
41098,1
41099,1
41100,1
41101,1
41102,1
41104,1
41105,1
41106,1
41107,1
41108,1
41713,1
41714,1
41718,1
41719,1
41720,1
41721,1
41723,1
41724,1
41725,1
41726,1
41727,1
41745,1
41746,1
41747,1
41750,1
41751,1
41752,1
41753,1
41754,1
41755,1
41756,1
41757,1
41761,1
41774,1
41775,1
41789,1
41790,1
41791,1
41792,1
41793,1
41794,1
41816,1
41817,1
41818,1
41819,1
41820,1
41821,1
41822,1
41823,1
41824,1
41825,1
41826,1
41827,1
41828,1
41829,2
42431,1
42432,1
42433,1
42438,1
42439,1
42440,1
42441,1
42442,1
42443,1
42444,1
42445,1
42446,1
42447,1
42448,1
42456,1
42457,1
42458,1
42459,1
42462,1
42463,1
42464,1
42465,2
42466,1
42467,1
42469,3
42470,1
42471,1
42472,1
42473,1
42474,1
42475,1
42476,1
42477,1
42478,1
42479,1
42480,1
42481,2
42482,3
42495,1
42496,1
42506,1
42507,1
42508,1
42509,1
42510,1
42511,1
42512,1
42515,1
42516,1
42535,1
42536,1
42537,1
42538,1
42542,2
42543,1
42544,2
42545,1
42546,1
42547,1
42548,1
42549,1
42550,2
42551,2
42552,2
42553,2
42554,2
42555,2
42556,2
42557,2
42558,2
42561,2
42562,2
43149,1
43150,1
43151,1
43157,1
43158,1
43159,1
43160,1
43161,1
43163,1
43164,1
43165,1
43168,1
43169,1
43170,1
43171,1
43172,1
43173,1
43174,1
43175,1
43176,1
43177,1
43179,1
43180,1
43181,1
43182,1
43183,2
43184,1
43185,1
43186,1
43187,1
43188,1
43189,1
43190,1
43191,2
43192,1
43193,1
43194,2
43195,1
43196,1
43197,2
43198,1
43199,1
43200,2
43201,1
43202,2
43203,3
43227,1
43228,1
43229,1
43230,1
43232,1
43233,1
43234,1
43235,1
43236,1
43237,1
43253,1
43254,1
43255,1
43257,1
43258,1
43259,1
43260,2
43261,2
43262,1
43263,1
43264,2
43265,2
43266,2
43268,1
43269,1
43270,1
43271,2
43272,2
43273,1
43275,1
43276,1
43277,2
43278,2
43279,2
43280,1
43281,1
43282,2
43283,1
43858,1
43859,1
43860,1
43861,1
43862,1
43863,1
43864,1
43869,1
43870,1
43871,1
43882,1
43883,1
43887,1
43888,1
43889,1
43890,1
43891,1
43892,1
43893,1
43894,2
43895,1
43896,1
43897,1
43898,1
43899,1
43900,1
43901,1
43903,1
43904,1
43905,1
43906,2
43907,2
43908,2
43909,2
43910,2
43911,2
43912,2
43913,2
43914,2
43915,2
43916,2
43917,2
43918,2
43919,2
43920,2
43921,2
43922,2
43923,2
43924,1
43925,1
43957,1
43959,1
43960,1
43963,1
43964,1
43967,1
43972,1
43973,1
43974,1
43975,1
43977,2
