am_sid,lim,sciname,reviewed
Fis-28931,w_lim,Bathycongrus varidens,null
Fis-28946,w_lim,Cheilopogon xenopterus,null
Fis-28949,w_lim,Hirundichthys marginatus,null
Fis-28959,w_lim,Orthopristis chalceus,null
Fis-28965,w_lim,Pomadasys panamensis,null
Fis-28981,w_lim,Enchelycore octaviana,null
Fis-28985,w_lim,Gymnothorax panamensis,null
Fis-29003,w_lim,Coryphaenoides bucephalus,null
Fis-29014,w_lim,Cherublemma emmelas,null
Fis-29027,w_lim,Syacium ovale,null
Fis-29038,w_lim,Micropogonias altipinnis,null
Fis-29326,w_lim,Centroscyllium nigrum,null
Fis-29725,w_lim,Leuroglossus stilbius,null
Fis-29758,w_lim,Caranx caballus,null
Fis-29759,w_lim,Caranx caninus,null
Fis-30096,w_lim,Hemiramphus saltator,null
Fis-30113,w_lim,Hippocampus ingens,1
Fis-30736,w_lim,Trachipterus altivelis,null
Fis-30737,w_lim,Trachipterus fukuzakii,null
Fis-30772,w_lim,Balistes polylepis,null
Fis-30787,w_lim,Citharichthys stigmaeus,null
Fis-30827,w_lim,Icelinus tenuis,null
Fis-30878,w_lim,Prionotus stephanophrys,null
Fis-31144,w_lim,Anampses cuvier,null
Fis-31254,w_lim,Stomias atriventer,null
Fis-31256,w_lim,Borostomias panamensis,null
Fis-31911,w_lim,Scorpaenopsis cacopsis,null
Fis-32335,w_lim,Leptostomias macronema,null
Fis-32341,w_lim,Diaphus schmidti,null
Fis-32348,w_lim,Protomyctophum beckeri,null
Fis-32393,w_lim,Hemiramphus depauperatus,null
Fis-32522,w_lim,Saurida flamma,null
Fis-32525,w_lim,Pterois sphex,null
Fis-32526,w_lim,Priacanthus meeki,null
Fis-32566,w_lim,Ostracion whitleyi,null
Fis-32722,w_lim,Synodus lacertinus,null
Fis-32755,w_lim,Holacanthus passer,null
Fis-32758,w_lim,Myrichthys tigrinus,null
Fis-33832,w_lim,Plectroglyphidodon flaviventris,null
Fis-33855,w_lim,Pomachromis fuscidorsalis,null
Fis-34254,w_lim,Centropyge hotumatua,null
Fis-34362,w_lim,Genicanthus spinus,null
Fis-35236,w_lim,Chaetodon trichrous,null
Fis-35242,w_lim,Melamphaes acanthomus,null
Fis-35297,w_lim,Chaetodon smithi,null
Fis-35432,w_lim,Cololabis adocetus,null
Fis-35583,w_lim,Monolene maculipinna,null
Fis-35620,w_lim,Eucinostomus entomelas,null
Fis-35701,w_lim,Larimus effulgens,null
Fis-35702,w_lim,Larimus acclivis,null
Fis-35703,w_lim,Isopisthus remifer,null
Fis-35723,w_lim,Stellifer illecebrosus,null
Fis-35775,w_lim,Diplectrum euryplectrum,null
Fis-35788,w_lim,Prionotus ruscarius,null
Fis-47310,w_lim,Cheilopogon pitcairnensis,null
Fis-47774,w_lim,Hoplostethus mento,null
Fis-52159,w_lim,Chiasmodon subniger,null
Fis-52352,w_lim,Ichthyococcus elongatus,null
Fis-52571,w_lim,Holcomycteronus digittatus,null
Fis-53996,w_lim,Labroides rubrolabiatus,null
Fis-55670,w_lim,Eustomias satterleei,null
Fis-56185,w_lim,Lycenchelys jordani,null
Fis-57210,w_lim,Rhinogobiops nicholsii,null
Fis-57507,w_lim,Paraliparis cephalus,null
Fis-58200,w_lim,Antennatus sanguineus,null
Fis-58268,w_lim,Rypticus bicolor,null
Fis-63049,w_lim,Gymnothorax australicola,null
Fis-63788,w_lim,Priolepis psygmophilia,null
Hex-2453,w_lim,Phymactis clematis,null
ITS-176931,w_lim,Thalasseus elegans,null
ITS-551597,w_lim,Metapenaeopsis beebei,null
ITS-551722,w_lim,Sicyonia martini,null
ITS-551983,w_lim,Hymenopenaeus doris,null
ITS-552026,w_lim,Sergestes brevispinatus,null
ITS-563380,w_lim,Thalassarche bulleri,null
ITS-659882,w_lim,Bathypalaemonella pandaloides,null
ITS-659930,w_lim,Alpheus platyunguiculatus,null
ITS-659938,w_lim,Leptalpheus pacificus,null
ITS-660016,w_lim,Philocheras breviflagella,null
ITS-660123,w_lim,Gastroptychus iaspis,null
ITS-660153,w_lim,Aniculus hopperae,null
ITS-660202,w_lim,Pygmaeopagurus hadrochirus,null
ITS-660212,w_lim,Paragiopagurus rugosus,null
ITS-660214,w_lim,Paragiopagurus tuberculosus,null
ITS-667657,w_lim,Aphotopontius forcipatus,null
ITS-682545,w_lim,Hemisquilla californiensis,null
ITS-682584,w_lim,Tetrasquilla mccullochae,null
ITS-682585,w_lim,Alima neptuni,null
ITS-684711,w_lim,Corallianassa articulata,null
ITS-726047,w_lim,Sula granti,null
ITS-94279,w_lim,Cyclocaris tahitensis,null
ITS-95933,w_lim,Sergestes pestafer,null
ITS-96015,w_lim,Haliporoides diomedeae,null
ITS-96089,w_lim,Benthesicymus crenatus,null
ITS-96111,w_lim,Hymenodora gracilis,null
ITS-96622,w_lim,Alpheus bellimanus,null
ITS-98012,w_lim,Munidopsis albatrossae,null
ITS-Mam-180521,w_lim,Eschrichtius robustus,1
SLB-102198,w_lim,Meiosquilla dawsoni,null
SLB-102206,w_lim,Squilla parva,null
SLB-113115,w_lim,Agononida aequabilis,null
SLB-113160,w_lim,Munida amathea,null
SLB-113161,w_lim,Munida antliae,null
SLB-113193,w_lim,Munida arae,null
SLB-113214,w_lim,Munida columbae,null
SLB-113316,w_lim,Munida fornacis,null
SLB-113326,w_lim,Munida llenasi,null
SLB-113332,w_lim,Munida oblonga,null
SLB-113350,w_lim,Munida plexaura,null
SLB-113353,w_lim,Munida profunda,null
SLB-113357,w_lim,Munida rubella,null
SLB-113358,w_lim,Munida rubrovata,null
SLB-113371,w_lim,Raymunida limbata,null
SLB-113372,w_lim,Setanida cristata,null
SLB-118397,w_lim,Alvinocaris lusca,null
SLB-119205,w_lim,Eumunida treguieri,null
SLB-119334,w_lim,Lepetodrilus cristatus,null
SLB-119368,w_lim,Melanodrymia aurantiaca,null
SLB-119529,w_lim,Aphotopontius limatulus,null
SLB-119530,w_lim,Aphotopontius mammillatus,null
SLB-119543,w_lim,Nilva torifera,null
SLB-119544,w_lim,Rhogobius contractus,null
SLB-119568,w_lim,Ecbathyrion prolixicauda,null
SLB-119577,w_lim,Oncaea praeclara,null
SLB-119637,w_lim,Munidopsis lentigo,null
SLB-119654,w_lim,Bythograea microps,null
SLB-119657,w_lim,Cyanagraea praedator,null
SLB-12265,w_lim,Portunus xantusii,null
SLB-133171,w_lim,Galaxaura filamentosa,null
SLB-154769,w_lim,Alpheus panamensis,null
SLB-154796,w_lim,Alpheus rostratus,null
SLB-170297,w_lim,Galearctus rapanus,null
SLB-182950,w_lim,Rissoina heronensis,null
SLB-182972,w_lim,Lophocochlias minutissimus,null
SLB-184805,w_lim,Polycheles tanneri,null
SLB-184906,w_lim,Eduarctus modestus,null
SLB-188305,w_lim,Plesionika fenneri,null
SLB-188343,w_lim,Paragiopagurus wallisi,null
SLB-189203,w_lim,Nematocarcinus agassizii,null
SLB-189566,w_lim,Babamunida hystrix,null
SLB-189567,w_lim,Bathynarius albicinctus,null
SLB-189572,w_lim,Calcinus albengai,null
SLB-189574,w_lim,Calcinus gouti,null
SLB-189686,w_lim,Dardanus robustus,null
SLB-190209,w_lim,Plesionika curvata,null
SLB-190215,w_lim,Plesionika protati,null
SLB-190223,w_lim,Paramunida poorei,null
SLB-190251,w_lim,Strigopagurus poupini,null
