am_sid,n_tot,lim,long,ncells
Biv-32832,2840,w_lim,77.0,1
Chn-0e470b93-1bf9-4c28-8770-166bb5e2a8c7,1541,w_lim,80.0,2
Chn-0e9cfa5e-eab6-490e-9279-34eeeb127eb2,3197,w_lim,77.0,2
Chn-21252d4f-8095-42f9-a7e5-67236bb3099d,2263,w_lim,77.0,1
Chn-2b605750-6865-42dd-9798-32cfbc2ac7d5,2614,w_lim,77.0,3
Chn-335d884d-9fab-419b-85fb-ed0a94ffe255,642,w_lim,77.0,1
Chn-3a2c0af7-44ef-4119-b909-a1731e6fa595,2551,w_lim,77.0,1
Chn-3d368bae-a02b-4109-99a3-33d99b22f83d,1702,w_lim,109.0,4
Chn-43ea15ff-38d0-46d1-8cb4-bacce1ba2254,1610,w_lim,77.0,1
Chn-4afd695c-a184-4f35-a646-3149013fa0df,2575,w_lim,77.0,2
Chn-58fbf663-c32a-4053-b54d-872ad5bbd716,2792,w_lim,78.5,1
Chn-6a9274ff-bb5b-4de5-a3d4-201629e153fe,2622,w_lim,99.0,4
Chn-718abbd7-9991-4548-92ea-32318d7e3ae0,1810,w_lim,104.5,3
Chn-7292168a-7e48-49d8-8b1c-01144f18309b,1441,w_lim,108.5,2
Chn-7654496e-c4b4-480a-8684-3d9234fa4807,2129,w_lim,103.5,5
Chn-7ac3e7f2-391a-4345-9f5b-7df40d8e9913,2370,w_lim,99.0,4
Chn-8015f4b9-d98d-4eea-960c-ecf42e0e3eb4,3579,w_lim,77.0,2
Chn-8980a45f-d7dd-4f06-9dfb-9bb28ae994ac,3412,w_lim,77.0,3
Chn-89c7a40d-e85d-4708-864b-4c0f155cbe9f,2384,w_lim,100.5,1
Chn-8e451762-f8be-4beb-a6f8-17192aa1bd12,2066,w_lim,77.0,1
Chn-8fd42244-81ae-418b-9e7d-1a07d933db73,1779,w_lim,104.5,1
Chn-8fe3ea49-27ab-42eb-a532-672122ccd637,2053,w_lim,99.0,1
Chn-91d6ff61-f86d-44af-9745-128e70b9b535,874,w_lim,100.5,1
Chn-9486b34f-116a-4f90-9c34-5036248600fb,1998,w_lim,77.0,1
Chn-96fbc6f5-e394-47b5-a61c-18bf2cd2bf54,2724,w_lim,77.0,1
Chn-989e06a2-4a12-4203-ab29-63f4980177e2,1883,w_lim,77.0,1
Chn-9e100c7f-ed38-4571-9d2a-678f6d9068c8,2239,w_lim,102.5,1
Chn-9eb0793c-27f0-4979-b8f4-bb1354f21ca1,2277,w_lim,78.5,1
Chn-9ef9df3b-6207-4680-8f1a-c503ede801f8,525,w_lim,118.5,1
Chn-a683929c-256b-4e14-b3e3-082b41f024ce,3008,w_lim,99.0,4
Chn-ad8809bb-42d3-4efb-9e18-86438763254f,3147,w_lim,79.0,1
Chn-ae1e5fbc-a8f3-4769-930f-a9ee579cc61b,2588,w_lim,103.0,5
Chn-af5aeff7-d489-44d6-829b-33a5aeefe39e,2702,w_lim,77.0,1
Chn-b131aac2-f572-412d-992d-0a5de940cc27,2469,w_lim,98.0,25
Chn-b6aab914-ac7d-46e9-aeeb-e00ab2a64a40,1339,w_lim,100.5,1
Chn-c52065c0-9805-4194-99b0-c065a99ff036,1949,w_lim,109.0,3
Chn-c61bf079-7d77-4066-b959-af45ce76b7c7,2145,w_lim,103.0,7
Chn-d7711d01-207c-4063-b5b0-39ea5a6af39b,111,w_lim,185.0,5
Chn-e255742b-b365-4757-9d21-e0f81f32bfbc,2299,w_lim,79.5,4
Chn-e5f20c3d-2d0d-4256-9f09-7dbb355b4149,895,w_lim,100.5,1
Chn-eff8756a-9d9f-4430-886b-4a0badfed55d,3338,w_lim,77.0,1
Chn-f031838d-0a64-4288-8d25-04c0ab44ad67,2099,w_lim,79.5,4
Chn-f0468771-49d3-4d4b-a479-b094f979105b,2214,w_lim,99.0,4
Chn-f255ce49-bed7-4937-998b-cf930cedf3a6,2011,w_lim,99.0,4
Chn-f3828601-b430-4ef9-bed4-072a275b42fa,1248,w_lim,109.0,2
