long,lat,obs
166.4567,-22.6617,both
167.2383,-22.7883,both
160.14,-9.25,obis
167.12,-20.68,obis
167.06,-20.67,obis
167.37,-20.92,obis
167.23,-22.78,obis
166.62,-21.73,obis
166.45,-22.66,obis
163.25999,-19.02,obis
167.25,-22.18,obis
163.28999,-18.94,obis
167.25,-22.16,obis
167.09,-22.04,obis
167.11,-20.67,obis
163.23,-18.93,obis
167.28,-22.92,obis
167.25999,-22.24,obis
163.24001,-18.83,obis
163.32001,-18.88,obis
167.21001,-15.16,obis
167.23,-22.89,obis
167.52,-21.03,obis
132.97,-5.27,obis
165.57001,-20.93,obis
132.85001,-5.53,obis
166.36,-21.51,obis
167.2,-22.85,obis
163.23,-18.96,obis
133.0,-5.23,obis
127.5,0.275,both
120.1447,-18.4602,gbif
120.325,-16.1333,gbif
120.1467,-16.1583,gbif
122.49,-14.125,gbif
120.6217,-15.67,gbif
