long,lat,obs
35.7167,-23.7833,obis
39.9,-6.8,obis
97.1,10.7,obis
114.7,16.3,obis
35.71667,-23.78333,both
179.98334,-16.75,obis
120.38,22.21,both
122.5,15.0,both
178.183,-14.234,obis
48.218,-12.717,both
179.983,-16.75,both
167.45,-15.883,both
120.37,22.25,both
120.1655,14.0745,gbif
121.8708,24.5842,gbif
121.642,-14.9728,gbif
112.6916,-23.8116,gbif
159.383,-22.8105,gbif
158.5741,-19.72008,gbif
159.38112,-22.80138,gbif
112.25799,-24.55916,gbif
121.9,24.94,gbif
119.005,-17.6483,gbif
6.2333,-26.2333,gbif
117.2016,-18.97,gbif
-178.183,-14.234,gbif
122.783,-12.016,gbif
116.6233,-19.1533,gbif
62.2,-11.18333,gbif
60.98333,-11.75,gbif
119.575,-17.365,gbif
116.317,-9.0,gbif
119.03,-17.6783,gbif
117.93333,-18.35,gbif
120.29,22.58,gbif
116.567,-8.967,gbif
114.654,16.333,gbif
39.9,-6.85,gbif
97.1,10.65,gbif
118.2,-18.266,gbif
119.95,-17.28333,gbif
120.96667,-15.5,gbif
115.66667,-19.33333,gbif
118.68333,-17.81667,gbif
133.54847,33.43115,gbif
