id,decimalLongitude,decimalLatitude,depth,eventDate,institutionCode,collectionCode,catalogNumber,datasetName,phylum,order,family,genus,scientificName,originalScientificName,scientificNameAuthorship,obisID,resourceID,yearcollected,species,qc,aphiaID,speciesID,scientificNameID,class,basisOfRecord,locality,minimumDepthInMeters,maximumDepthInMeters,datasetID,modified,occurrenceID
5680405,168.258331298828,-23.6903324127197,395.5,1993-11-28 11:00:00,SDSC,SeamountsOnline,18431,SeamountsOnline (Seamount Biota),Chordata,Scorpaeniformes,Hoplichthyidae,Hoplichthys,Hoplichthys regani,Hoplichthys regani,"Jordan, 1908",455042,10,1993,Hoplichthys regani,1072168575,278233,455042,urn:lsid:marinespecies.org:taxname:278233,Actinopteri,NA,NA,NA,NA,NA,NA,NA
348494843,166.589996337891,-21.7099990844727,321.0,NA,IRD-MNHN,NewCaledonia,29974,Benthic species from the tropical Pacific surrounding New Caledonia,Chordata,Scorpaeniformes,Hoplichthyidae,Hoplichthys,Hoplichthys regani,Hoplichthys regani,"Jordan, 1908",455042,264,NA,Hoplichthys regani,1073216575,278233,455042,urn:lsid:marinespecies.org:taxname:278233,Actinopteri,Occurrence,"Bathus 1, CP711",315.0,327.0,IMIS:dasid:3128,2013-06-11 14:46:43,urn:catalog:IRD-MNHN:NewCaledonia:29974:0x8C17030001006700
348492598,168.25,-23.6900005340576,395.5,NA,IRD-MNHN,NewCaledonia,NA,Benthic species from the tropical Pacific surrounding New Caledonia,Chordata,Scorpaeniformes,Hoplichthyidae,Hoplichthys,Hoplichthys regani,Hoplichthys regani,"Jordan, 1908",455042,264,NA,Hoplichthys regani,1072167998,278233,455042,urn:lsid:marinespecies.org:taxname:278233,Actinopteri,Occurrence,"Norfolk, Mt. Jumeau Est. (Bathus 3, CP811)",383.0,408.0,IMIS:dasid:3128,2013-06-11 14:46:43,urn:catalog:IRD-MNHN:NewCaledonia::0xE218030001002F01
348508658,168.25,-23.6900005340576,395.5,NA,IRD-MNHN,NewCaledonia,1734,Benthic species from the tropical Pacific surrounding New Caledonia,Chordata,Scorpaeniformes,Hoplichthyidae,Hoplichthys,Hoplichthys regani,Hoplichthys regani,"Jordan, 1908",455042,264,NA,Hoplichthys regani,1072167999,278233,455042,urn:lsid:marinespecies.org:taxname:278233,Actinopteri,Occurrence,"Bathus 3, CP811",383.0,408.0,IMIS:dasid:3128,2013-06-11 14:46:43,urn:catalog:IRD-MNHN:NewCaledonia:1734:0x5F18030001001300
348532325,166.960006713867,-23.0400009155273,408.0,NA,IRD-MNHN,NewCaledonia,29978,Benthic species from the tropical Pacific surrounding New Caledonia,Chordata,Scorpaeniformes,Hoplichthyidae,Hoplichthys,Hoplichthys regani,Hoplichthys regani,"Jordan, 1908",455042,264,NA,Hoplichthys regani,1073216575,278233,455042,urn:lsid:marinespecies.org:taxname:278233,Actinopteri,Occurrence,"Bathus 3, CP847",405.0,411.0,IMIS:dasid:3128,2013-06-11 14:46:43,urn:catalog:IRD-MNHN:NewCaledonia:29978:0x7C1803000100EA00
348497339,166.580001831055,-21.7299995422363,210.0,NA,IRD-MNHN,NewCaledonia,29975,Benthic species from the tropical Pacific surrounding New Caledonia,Chordata,Scorpaeniformes,Hoplichthyidae,Hoplichthys,Hoplichthys regani,Hoplichthys regani,"Jordan, 1908",455042,264,NA,Hoplichthys regani,1073216575,278233,455042,urn:lsid:marinespecies.org:taxname:278233,Actinopteri,Occurrence,"Bathus 1, CP712",210.0,210.0,IMIS:dasid:3128,2013-06-11 14:46:43,urn:catalog:IRD-MNHN:NewCaledonia:29975:0x5F18030001001D01
348534874,165.570007324219,-20.9500007629395,212.0,NA,IRD-MNHN,NewCaledonia,29971,Benthic species from the tropical Pacific surrounding New Caledonia,Chordata,Scorpaeniformes,Hoplichthyidae,Hoplichthys,Hoplichthys regani,Hoplichthys regani,"Jordan, 1908",455042,264,NA,Hoplichthys regani,1073216575,278233,455042,urn:lsid:marinespecies.org:taxname:278233,Actinopteri,Occurrence,"Bathus 1, CP668",205.0,219.0,IMIS:dasid:3128,2013-06-11 14:46:43,urn:catalog:IRD-MNHN:NewCaledonia:29971:0x3317030001009300
348503995,165.580001831055,-20.9500007629395,267.5,NA,IRD-MNHN,NewCaledonia,29972,Benthic species from the tropical Pacific surrounding New Caledonia,Chordata,Scorpaeniformes,Hoplichthyidae,Hoplichthys,Hoplichthys regani,Hoplichthys regani,"Jordan, 1908",455042,264,NA,Hoplichthys regani,1073216575,278233,455042,urn:lsid:marinespecies.org:taxname:278233,Actinopteri,Occurrence,"Bathus 1, CP669",255.0,280.0,IMIS:dasid:3128,2013-06-11 14:46:43,urn:catalog:IRD-MNHN:NewCaledonia:29972:0x8B18030001007700
348492417,166.610000610352,-21.75,250.0,NA,IRD-MNHN,NewCaledonia,29976,Benthic species from the tropical Pacific surrounding New Caledonia,Chordata,Scorpaeniformes,Hoplichthyidae,Hoplichthys,Hoplichthys regani,Hoplichthys regani,"Jordan, 1908",455042,264,NA,Hoplichthys regani,1073216575,278233,455042,urn:lsid:marinespecies.org:taxname:278233,Actinopteri,Occurrence,"Bathus 1, CP713",250.0,250.0,IMIS:dasid:3128,2013-06-11 14:46:43,urn:catalog:IRD-MNHN:NewCaledonia:29976:0x281703000100DC01
348495537,165.880004882812,-20.8999996185303,395.5,NA,IRD-MNHN,NewCaledonia,29973,Benthic species from the tropical Pacific surrounding New Caledonia,Chordata,Scorpaeniformes,Hoplichthyidae,Hoplichthys,Hoplichthys regani,Hoplichthys regani,"Jordan, 1908",455042,264,NA,Hoplichthys regani,1072167999,278233,455042,urn:lsid:marinespecies.org:taxname:278233,Actinopteri,Occurrence,"Bathus 1, CP670",394.0,397.0,IMIS:dasid:3128,2013-06-11 14:46:43,urn:catalog:IRD-MNHN:NewCaledonia:29973:0x8618030001000701
348523712,165.570007324219,-20.9500007629395,208.5,NA,IRD-MNHN,NewCaledonia,29970,Benthic species from the tropical Pacific surrounding New Caledonia,Chordata,Scorpaeniformes,Hoplichthyidae,Hoplichthys,Hoplichthys regani,Hoplichthys regani,"Jordan, 1908",455042,264,NA,Hoplichthys regani,1073216575,278233,455042,urn:lsid:marinespecies.org:taxname:278233,Actinopteri,Occurrence,"Bathus 1, CP667",205.0,212.0,IMIS:dasid:3128,2013-06-11 14:46:43,urn:catalog:IRD-MNHN:NewCaledonia:29970:0x7F1803000100AA00
348541352,166.970001220703,-23.0300006866455,333.0,NA,IRD-MNHN,NewCaledonia,29977,Benthic species from the tropical Pacific surrounding New Caledonia,Chordata,Scorpaeniformes,Hoplichthyidae,Hoplichthys,Hoplichthys regani,Hoplichthys regani,"Jordan, 1908",455042,264,NA,Hoplichthys regani,1073216575,278233,455042,urn:lsid:marinespecies.org:taxname:278233,Actinopteri,Occurrence,"Bathus 3, CP834",330.0,336.0,IMIS:dasid:3128,2013-06-11 14:46:43,urn:catalog:IRD-MNHN:NewCaledonia:29977:0x661803000100E001
15628594,167.035003662109,-15.6929998397827,356.5,2005-09-05 10:00:00,MNHN,IC,2008-2498,Ichtyologie,Chordata,Scorpaeniformes,Hoplichthyidae,Hoplichthys,Hoplichthys regani,Hoplichthys regani,"Jordan, 1908",455042,2415,2005,Hoplichthys regani,1073217151,278233,455042,urn:lsid:marinespecies.org:taxname:278233,Actinopteri,NA,NA,NA,NA,NA,NA,NA
