am_sid,sciname,iucn_sid,area_total,area_am,area_iucn,area_overlap,sm_perc,sm_range,area_ratio,lg_area_pct
URM-Cn-5604,Oulastrea crispata,132859,11163349,6143414.3,9610987.2,4591052.54933775,74.731,AM,63.921,48.522
SLB-62998,Psammocora stellata,132860,3180464.5,2432985.2,1961441.9,1213962.63921776,61.891,IUCN,80.619,12.283
SLB-117548,Cycloseris costulata,132864,12581753.1,5485177.6,11131017.3,4034441.85518605,73.552,AM,49.278,56.196
URM-Cn-4877,Montipora angulata,132866,13310040.8,11276148.4,10557634.1,8523741.7207971,80.735,IUCN,93.628,56.929
URM-Cn-4750,Acropora florida,132869,14192905.3,10313593.3,12904568.5,9025256.53122638,87.508,AM,79.922,65.15
URM-Cn-5952,Pectinia elongata,132871,6544421.1,2042694.5,6253736.3,1752009.64910822,85.77,AM,32.664,31.573
URM-Cn-5888,Scolymia lacera,132874,3756957.7,2190123.2,1994437.7,427603.224470681,21.44,IUCN,91.065,11.057
URM-Cn-5982,Pocillopora kelleheri,132875,6663967,5667840.2,3001949.8,2005822.93336113,66.817,IUCN,52.965,28.615
URM-Cn-4973,Leptoseris tubulifera,132876,6505307.2,3307910.3,5396015.4,2198618.49002169,66.465,AM,61.303,27.242
URM-Cn-5759,Fungia fralinae,132877,3907759.7,1891394.3,3682481.6,1666116.18773609,88.089,AM,51.362,18.591
URM-Cn-5549,Favia maxima,132878,12253559.4,5039798.3,11652173.3,4438412.2378818,88.067,AM,43.252,58.827
URM-Cn-4995,Pavona venosa,132880,15525432.8,11436066.4,13692316.4,9602949.96162282,83.971,AM,83.522,69.127
URM-Cn-5572,Goniastrea australensis,132883,14491932.2,6194337.4,13382409.7,5084814.89929703,82.088,AM,46.287,67.562
URM-Cn-5508,Colpophyllia natans,132884,2248724.1,1337472.9,2163448.8,1252197.64409008,93.624,AM,61.821,10.922
URM-Cn-4965,Leptoseris hawaiiensis,132885,17199472.6,13602045.8,14017008.8,10419581.9292948,76.603,AM,97.04,70.766
URM-Cn-4910,Montipora hodgsoni,132892,7040985.3,5777116.8,5445516.7,4181648.18254617,76.791,IUCN,94.26,29.166
URM-Cn-5557,Favia veroni,132894,12333090.4,5368772.2,11602940.1,4638621.93431384,86.4,AM,46.271,58.579
URM-Cn-5894,Symphyllia radians,132900,15883691,13128206.3,13120216.2,10364731.5329881,78.998,IUCN,99.939,66.279
URM-Cn-4970,Leptoseris solida,132903,12210861.8,8177866.4,8871298.2,4838302.79214816,59.163,AM,92.183,44.788
URM-Cn-4848,Acropora turaki,132909,8612939.7,6584709.7,6701847.2,4673617.13701088,70.977,AM,98.252,33.835
URM-Cn-4992,Pavona maldivensis,132911,18091529.5,15018027,15166786.9,12093284.3457674,80.525,AM,99.019,76.571
URM-Cn-5470,Turbinaria irregularis,132916,9296136.8,2547098.7,9011712.7,2262674.5498034,88.833,AM,28.264,45.496
URM-Cn-4958,Gardineroseris planulata,132917,18882437.5,15874009.9,15535267.5,12526839.8533883,80.635,IUCN,97.866,80.141
URM-Cn-5985,Pocillopora woodjonesi,132923,12875921.5,10147208.8,11373572.5,8644859.80350488,85.194,AM,89.217,57.421
SLB-61850,Leptoseris striata,132927,6919639.2,2105246.8,6581022.1,1766629.62944814,83.916,AM,31.99,33.225
URM-Cn-5953,Pectinia lactuca,132928,13479979.3,8618545.3,12275344.7,7413910.63583519,86.023,AM,70.21,61.973
URM-Cn-4854,Acropora willisae,132931,12447671,8193755,10334541.2,6080625.08117406,74.21,AM,79.285,52.175
URM-Cn-4723,Acropora carduus,132933,11731163.3,10827638,6358464.1,5454938.76701712,85.79,IUCN,58.724,54.664
URM-Cn-4807,Acropora plumosa,132935,6491045.5,5100120.9,5349092.1,3958167.49316289,77.609,AM,95.346,27.005
URM-Cn-4710,Acropora acuminata,132940,12735269.7,7721655.5,11789417.3,6775803.08883531,87.751,AM,65.496,59.52
SLB-93057,Montipora patula,132942,172783.8,69062.2,172783.8,69062.1766333369,100,AM,39.97,0.872
URM-Cn-5465,Turbinaria bifrons,132957,10306377.3,4455926,8546824,2696372.6974309,60.512,AM,52.135,43.149
URM-Cn-5892,Symphyllia erythraea,132962,1462839.5,739140.7,1256238.3,532539.477416603,72.048,AM,58.838,6.342
URM-Cn-5591,Manicina areolata,132963,2388291.3,2100033.7,2025270.6,1737012.94712175,85.767,IUCN,96.44,10.602
URM-Cn-5485,Euphyllia yaeyamaensis,132967,10118687,8213611.1,7440467.3,5535391.41190878,74.396,IUCN,90.587,41.467
URM-Cn-5779,Halomitra clavator,132968,2344957.8,1891394.3,767788.1,314224.552856139,40.926,IUCN,40.594,9.549
URM-Cn-4774,Acropora listeri,132969,13516345.5,9315183.4,11666822.3,7465660.21881997,80.145,AM,79.843,58.901
URM-Cn-4954,Agaricia lamarcki,132970,2093146.1,1405868.9,2001761.9,1314484.67333069,93.5,AM,70.232,10.106
URM-Cn-4800,Acropora paniculata,132972,10766785.1,8356634.1,8615481.8,6205330.79243548,74.256,AM,96.996,43.496
SLB-62368,Plerogyra discus,132974,6349341.6,4365440.8,5260090.7,3276189.88695125,75.048,AM,82.992,26.556
URM-Cn-4937,Montipora stilosa,132977,2485180.4,1895641.6,1834312.6,1244773.81551431,67.861,IUCN,96.765,9.57
URM-Cn-5590,Leptoria phrygia,132980,15569121.2,7999240.2,14617463.8,7047582.82607277,88.103,AM,54.724,73.798
