sciname,id_no,spp_group,popn_category,iucn_subpop,spatial_source
Acanthopagrus latus,170263,SEABREAMS_PORGIES,DD,NA,iucn
Albula argentea,194298,BONEFISH_TARPONS,DD,NA,iucn
Albula oligolepis,194301,BONEFISH_TARPONS,DD,NA,iucn
Alticus saliens,48321187,COMBTOOTHBLENNIES,DD,NA,iucn
Anampses lineatus,187639,WRASSE,DD,NA,iucn
Anampses melanurus,187639,WRASSE,DD,NA,iucn
Andamia reyi,48342407,COMBTOOTHBLENNIES,DD,NA,iucn
Andamia tetradactylus,48342440,COMBTOOTHBLENNIES,DD,NA,iucn
Bodianus flavipinnis,187650,WRASSE,DD,NA,iucn
Bodianus izuensis,187721,WRASSE,DD,NA,iucn
Bodianus oxycephalus,187804,WRASSE,DD,NA,iucn
Bodianus speciosus,187493,WRASSE,DD,NA,iucn
Cephalopholis igarashiensis,132791,GROUPERS,DD,NA,iucn
Cephalopholis nigripinnis,132786,GROUPERS,DD,NA,iucn
Cephalopholis taeniops,132820,GROUPERS,DD,NA,iucn
Chaetodon bennetti,165686,BUTTERFLYFISH,DD,NA,iucn
Chaetodon ocellicaudus,165676,BUTTERFLYFISH,DD,NA,iucn
Chaetodon reticulatus,165713,BUTTERFLYFISH,DD,NA,iucn
Cheimerius nufar,170221,SEABREAMS_PORGIES,DD,NA,iucn
Choerodon gymnogenys,187471,WRASSE,DD,NA,iucn
Chromis flavicauda,155098,DAMSELFISH,DD,NA,iucn
Cirrhilabrus cyanopleura,187544,WRASSE,DD,NA,iucn
Cirrhilabrus exquisitus,187461,WRASSE,DD,NA,iucn
Cirrhilabrus solorensis,187484,WRASSE,DD,NA,iucn
Cirrhilabrus temminckii,187636,WRASSE,DD,NA,iucn
Cymatoceps nasutus,170204,SEABREAMS_PORGIES,VU,NA,iucn
Dentex canariensis,170192,SEABREAMS_PORGIES,LC,NA,iucn
Dermatolepis striolata,44672,GROUPERS,DD,NA,iucn
Diplodus cervinus,170272,SEABREAMS_PORGIES,LC,NA,iucn
Elops affinis,184047,BONEFISH_TARPONS,DD,NA,iucn
Elops hawaiensis,194307,BONEFISH_TARPONS,DD,NA,iucn
Elops senegalensis,194308,BONEFISH_TARPONS,DD,NA,iucn
Epinephelus albomarginatus,132800,GROUPERS,DD,NA,iucn
Epinephelus amblycephalus,132812,GROUPERS,DD,NA,iucn
Epinephelus awoara,61336,GROUPERS,DD,NA,iucn
Epinephelus caninus,132796,GROUPERS,DD,NA,iucn
Epinephelus chabaudi,195291,GROUPERS,DD,NA,iucn
Epinephelus corallicola,132763,GROUPERS,DD,NA,iucn
Epinephelus costae,132762,GROUPERS,DD,NA,iucn
Epinephelus erythrurus,132785,GROUPERS,DD,NA,iucn
Epinephelus fasciatomaculosus,132769,GROUPERS,DD,NA,iucn
Epinephelus heniochus,132798,GROUPERS,DD,NA,iucn
Epinephelus latifasciatus,132735,GROUPERS,DD,NA,iucn
Epinephelus magniscuttis,132784,GROUPERS,DD,NA,iucn
Epinephelus melanostigma,132746,GROUPERS,DD,NA,iucn
Epinephelus retouti,132794,GROUPERS,DD,NA,iucn
Epinephelus sexfasciatus,132780,GROUPERS,DD,NA,iucn
Epinephelus stoliczkae,132793,GROUPERS,DD,NA,iucn
Epinephelus summana,132728,GROUPERS,DD,NA,iucn
Epinephelus tauvina,132758,GROUPERS,DD,NA,iucn
Epinephelus undulatostriatus,64408,GROUPERS,DD,NA,iucn
Gracila albomarginata,132800,GROUPERS,DD,NA,iucn
Halichoeres aestuaricola,183529,WRASSE,DD,NA,iucn
Halichoeres brasiliensis,187732,WRASSE,DD,NA,iucn
Istiompax indica,170312,TUNAS_BILLFISHES,DD,NA,iucn
Lagocephalus gloveri,11150,PUFFERFISH,DD,NA,iucn
Larabicus quadrilineatus,187526,WRASSE,DD,NA,iucn
Megalops cyprinoides,166868,BONEFISH_TARPONS,DD,NA,iucn
Meiacanthus anema,196307,COMBTOOTHBLENNIES,DD,NA,iucn
Naso tuberosus,178003,SURGEONFISH_TANGS_UNICORNFISH,DD,NA,iucn
Omox biporos,196310,COMBTOOTHBLENNIES,DD,NA,iucn
Paracheilinus carpenteri,187514,WRASSE,DD,NA,iucn
Plectropomus punctatus,132801,GROUPERS,DD,NA,iucn
Polylepion cruentum,187725,WRASSE,DD,NA,iucn
Polysteganus coeruleopunctatus,170215,SEABREAMS_PORGIES,DD,NA,iucn
Prionurus scalprum,177952,SURGEONFISH_TANGS_UNICORNFISH,DD,NA,iucn
Pseudojuloides atavai,187586,WRASSE,DD,NA,iucn
Pseudojuloides cerasinus,187626,WRASSE,DD,NA,iucn
Pterothrissus belloci,194305,BONEFISH_TARPONS,DD,NA,iucn
Pterothrissus gissu,194306,BONEFISH_TARPONS,DD,NA,iucn
Rastrelliger brachysoma,170318,TUNAS_BILLFISHES,DD,NA,iucn
Rastrelliger faughni,170324,TUNAS_BILLFISHES,DD,NA,iucn
Rastrelliger kanagurta,170328,TUNAS_BILLFISHES,DD,NA,iucn
Saloptia powelli,132816,GROUPERS,DD,NA,iucn
Scarus coelestinus,190720,WRASSE,DD,NA,iucn
Scarus ovifrons,190743,WRASSE,DD,NA,iucn
Scomberomorus guttatus,170311,TUNAS_BILLFISHES,DD,NA,iucn
Scomberomorus niphonius,170356,TUNAS_BILLFISHES,DD,NA,iucn
Scomberomorus plurilineatus,170348,TUNAS_BILLFISHES,DD,NA,iucn
Scomberomorus sinensis,170346,TUNAS_BILLFISHES,DD,NA,iucn
Semicossyphus darwini,183327,WRASSE,DD,NA,iucn
Sparisoma axillare,190751,WRASSE,DD,NA,iucn
Sparisoma frondosum,190724,WRASSE,DD,NA,iucn
Suezichthys bifurcatus,154720,WRASSE,DD,NA,iucn
Tetrapturus angustirostris,170315,TUNAS_BILLFISHES,DD,NA,iucn
Tetrapturus georgii,170333,TUNAS_BILLFISHES,DD,NA,iucn
Thunnus tonggol,170351,TUNAS_BILLFISHES,DD,NA,iucn
Torquigener hicksi,193735,PUFFERFISH,DD,NA,iucn
Zebrasoma rostratum,178001,SURGEONFISH_TANGS_UNICORNFISH,DD,NA,iucn
Acanthurus polyzona,177984,SURGEONFISH_TANGS_UNICORNFISH,DD,NA,iucn
Amphichaetodon melbae,165727,BUTTERFLYFISH,DD,NA,iucn
Andamia heteroptera,48342209,COMBTOOTHBLENNIES,DD,NA,iucn
Bathyblennius antholops,185178,COMBTOOTHBLENNIES,DD,NA,iucn
Bodianus paraleucosticticus,187528,WRASSE,DD,NA,iucn
Bodianus rubrisos,187597,WRASSE,DD,NA,iucn
Bodianus sepiacaudus,187576,WRASSE,DD,NA,iucn
Bodianus thoracotaeniatus,187391,WRASSE,DD,NA,iucn
Calamus campechanus,170187,SEABREAMS_PORGIES,DD,NA,iucn
Cephalopholis aitha,132782,GROUPERS,DD,NA,iucn
Chaetodon andamanensis,165707,BUTTERFLYFISH,DD,NA,iucn
Cirrhilabrus balteatus,187596,WRASSE,DD,NA,iucn
Cirrhilabrus brunneus,187460,WRASSE,DD,NA,iucn
Cirrhilabrus joanallenae,187788,WRASSE,DD,NA,iucn
Cirrhilabrus rubrisquamis,187581,WRASSE,DD,NA,iucn
Cirrhilabrus tonozukai,187389,WRASSE,DD,NA,iucn
Coris nigrotaenia,187372,WRASSE,DD,NA,iucn
Dentex fourmanoiri,170227,SEABREAMS_PORGIES,DD,NA,iucn
