"spp_group","spp_group_text"
"DAMSELFISH","Damselfish"
"WRASSES","Wrasses"
"SEABREAMS_PORGIES","Seabreams and Porgies"
"SURGEONFISH_TANGS_UNICORNFISH","Surgeonfish, Tangs and Unicornfish"
"COMBTOOTHBLENNIES","Combtooth Blennies"
"TUNAS_BILLFISHES","Tunas and Billfishes"
"GROUPERS","Groupers"
"PUFFERFISH","Pufferfish"
"BUTTERFLYFISH","Butterflyfish"
"ANGELFISH","Angelfish"
"PARROTFISH","Parrotfish"
"BONEFISH_TARPONS","Bonefish and Tarpons"
"LOBSTERS","Lobsters"
"CONUS","Cone snails"
"CORALS3","Corals 3"
"CORALS1","Corals 1"
"CORALS2","Corals 2"
"SEACUCUMBERS","Sea Cucumbers"
"MAMMMARINE","Marine Mammals"
"SEAGRASSES","Sea grasses"
"MANGROVES","Mangroves"
"MAMMTERR","Terrestrial Mammals"
