loiczid,mean_cat,n_spp
4566.0,0.2,2
4567.0,0.2,2
4568.0,0.2,2
4569.0,0.2,2
4570.0,0.2,2
4571.0,0.2,2
4572.0,0.2,2
4573.0,0.2,2
4574.0,0.2,2
4575.0,0.2,2
4576.0,0.2,2
4577.0,0.2,2
4578.0,0.2,2
4579.0,0.2,2
4580.0,0.2,2
4581.0,0.2,2
4582.0,0.2,2
4583.0,0.2,2
4584.0,0.2,2
4585.0,0.2,2
4586.0,0.2,2
4587.0,0.2,2
4588.0,0.2,2
4589.0,0.2,2
4590.0,0.2,2
4591.0,0.2,2
4592.0,0.2,2
4593.0,0.2,2
4594.0,0.2,2
4595.0,0.2,2
4596.0,0.2,2
4597.0,0.2,2
4598.0,0.2,2
4599.0,0.2,2
4600.0,0.2,2
4601.0,0.2,2
4602.0,0.2,2
4603.0,0.2,2
4604.0,0.2,2
4605.0,0.2,2
4606.0,0.2,2
4607.0,0.2,2
4608.0,0.2,2
4609.0,0.2,2
4610.0,0.2,2
4611.0,0.2,2
4612.0,0.2,2
4613.0,0.2,2
4614.0,0.2,2
4615.0,0.2,2
4616.0,0.2,2
4617.0,0.2,2
4618.0,0.2,2
4619.0,0.2,2
4620.0,0.2,2
4621.0,0.2,2
4622.0,0.2,2
4623.0,0.2,2
4624.0,0.2,2
4625.0,0.2,2
4626.0,0.2,2
4627.0,0.2,2
4628.0,0.2,2
4629.0,0.2,2
4630.0,0.2,2
4631.0,0.2,2
4632.0,0.2,2
4633.0,0.2,2
4634.0,0.2,2
4635.0,0.2,2
4636.0,0.2,2
4637.0,0.2,2
4638.0,0.2,2
4639.0,0.2,2
4640.0,0.2,2
4641.0,0.2,2
4642.0,0.2,2
4643.0,0.2,2
4644.0,0.2,2
4645.0,0.2,2
4646.0,0.2,2
4647.0,0.2,2
4648.0,0.2,2
4649.0,0.2,2
4650.0,0.2,2
4651.0,0.2,2
4652.0,0.2,2
4653.0,0.2,2
4654.0,0.2,2
4655.0,0.2,2
4656.0,0.2,2
4657.0,0.2,2
4658.0,0.2,2
4659.0,0.2,2
4660.0,0.2,2
4661.0,0.2,2
4662.0,0.2,2
4663.0,0.2,2
5212.0,0.2,2
5213.0,0.2,2
5214.0,0.2,2
5215.0,0.2,2
5216.0,0.2,2
5217.0,0.2,2
5218.0,0.2,2
5219.0,0.2,2
5220.0,0.2,2
5221.0,0.2,2
5222.0,0.2,2
5223.0,0.2,2
5224.0,0.2,2
5225.0,0.2,2
5226.0,0.2,2
5227.0,0.2,2
5228.0,0.2,2
5229.0,0.2,2
5230.0,0.2,2
5231.0,0.2,2
5232.0,0.2,2
5233.0,0.2,2
5234.0,0.2,2
5235.0,0.2,2
5236.0,0.2,2
5237.0,0.2,2
5238.0,0.2,2
5239.0,0.2,2
5240.0,0.2,2
5241.0,0.2,2
5242.0,0.2,2
5243.0,0.2,2
5244.0,0.2,2
5245.0,0.2,2
5246.0,0.2,2
5247.0,0.2,2
5248.0,0.2,2
5249.0,0.2,2
5250.0,0.2,2
5251.0,0.2,2
5252.0,0.2,2
5253.0,0.2,2
5254.0,0.2,2
5255.0,0.2,2
5256.0,0.2,2
5257.0,0.2,2
5258.0,0.2,2
5259.0,0.2,2
5260.0,0.2,2
5261.0,0.2,2
5262.0,0.2,2
5263.0,0.2,2
5264.0,0.2,2
5265.0,0.2,2
5266.0,0.2,2
5267.0,0.2,2
5268.0,0.2,2
5269.0,0.2,2
5270.0,0.2,2
5271.0,0.2,2
5272.0,0.2,2
5273.0,0.2,2
5274.0,0.2,2
5275.0,0.2,2
5276.0,0.2,2
5277.0,0.2,2
5278.0,0.2,2
5279.0,0.2,2
5280.0,0.2,2
5281.0,0.2,2
5282.0,0.2,2
5283.0,0.2,2
5284.0,0.2,2
5285.0,0.2,2
5286.0,0.2,2
5287.0,0.2,2
5288.0,0.2,2
5289.0,0.2,2
5290.0,0.2,2
5291.0,0.2,2
5292.0,0.2,2
5293.0,0.2,2
5294.0,0.2,2
5295.0,0.2,2
5296.0,0.2,2
5297.0,0.2,2
5298.0,0.2,2
5299.0,0.2,2
5300.0,0.2,2
5301.0,0.2,2
5302.0,0.2,2
5303.0,0.2,2
5304.0,0.2,2
5305.0,0.2,2
5306.0,0.2,2
5307.0,0.2,2
