loiczid,count
1,50
2,100
3,100
4,100
5,100
6,100
7,100
8,120
9,150
10,150
11,150
12,150
13,150
14,150
15,172
16,200
17,200
18,200
19,200
20,200
21,200
22,223
23,250
24,250
25,250
26,250
27,250
28,250
29,275
30,300
31,300
32,300
33,300
34,300
35,300
36,327
37,350
38,350
39,350
40,350
41,350
42,350
43,379
44,400
45,400
46,400
47,400
48,400
49,400
50,430
51,450
52,450
53,450
54,450
55,450
56,450
57,482
58,500
59,500
60,500
61,500
62,500
63,500
64,534
65,550
66,550
67,550
68,550
69,550
70,550
71,585
72,600
73,600
74,600
75,600
76,600
77,600
78,637
79,650
80,650
81,650
82,650
83,650
84,650
85,689
86,700
87,700
88,700
89,700
90,700
91,700
92,740
93,750
94,750
95,750
96,750
97,750
98,750
99,792
100,800
101,800
102,800
103,800
104,800
105,800
106,844
107,850
108,850
109,850
110,850
111,850
112,850
113,896
114,900
115,900
116,900
117,900
118,900
119,900
120,947
121,950
122,950
123,950
124,950
125,950
126,950
127,999
128,1000
129,1000
130,1000
131,1000
132,1000
133,1001
134,1050
135,1050
136,1050
137,1050
138,1050
139,1050
140,1052
141,1100
142,1100
143,1100
144,1100
145,1100
146,1100
147,1104
148,1150
149,1150
150,1150
151,1150
152,1150
153,1150
154,1156
155,1200
156,1200
157,1200
158,1200
159,1200
160,1200
161,1207
162,1250
163,1250
164,1250
165,1250
166,1250
167,1250
168,1259
169,1300
170,1300
171,1300
172,1300
173,1300
174,1300
175,1311
176,1350
177,1350
178,1350
179,1350
180,1350
181,1350
182,1363
183,1400
184,1400
185,1400
186,1400
187,1400
188,1400
189,1414
190,1450
191,1450
192,1450
193,1450
194,1450
195,1450
196,1466
197,1500
198,1500
199,1500
200,1500
201,1500
202,1500
203,1518
204,1550
205,1550
206,1550
207,1550
208,1550
209,1550
210,1569
211,1600
212,1600
213,1600
214,1600
215,1600
216,1600
217,1621
218,1650
219,1650
220,1650
221,1650
222,1650
223,1650
224,1673
225,1700
226,1700
227,1700
228,1700
229,1700
230,1700
231,1724
232,1750
233,1750
234,1750
235,1750
236,1750
237,1750
238,1776
239,1800
240,1800
241,1800
242,1800
243,1800
244,1800
245,1828
246,1850
247,1850
248,1850
249,1850
250,1850
251,1850
252,1880
253,1900
254,1900
255,1900
256,1900
257,1900
258,1900
259,1931
260,1950
261,1950
262,1950
263,1950
264,1950
265,1950
266,1983
267,2000
268,2000
269,2000
270,2000
271,2000
272,2000
273,2035
274,2050
275,2050
276,2050
277,2050
278,2050
279,2050
280,2086
281,2100
282,2100
283,2100
284,2100
285,2100
286,2100
287,2138
288,2150
289,2150
290,2150
291,2150
292,2150
293,2150
294,2190
295,2200
296,2200
297,2200
298,2200
299,2200
300,2200
301,2241
302,2250
303,2250
304,2250
305,2250
