iucn_sid,spatial_source,sciname,name_verified,class,am_match,spp_group
899,iucn,Alopex lagopus,TRUE,MAMMALIA,FALSE,TERRESTRIAL_MAMMALS
1793,iucn,Aonyx capensis,TRUE,MAMMALIA,FALSE,TERRESTRIAL_MAMMALS
2055,iucn,Arctocephalus australis,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
2057,iucn,Arctocephalus australis,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
2058,iucn,Arctocephalus gazella,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
2059,iucn,Arctocephalus philippii,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
2060,iucn,Arctocephalus pusillus,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
2061,iucn,Arctocephalus townsendi,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
2062,iucn,Arctocephalus tropicalis,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
2467,iucn,Balaena mysticetus,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
2474,iucn,Balaenoptera acutorostrata,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
2475,iucn,Balaenoptera borealis,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
2476,iucn,Balaenoptera brydei,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
2477,iucn,Balaenoptera musculus,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
2478,iucn,Balaenoptera physalus,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
2480,iucn,Balaenoptera bonaerensis,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
2762,iucn,Berardius arnuxii,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
2763,iucn,Berardius bairdii,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
3590,iucn,Callorhinus ursinus,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
3778,iucn,Caperea marginata,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
4159,iucn,Cephalorhynchus commersonii,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
4160,iucn,Cephalorhynchus eutropia,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
4161,iucn,Cephalorhynchus heavisidii,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
4162,iucn,Cephalorhynchus hectori,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
6204,iucn,Cystophora cristata,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
6335,iucn,Delphinapterus leucas,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
6336,iucn,Delphinus delphis,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
6337,iucn,Delphinus capensis,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
6909,iucn,Dugong dugon,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
7750,iucn,Enhydra lutris,TRUE,MAMMALIA,TRUE,TERRESTRIAL_MAMMALS
8010,iucn,Erignathus barbatus,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
8097,iucn,Eschrichtius robustus,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
8153,iucn,Eubalaena australis,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
8239,iucn,Eumetopias jubatus,TRUE,MAMMALIA,TRUE,MARINE_MAMMALS
