"","X.1","X","am_sid","iucn_sid","sciname","parent_sid","subpop_sid","spp_group","category","trend","am_area","iucn_area","perc","am_perc","iucn_perc","sm_perc","sm_range"
"1",1,1,"ITS-552925",170038,"Thymops birsteini",NA,NA,"LOBSTERS","LC","Unknown",1463956.51808695,629668.959243972,14.6799116997793,65.5629139072848,19.757174392936,42.6282051282051,"IUCN"
"2",2,2,"ITS-567398",192532,"Conus stearnsii",NA,NA,"CONUS","VU","Unknown",1650599.74658129,191546.963452537,9.38566552901024,88.0546075085324,2.55972696245734,78.5714285714286,"IUCN"
"3",3,3,"ITS-656358",192778,"Conus vexillum",NA,NA,"CONUS","LC","Unknown",12050377.6503956,33023150.9788155,30.2878813997587,4.48198586450612,65.2301327357352,87.1095686663361,"AM"
"4",4,4,"SLB-184905",170037,"Eduarctus martensii",NA,NA,"LOBSTERS","LC","Unknown",13898208.1580268,13955304.6657125,46.2898642248184,26.6971897694979,27.0129460056836,63.422020333117,"AM"
"5",5,5,"ITS-553024",170056,"Scyllarus pygmaeus",NA,NA,"LOBSTERS","LC","Unknown",1557504.32187881,2120177.0010695,38.2899628252788,20.631970260223,41.0780669144981,64.9842271293375,"AM"
"6",6,6,"SLB-184955",170055,"Petrarctus rugosus",NA,NA,"LOBSTERS","LC","Unknown",10915285.7415968,6476086.00225936,29.341452413171,51.8042399639152,18.8543076229138,60.8797379503977,"IUCN"
"7",7,7,"SLB-184912",185076,"Galearctus aurora",NA,NA,"LOBSTERS","LC","Unknown",7650635.1294179,2708338.92937229,8.67593712212818,69.6191051995163,21.7049576783555,28.5572139303483,"IUCN"
"8",8,8,"SLB-184897",185093,"Crenarctus bicuspidatus",NA,NA,"LOBSTERS","LC","Unknown",11342463.8949543,17196461.3303302,33.4472856556817,19.8824012033365,46.6703131409818,62.7179487179487,"AM"
"9",9,9,"SLB-184895",185080,"Chelarctus cultrifer",NA,NA,"LOBSTERS","LC","Unknown",10942220.4916614,13830642.6559106,18.9657621821281,33.5843159539707,47.4499218639011,36.0908353609084,"AM"
"10",10,10,"ITS-660110",185038,"Pentacheles laevis",NA,NA,"LOBSTERS","LC","Stable",46350875.3094897,24368027.5507865,11.1550902281239,65.2281239359891,23.616785835887,32.0807833537332,"IUCN"
"11",11,11,"SLB-184838",185023,"Stereomastis surda",NA,NA,"LOBSTERS","LC","Unknown",15081791.2026862,108433604.858279,6.01458472261062,5.66394906102781,88.3214662163616,51.5011972738994,"AM"
"12",12,12,"ITS-660118",170008,"Scyllarides squammosus",NA,NA,"LOBSTERS","LC","Unknown",13928637.3896254,10541910.5936919,20.2484113229347,47.0103986135182,32.7411900635471,38.2120468792587,"IUCN"
"13",13,13,"ITS-660225",170025,"Jasus edwardsii",NA,NA,"LOBSTERS","LC","Stable",593348.249327813,2047029.12893539,25.5972696245734,3.98179749715586,70.4209328782708,86.5384615384615,"AM"
"14",14,14,"ITS-75285",192370,"Conus daucus",NA,NA,"CONUS","LC","Unknown",2587901.16773895,32191286.6922747,4.58987001344688,3.31689825190498,92.0932317346481,58.0498866213152,"AM"
"15",15,15,"ITS-75291",192338,"Conus jaspideus",NA,NA,"CONUS","LC","Unknown",498265.414134479,665473.313058939,29.9319727891156,25.5102040816327,44.5578231292517,53.9877300613497,"AM"
"16",16,16,"ITS-75291",192637,"Conus jaspideus",NA,NA,"CONUS","LC","Unknown",498265.414134479,665473.313058939,29.9319727891156,25.5102040816327,44.5578231292517,53.9877300613497,"AM"
"17",17,17,"ITS-75305",192553,"Conus mazei",NA,NA,"CONUS","LC","Unknown",2565211.83240263,503233.923856719,7.14285714285714,82.7551020408163,10.1020408163265,41.4201183431953,"IUCN"
"18",18,18,"ITS-75309",192444,"Conus villepinii",NA,NA,"CONUS","LC","Unknown",3248603.76435971,4590994.62270742,45.7343412526998,14.6868250539957,39.5788336933045,75.692582663092,"AM"
"19",19,19,"ITS-75310",192340,"Conus amphiurgus",NA,NA,"CONUS","LC","Unknown",2758974.42472982,1212301.24521689,21.0616438356164,62.5,16.4383561643836,56.1643835616438,"IUCN"
"20",20,20,"ITS-75314",192683,"Conus stimpsoni",NA,NA,"CONUS","LC","Unknown",1259904.65934359,909160.155035412,18,49.0769230769231,32.9230769230769,35.3474320241692,"IUCN"
"21",21,21,"ITS-75327",192449,"Conus brunneus",NA,NA,"CONUS","LC","Unknown",1165814.75009613,1847592.57396408,26.5104808877928,23.5511713933416,49.9383477188656,52.9556650246305,"AM"
"22",22,22,"ITS-75329",192871,"Conus cardinalis",NA,NA,"CONUS","NT","Unknown",2059167.04886102,463597.195239272,6.59203980099503,80.3482587064677,13.0597014925373,33.5443037974684,"IUCN"
"23",23,23,"ITS-75344",192578,"Conus ermineus",NA,NA,"CONUS","LC","Unknown",2216976.18149331,6643194.42651382,28.9780077619664,3.32039672272531,67.7015955153083,89.7196261682243,"AM"
"24",24,24,"ITS-75346",192566,"Conus fergusoni",NA,NA,"CONUS","LC","Unknown",1974728.34140029,1606236.24305244,26.5625,43.8541666666667,29.5833333333333,47.3098330241187,"IUCN"
