speciesid,marine_range,mpa2015,pct2015,cat2015
Biv-32126,343043.98796,5654.74938,0.016484035804351,0-2%
Biv-32832,6728875.972776,230688.776664,0.034283404479044,2-5%
Bra-235673,9959.932876,0,0,gap
Chn-013ca97e-46a8-4c5e-b398-8bb4f340f88b,4269346.089924,51987.813264,0.0121769967037096,0-2%
Chn-015453c0-3ff9-477d-ab51-c68d85e65af5,8704913.771296,219482.875304,0.0252136759846758,2-5%
Chn-0721ac0c-7d19-46fa-9dcc-02da54310867,20129707.67782,763040.786536,0.0379062030481823,2-5%
Chn-08d9eb73-87c3-4b8a-8861-baf5b2862d8c,13471355.916668,412778.306852,0.0306411848521701,2-5%
Chn-0e470b93-1bf9-4c28-8770-166bb5e2a8c7,2521366.343928,168191.197288,0.0667063704142165,5-10%
Chn-0e9cfa5e-eab6-490e-9279-34eeeb127eb2,7173938.69998,177593.0539,0.024755306858211,2-5%
Chn-17d15aec-37c6-4c6a-88d2-9c350613076a,10182549.619424,216885.8954,0.0212997631738787,2-5%
Chn-21252d4f-8095-42f9-a7e5-67236bb3099d,3912153.738604,85831.390152,0.0219396771923968,2-5%
Chn-27d923b5-53c3-4d53-aa10-1f02bea6dd01,6785574.87702,225158.310176,0.0331819063611722,2-5%
Chn-2b605750-6865-42dd-9798-32cfbc2ac7d5,5697579.527756,89544.67002,0.0157162650532177,0-2%
Chn-2d96ad09-2772-4579-b6d6-96420751b7ec,9930331.876268,253243.166656,0.0255019842046984,2-5%
Chn-2ddce54e-f195-404c-a982-bc296b2a7e64,4239501.84024,111662.023712,0.0263384774720793,2-5%
Chn-2f5a48ac-ec54-40e1-9a03-ce2be006ee68,8473910.526072,228032.261276,0.0269099208180691,2-5%
Chn-335d884d-9fab-419b-85fb-ed0a94ffe255,2106351.41376,88160.515304,0.0418546092205131,2-5%
Chn-364c26b3-84d3-460d-9d53-2d3d5d4352f8,8275864.068652,187280.517272,0.0226297237023741,2-5%
Chn-3953473a-c9d7-4719-9fdb-dabfd375b330,8340501.304732,190786.63368,0.0228747202007818,2-5%
Chn-3a2c0af7-44ef-4119-b909-a1731e6fa595,4260444.316508,93705.522456,0.0219943075169221,2-5%
Chn-3d368bae-a02b-4109-99a3-33d99b22f83d,5407687.769788,256340.869692,0.0474030455538023,2-5%
Chn-4251039a-f032-49e7-b4d0-767e2a6b6326,5438483.518632,77615.506748,0.0142715347912875,0-2%
Chn-42aeac39-f607-4ee5-bce7-0294bbc61fde,5467297.49918,97849.207016,0.017897179919453,0-2%
Chn-43ea15ff-38d0-46d1-8cb4-bacce1ba2254,3061404.847716,77455.293716,0.0253005719821037,2-5%
Chn-4a9f789f-84e4-4da2-b520-c754b804a303,8345335.616208,232598.300692,0.0278716532670365,2-5%
Chn-4afd695c-a184-4f35-a646-3149013fa0df,7903398.762248,322320.33718,0.0407824971099296,2-5%
Chn-4bb55db1-8e3b-4bc9-abaa-a75c12d10a05,5176641.143176,159514.247536,0.0308142370939265,2-5%
Chn-50674f31-94c6-4080-8563-c0598269f6d2,5702655.28984,169890.041568,0.0297913924186651,2-5%
Chn-58fbf663-c32a-4053-b54d-872ad5bbd716,4619355.188688,221387.689552,0.0479261023473882,2-5%
Chn-5b98a280-b9a0-435b-8ed9-87b3f63fc29b,9157640.25014,271776.740452,0.0296775952132259,2-5%
Chn-6929b281-e864-4382-b249-e58077762c8d,7566153.161252,317451.19986,0.0419567504244746,2-5%
Chn-6a9274ff-bb5b-4de5-a3d4-201629e153fe,5936342.122624,173097.184216,0.0291588962765992,2-5%
Chn-718abbd7-9991-4548-92ea-32318d7e3ae0,3961974.307068,53813.22546,0.0135824266613742,0-2%
